id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,awal_pekerjaan,akhir_pekerjaan
780608,"KECAMATAN BUAHBATU","Rapat-rapat Koordinasi dan Konsultasi ke Luar Daerah",60000000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BUAHBATU",2014,"12 Bulan","Kecamatan Buahbatu","Belanja Perjalanan Dinas Dalam Daerah dan Luar Daerah",APBD," 60000000","1,20,1,20.34.01,18",11-06-2014,10-11-2014
780379,"KECAMATAN BUAHBATU","Penyediaan Komponen Instalasi Listrik/Penerangan Bangunan Kantor",5000000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BUAHBATU",2014,"12 Bulan","Kecamatan Buahbatu","Belanja Alat-alat Listrik dan Elektronik",APBD," 5000000","1,20,1,20.34.01,12",03-03-2014,02-12-2014
781083,"KECAMATAN BUAHBATU","Pengadaan Pakaian Khusus Hari-hari tertentu",15000000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BUAHBATU",2014,"60 orang","Kecamatan Buahbatu","Belanja Pakaian Olahraga",APBD," 15000000","1,20,1,20.34.003.05",16-04-2014,15-05-2014
780742,"KECAMATAN BUAHBATU","Pemeliharaan Rutin/Berkala Kendaraan Dinas/ Operasional",79250000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BUAHBATU",2014,"10 Unit Kendaraan","Kecamatan Buahbatu","Belanja Jasa Service dan Belanja Penggantian Suku Cadang",APBD," 79250000","1,20,1,20.34.02.24",05-06-2014,02-12-2014
780053,"KECAMATAN BUAHBATU","Penyediaan Jasa Perbaikan Peralatan Kerja",8350000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BUAHBATU",2014,"12 Bulan","Kecamatan Buahbatu","Belanja Pemeliharaan Komputer, Printer dan Scaner",APBD," 8350000","1,20,1,20.34.01,09",03-03-2014,02-12-2014
781296,"KECAMATAN BUAHBATU","Penyusunan Pelaporan Keuangan Semesteran",5000000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BUAHBATU",2014,"15 orang","Kecamatan Buahbatu","Honorarium Tim/Panitia Pelaksana Kegiatan",APBD," 5000000","1,20,1,20.34.06.02",17-12-2014,24-12-2014
781242,"KECAMATAN BUAHBATU","Penyusunan Laporan Capaian Kinerja dan Ikhtisar Realisasi Kinerja SKPD",5000000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BUAHBATU",2014,"15 orang","Kecamatan Buahbatu","Honorarium Tim/ Panitia Pelaksana Kegiatan",APBD," 5000000","1,20,1,20.34.06.01",19-03-2014,22-04-2014
779410,"KECAMATAN BUAHBATU","Penyediaan Jasa Komunikasi,Sumber daya Air dan Listrik",30900000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BUAHBATU",2014,"12 Bulan","Kecamatan Buahbatu","Belanja Jasa Telepon, Air, dan Listrik",APBD," 30900000","1,20,1,20.34.01,02",03-03-2014,03-12-2014
780904,"KECAMATAN BUAHBATU","Pengadaan Pakaian Kerja Lapangan",2500000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BUAHBATU",2014,"7 orang","Kecamatan Buahbatu","Belanja Pakaian Kerja Lapangan",APBD," 2500000","1,20,1,20.34.03.03",16-04-2014,15-05-2014
780476,"KECAMATAN BUAHBATU","Penyediaan Peralatan Rumah Tangga",40000000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BUAHBATU",2014,"12 Bulan","Kecamatan Buahbatu","Belanja Peralatan Kebersihan dan Bahan Pembersih",APBD," 40000000","1,20,1,20.34.01,14",03-03-2014,02-12-2014
781363,"KECAMATAN BUAHBATU","Penyusunan Pelaporan Prognosis realisasi Anggaran",2500000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BUAHBATU",2014,"15 orang","Kecamatan Buahbatu","Honorarium Tim/Panitia Pelaksana Kegiatan",APBD," 2500000","1,20,1,20.34.06.04",18-12-2014,24-12-2014
780124,"KECAMATAN BUAHBATU","Penyediaan Alat Tulis Kantor  (ATK)",48000000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN BUAHBATU",2014,"12 Bulan","Kecamatan Buahbatu","Belanja ATK dan Belanja Materai",APBD," 48000000","1,20,1,20.34.01,10",03-03-2014,02-12-2014
