lokasi,nama_komoditas,2016-01-01,2016-01-08,2016-01-15,2016-01-22,2016-01-29,2016-01-04,2016-01-05,2016-01-06,2016-01-07,2016-01-11,2016-01-12,2016-01-13,2016-01-18,2016-01-19,2016-01-20,2016-01-21,2016-01-25,2016-01-26,2016-01-27,2016-01-28,
Pasar Kiaracondong,Beras Medium,0,10000,10,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,10000,10000,10000,10000,10000,10000,
Pasar Kiaracondong,Cabe Merah,0,50000,0,30000,40000,50000,50000,50000,50000,40000,40000,0,40000,40000,30000,30000,40000,40000,40000,40000,
Pasar Kiaracondong,Bawang Merah,0,30000,30000,25000,28000,32000,32000,32000,30000,30000,30000,30000,30000,30000,25000,25000,28000,28000,28000,28000,
Pasar Kiaracondong,Daging Ayam Ras,0,38000,38,38000,38000,37000,37000,40000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,120000,
Pasar Kiaracondong,Telur Ayam Ras,0,24000,24,23000,23000,24000,24000,24000,24000,24000,24000,24000,24000,24000,23000,23000,23000,23000,23000,23000,
Pasar Kiaracondong,Daging Sapi,0,120000,112,120000,0,112000,112000,112000,112000,112000,112000,112000,112000,112000,120000,120000,120000,120000,120000,120000,
Pasar Kiaracondong,Minyak Goreng,0,14000,14,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,
Pasar Kiaracondong,Gula Pasir,0,12500,13,13000,13000,12500,12500,12500,12500,12500,12500,12500,12500,12500,13000,13000,12500,12500,12500,13000,
Pasar Kiaracondong,Kentang,0,12000,14000,14000,13000,13000,13000,13000,12000,14000,0,14000,14000,14000,14000,14000,13000,13000,13000,13000,
Pasar Kiaracondong,Kedelai,0,11000,10000,10000,10000,0,11000,11000,11000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,10000,
Pasar Kiaracondong,Tepung Terigu,0,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,
Pasar Kiaracondong,Bawang Putih,0,23000,23000,35000,32000,23000,23000,23000,23000,23000,23000,23000,23000,23000,35000,35000,32000,32000,32000,32000,
Pasar Kiaracondong,Cabe Keriting,0,50000,40000,35000,30000,55000,55000,55000,50000,40000,40000,40000,30000,30000,35000,35000,30000,30000,30000,30000,
Pasar Kiaracondong,Cabe Rawit,0,50000,40000,40000,40000,50000,50000,50000,50000,40000,40000,40000,45000,45000,40000,40000,40000,40000,40000,40000,
Pasar Kiaracondong,Kacang Tanah,0,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,
Pasar Kiaracondong,Ubi Kayu,0,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,
Pasar Kiaracondong,Ubi Jalar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pasar Kiaracondong,Jagung,0,8000,8000,8000,8000,8000,8000,0,8000,8000,8000,8000,8000,8000,8000,0,8000,8000,8000,8000,
Pasar Kiaracondong,Ikan Olahan,0,50000,50000,50000,60000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,0,50000,50000,60000,
Pasar Kiaracondong,Beras Premium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pasar Kiaracondong,Minyak Goreng Curah,0,10000,10,10000,10000,10000,10000,10000,10000,0,10000,10000,10000,10000,10000,10000,10000,0,10000,10000,
Pasar Kiaracondong,Daging Ayam Kampung,0,65000,65,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,38000,
Pasar Kiaracondong,Telur Ayam Kampung,0,45000,45,45000,45000,65000,65000,45000,45000,45000,45000,45000,45000,45000,45000,65000,45000,45000,45000,65000,
Pasar Kiaracondong,Susu Kental Manis Merk Bendera,0,11000,11,11000,11000,11000,11000,11000,11000,11000,38300,11000,11000,11000,11000,11000,11000,11000,11000,11000,
Pasar Kiaracondong,Susu Kental Manis Merk Indomilk,0,10000,10,10000,10000,10000,10000,10000,10000,10000,34950,10000,10000,10000,10000,10000,10000,10000,10000,10000,
Pasar Kiaracondong,Garam Beryodium Bata,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
Pasar Kiaracondong,Garam Beryodium Halus,0,3300,4000,4000,4000,3300,3300,3300,3300,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,
Pasar Kiaracondong,Tepung Terigu Cakra Kembar,0,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,
Pasar Kiaracondong,Tepung Terigu Kunci,0,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,
Pasar Kiaracondong,Mie Instan,0,0,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,
