NO,TANGGAL,TAHUN,TEMPAT,LEVEL,KATEGORI,PENGHARGAAN,PEMBERI,PENERIMA,PEMILIK PRESTASI
1,21/1/2016,2016,BANDUNG,PROPINSI,PIMPINAN,PENGHARGAAN DUKUNGAN APBD TERHADAP KELANCARAN PROGRAM RASKIN TERBAIK TAHUN 2015,GUBERNUR JAWA BARAT,WAKIL WALIKOTA,PEMKOT
2,21/1/2016,2016,BANDUNG,PROPINSI,PIMPINAN,PENGHARGAAN PENYALURAN DAN PEMBAYARAN HARGA TEBUS RASKIN TERBAIK TAHUN 2015,GUBERNUR JAWA BARAT,WAKIL WALIKOTA,PEMKOT
3,3/1/2016,2016,JAKARTA,NASIONAL,DINAS,BHAKTI YUDHA BRAMA JAYA,MENTERI DALAM NEGERI,WAKIL WALIKOTA,DINAS DAMKAR 
4,25/2/2016,2016,BANDUNG,NASIONAL,PIMPINAN,KOMITE NASIONAL PEMUDA INDONESIA (KNPI) AWARD 2016 ,KNPI JAWA BARAT,WALIKOTA,WALIKOTA
5,12/2/2016,2016,BANDUNG,NASIONAL,PIMPINAN,TATA KELOLA PEMERINTAHAN TERBAIK. NILAI SAKIP A ,SINDO WEEKLY,WALIKOTA,WALIKOTA
6,1/22/2016,2016,JAKARTA,NASIONAL,PIMPINAN,JAWA POS GROUP AWARD 2016 ,CEO JAWA POS,WALIKOTA,WALIKOTA
7,2/9/2016,2016,MATARAM,NASIONAL,PIMPINAN,ANUGRAH KEBUDAYAAN PWI PUSAT,MENKO PEMBANGUNAN DAN KEBUDAYAAN ,WALIKOTA,WALIKOTA
8,2015,2015,,PROPINSI,PIMPINAN,BKD AWARD,,,
9,,2015,BANDUNG,PROPINSI,BADAN,JUARA 4 LOMBA KELURAHAN TINGKAT PROPINSI,GUBERNUR JAWA BARAT,BKBPM,KELURAHAN RANCANUMPANG
10,,2015,BANDUNG,PROPINSI,BADAN,PENGHARGAAN REVITALISASI POSYANDU,GUBERNUR JAWA BARAT,BKBPM,BKBPM
11,,2015,,PROPINSI,DINAS,JUARA KE 1 SEPAK BOLA  LIGA NGABUBURIT,PROPINSI JAWA BARAT,DISYANJAK,DISYANJAK
12,,2015,BANDUNG,PROPINSI,KEWILAYAHAN,JUARA 1 LOMBA SEKOLAH SEHAT,PEMKOT BANDUNG,KECAMATAN BUAHBATU,SMKN 7
13,,2015,BANDUNG,PROPINSI,KEWILAYAHAN,JUARA 2 LOMBA POSYANDU,PEMKOT BANDUNG,KECAMATAN BUAHBATU,POSYANDU MAWAR RW. 09 KEL. CIJAWURA
14,,2015,BANDUNG,PROPINSI,KEWILAYAHAN,"JUARA 1 LOMBA ASMAUL HUSNA
(MEWAKILI WILAYAH GEDEBAGE)",PEMKOT BANDUNG,KECAMATAN BUAHBATU,KECAMATAN BUAHBATU
15,,2015,BANDUNG,PROPINSI,KEWILAYAHAN,JUARA HARAPAN 3 LOMBA DOKTER CILIK,PEMKOT BANDUNG,KECAMATAN ASTANAANYAR,KECAMATAN ASTANAANYAR
16,,2015,BANDUNG,PROPINSI,KEWILAYAHAN,"JUARA 2 LOMBA BKB,BKR",PEMKOT BANDUNG,KECAMATAN ASTANAANYAR,KECAMATAN ASTANAANYAR
17,,2015,BANDUNG,PROPINSI,KEWILAYAHAN,JUARA 1 KARATE TK. KOTA BANDUNG DAN TK. PROVINSI,PEMKOT BANDUNG,KECAMATAN RANCASARI,KECAMATAN RANCASARI
18,,2015,BANDUNG,PROPINSI,KEWILAYAHAN,JUARA 1 PASKIBRA SD TK. PROVINSI,PEMKOT BANDUNG,KECAMATAN RANCASARI,KECAMATAN RANCASARI
19,,2015,BANDUNG,PROPINSI,KEWILAYAHAN,JUARA 1 TARI JAIPONG TK. PROVINSI,PEMKOT BANDUNG,KECAMATAN RANCASARI,KECAMATAN RANCASARI
20,,2015,BANDUNG,PROPINSI,KEWILAYAHAN,JUARA 2 KARATE TK PROVINSI,PEMKOT BANDUNG,KECAMATAN RANCASARI,KECAMATAN RANCASARI
21,,2015,BANDUNG,PROPINSI,KEWILAYAHAN,JUARA 2 ADIWIYATA TK PROVINSI,PEMKOT BANDUNG,KECAMATAN RANCASARI,KECAMATAN RANCASARI
22,,2015,BANDUNG,PROPINSI,KEWILAYAHAN,JUARA 2 PMR SMP TK PROVINSI,PEMKOT BANDUNG,KECAMATAN RANCASARI,KECAMATAN RANCASARI
23,,2015,BANDUNG,PROPINSI,KEWILAYAHAN,JUARA 1 PRAMUKA SMP TK PROVINSI,PEMKOT BANDUNG,KECAMATAN RANCASARI,KECAMATAN RANCASARI
24,,2015,BANDUNG,PROPINSI,KEWILAYAHAN,JUARA 3 KARATE TK. PROVINSI,PEMKOT BANDUNG,KECAMATAN RANCASARI,KECAMATAN RANCASARI
25,,2015,BANDUNG,PROPINSI,KEWILAYAHAN,JUARA 2 LOMBA KELUARGA SAKINAH TK. PROVINSI JABAR,PEMKOT BANDUNG,KECAMATAN RANCASARI,KECAMATAN RANCASARI
26,,2015,BANDUNG,PROPINSI,KEWILAYAHAN,JUARA FAVORIT LOMAB MASAK FOOD ETHNIC,,PKK KECAMATAN BANDUNG KIDUL,PKK KECAMATAN BANDUNG KIDUL
27,,2015,BANDUNG,PROPINSI,KEWILAYAHAN,JUARA HARAPAN 3 PENDAMPING KELOMPOK POSYANDU,,PKK KECAMATAN BANDUNG KIDUL,PKK KECAMATAN BANDUNG KIDUL
28,,2015,BANDUNG,PROPINSI,KEWILAYAHAN,JUARA 1 AKSARA SUNDA FLS2N,,SMPN 34 BANDUNG,SMPN 34 BANDUNG
29,,2015,BANDUNG,PROPINSI,KEWILAYAHAN,JUARA 1 PADUAN SUARA,,SMPN 34 BANDUNG,SMPN 34 BANDUNG
30,8/19/2015,2015,BANDUNG,PROPINSI,BADAN,PENILAIAN PERUSAHAAN PMA DAN PMDN TERBAIK DALAM RANGKA HARI JADI JAWA BARAT KE-70,BPMPT JAWA BARAT,BAPPEDA,BAPPEDA
31,3/16/2015,2015,,PROPINSI,DINAS,LEMBAGA PELESTARI BUDAYA JAWA BARAT ,,DISBUDPAR,DISBUDPAR
32,,2015,SUKABUMI,PROPINSI,DINAS,JUARA II HELARAN SENI BUDAYA JAWA BARAT ,,DISBUDPAR,DISBUDPAR
