kecamatan,tahun,total_usulan,usulan_diakomodir,dana_diakomodir,usulan_tdk_diakomodir,dana_tdk_diakomodir,total_dana_usulan
Sukasari,2017,72,19,1495400000,53,5724000000,7219400000
Coblong,2017,85,33,6028250000,52,20293000000,26321250000
Babakan Ciparay,2017,53,26,3286000000,27,3744800000,7030800000
Bojongloa Kaler,2017,94,56,22635000000,38,13125000000,35760000000
Andir,2017,160,118,13284750000,42,3866300000,17151050000
Cicendo,2017,145,70,18710336000,75,11044100000,29754436000
Sukajadi,2017,234,92,19544452750,142,26815960000,46360412750
Cidadap,2017,115,42,1674000000,73,4544500000,6218500000
Bandung Wetan,2017,27,7,3977426000,20,18451026950,22428452950
Astana Anyar,2017,206,139,75614811002,67,5498350000,81113161002
Regol,2017,147,60,5322500000,87,10041452000,15363952000
Batununggal,2017,179,65,17942225000,114,27444165000,45386390000
Lengkong,2017,119,52,4849000000,67,27507000000,32356000000
Cibeunying Kidul,2017,247,62,9103260000,185,87369745000,96473005000
Bandung Kulon,2017,134,59,7672500000,75,19669500000,27342000000
Kiaracondong,2017,250,104,31432507000,146,18158670000,49591177000
Bojongloa Kidul,2017,270,134,15061700000,136,41711105000,56772805000
Cibeunying Kaler,2017,88,30,1392750000,58,20490235025,21882985025
Sumur Bandung,2017,89,73,28761131250,16,8295909375,37057040625
Antapani,2017,56,33,7091805000,23,6154200000,13246005000
Bandung Kidul,2017,137,48,9516000000,89,14381383000,23897383000
Buah Batu,2017,173,56,31248750000,117,38320337000,69569087000
Rancasari,2017,258,87,35004920000,171,220828340240,255833260240
Arcamanik,2017,119,33,5207066250,86,257770450000,262977516250
Cibiru,2017,909,297,662563040000,612,465393346000,1127956386000
Ujung Berung,2017,215,117,8437800000,98,9386375000,17824175000
Gedebage,2017,131,52,2332100000,79,4703300000,7035400000
Panyileukan,2017,235,68,84930000000,167,27713987500,112643987500
Cinambo,2017,50,13,130690000000,37,7751713567,138441713567
Mandalajati,2017,63,26,7646000000,37,14637467030,22283467030
