Kecamatan,Sendiri,Bersama,Umum,Tidak Ada
Bandung Kulon,"56,63","29,08","12,84","1,45"
Babakan Ciparay,"75,99","20,11","1,09","2,81"
Bojongloa Kaler,"76,29","23,71","0,00","0,00"
Bojongloa Kidul,"87,19","11,79","0,51","0,51"
Astana Anyar,"71,95","23,03","5,02","0,00"
Regol,"84,07","15,93","0,00","0,00"
Lengkong,"70,35","17,68","11,98","0,00"
Bandung Kidul,"77,53","20,79","1,68","0,00"
Buah Batu,"89,64","6,29","4,07","0,00"
Rancasari,"84,12","12,18","2,55","1,15"
Gedebage,"93,91","2,57","3,51","0,00"
Cibiru,"91,02","8,26","0,72","0,00"
Panyileukan,"83,65","7,38","8,96","0,00"
Ujung Berung,"66,20","14,54","17,54","1,72"
Cinambo,"73,63","7,82","18,55","0,00"
Arcamanik,"94,05","5,95","0,00","0,00"
Antapani,"68,48","27,49","2,37","1,67"
Mandalajati,"98,12","0,00","1,88","0,00"
Kiara Condong,"74,88","24,61","0,51","0,00"
Batununggal,"74,21","23,44","2,35","0,00"
Sumur Bandung,"61,82","23,60","14,57","0,00"
Andir,"60,90","31,31","7,78","0,00"
Cicendo,"71,20","20,46","8,34","0,00"
Bandung Wetan,"100,00","0,00","0,00","0,00"
Cibeunying Kidul,"84,58","8,94","6,48","0,00"
Cibeunying Kaler,"94,72","3,23","2,05","0,00"
Coblong,"50,93","47,97","1,11","0,00"
Sukajadi,"100,00","0,00","0,00","0,00"
Sukasari,"94,66","5,34","0,00","0,00"
Cidadap,"95,50","4,50","0,00","0,00"
