NO,NAMA ORGANISASI/LINGKUNG SENI,JENIS KESENIAN,ALAMAT,TAHUN BERDIRI,JUMLAH ANGGOTA (ORANG),TERDAFTAR PADA DISBUDPAR NO.
1,Intipada,Nasyid,Gg. Sauyunan RT 02 RW 06 Kelurahan Cibaduyut,1999,15,
2,Al Ayubi,Nasyid,Jl. H. Siti Mardiyah RT 01 RW 04 Kelurahan Cibaduyut,2000,15,
3,Al Rosid / Al Idris,Qasidah,Blok Pasantren RT 03 RW 01 Kelurahan Cibaduyut,2001,20,
4,Gajah Putih,Pencak Silat,Gg. H. Ibrahim RT 04 RW 06 Kelurahan Cibaduyut,1998,40,
5,Gagak,Pencak Silat,Warung Nangka RT 02 RW 06 Kelurahan Cibaduyut,1990,40,
6,Krancang,Kecapi, Reog Cikamandilan RT 02 RW 08 Kelurahan Cibaduyut,2002,10,
7,Huta Galih,Pencak Silat,Blok Pareman RT 01 RW 04 Kelurahan Mekarwangi,1989,25,
8,PPSI Pusaka Sera,Pencak Silat,Anggacarang RT 01 RW 05 Kelurahan Mekarwangi,2001,25,
9,Sawargi,Calung  Reog,Sekekuda RT 02 RW 07 Kelurahan Mekarwangi,2002,15,
10,Pancaniti,Lingkung Seni,RT 01 RW 02 Kelurahan Mekarwangi,,,
11,King Kobra,Dangdut,RT 05 RW 01 Kelurahan Cibaduyut Kidul,2002,15,
12,Setia Mawar Putra,Pencak Silat,RT 05 RW 05 Kelurahan Cibaduyut Kidul,1990,20,
13,Al Yasin,Nasyid,RT 01 RW 05 Kelurahan Cibaduyut Kidul,2000,6,
14,Najusalam,Nasyid,RT 03 RW 05 Kelurahan Cibaduyut Kidul,2000,6,
15,Sifausudur,Qasidah,RT 07 RW 05 Kelurahan Cibaduyut Kidul,2001,6,
16,Asti Nada,Dangdut,RT 05 RW 05 Kelurahan Cibaduyut Kidul,2000,6,
17,Pusaka Medal,Pencak Silat,RT 01 RW 06 Kelurahan Cibaduyut Kidul,1970,30,
18,Naruri,Nasyid,RT 05 RW 03 Kelurahan Cibaduyut Wetan,2002,12,
19,Nurul Iman,Nasyid,RT 03 RW 03 Kelurahan Cibaduyut Wetan,2003,12,
20,Uswatun Hasanah,Nasyid,RT 02 RW 02 Kelurahan Cibaduyut Wetan,2002,12,
21,Wangsit Sajati,Pencak Silat,RT 02 RW 04 Kelurahan Cibaduyut Wetan,1998,20,
22,Gajah Putih,Pencak Silat,RT 03 RW 02 Kelurahan Kebonlega,1985,20,
23,-,Reog,RT 05 RW 02 Kelurahan Kebonlega,2000,10,
24,Sanggar Relis,Upacara Adat  Tari,RT 02 RW 04 Kelurahan Kebonlega,1985,20,0293/102.11/J/1992
25,Pusaka Bandung,Pencak Silat,RT 03 RW 06 Kelurahan Kebonlega,1988,20,
26,PSMS,Reog,RT 07 RW 07 Kelurahan Kebonlega,1999,8,
27,Nada Fitrah,Nasyid,RT 12 RW 07 Kelurahan Situsaeur,2001,10,
28,Az Zroky,Nasyid,RT 12 RW 07 Kelurahan Situsaeur,2001,10,
29,Kharisma,Qasidah,RT 12 RW 07 Kelurahan Situsaeur,2001,10,
30,Fikrunnada,Nasyid,RT 12 RW 07 Kelurahan Situsaeur,2004,10,
31,Hawari,Nasyid,RT 10 RW 07 Kelurahan Situsaeur,1999,4,
32,Arrasy,Nasyid,RT 10 RW 07 Kelurahan Situsaeur,2000,6,
