NO,NAMA PERUSAHAAN,ALAMAT,KELURAHAN,KECAMATAN,TIPE PERUSAHAAN
1,PT. Bank NISP Tbk ,MTC Blok A-25,Sekejati,Buah Batu,Perbankan
2,PT. Bank Mega Tbk,Jl. Soekarno-Hatta No. 592,Sekejati,Buah Batu,Perbankan
3,PT. Bank BNP Tbk,MTC Blok B-7,Sekejati,Buah Batu,Perbankan
4,Bank Jabar Banten,MTC Blok D-22,Sekejati,Buah Batu,Perbankan
5,PT. Bank Syariah Mandiri,MTC Blok C-1,Sekejati,Buah Batu,Perbankan
6,PT. Bank Internasional Indonesia Tbk. ,MTC Blok B-25,Sekejati,Buah Batu,Perbankan
7,PT. Bank Central Asia Tbk. ,MTC Blok D-1-2,Sekejati,Buah Batu,Perbankan
8,PT. Bank Panin,MTC Blok D-17,Sekejati,Buah Batu,Perbankan
9,PT. Bank Mandiri Tbk,MTC Blok C-20,Sekejati,Buah Batu,Perbankan
10,PT. Bank Sinarmas ,MTC Blpk B-10-11,Sekejati,Buah Batu,Perbankan
11,PT. BRI (Pesero) Tbk,MTC Blok F-12,Sekejati,Buah Batu,Perbankan
12,PT. BRI (Pesero) Tbk,Jl. Rancabolang Rukan Kav-1,Sekejati,Buah Batu,Perbankan
13,Bank Jabar Banten,Jl. Soekarno-Hatta (Samsat) No. ,Sekejati,Buah Batu,Perbankan
14,PT. Bank BPRKS ,MTC Blok A-22,Sekejati,Buah Batu,Perbankan
15,PT. BPR Metro Asia Mandiri,MTC Blok D-16,Sekejati,Buah Batu,Perbankan
16,BPJS Ketenaga Kerjaan,Jl. Soekarno-Hatta No. 457,Sekejati,Buah Batu,BUMN/BUMD
17,PT. Jamkrida Jabar,Jl. Soekarno-Hatta No. 592,Sekejati,Buah Batu,BUMN/BUMD
18,Perum Penggadaian,MTC Blok C-26,Sekejati,Buah Batu,BUMN/BUMD
19,Hotel Ghotic,Jl. Soekarno-Hatta No. 534,Sekejati,Buah Batu,Hotel
20,Hotel Metro Indah Bandung,Jl. Soekarno-Hatta No. 590,Sekejati,Buah Batu,Hotel
21,Kampung Parahiangan,Metro Indah Mall,Sekejati,Buah Batu,Rentoran
22,Rekso Nasional Food,Jl. Soekarno-Hatta No. ,Sekejati,Buah Batu,Rentoran
23,Wahana Kuliner Indonesia,MTC Blok G-1,Sekejati,Buah Batu,Rentoran
24,KFC,Metro Indah Mall,Sekejati,Buah Batu,Rentoran
25,Hoca-hoca Bento,Metro Indah Mall,Sekejati,Buah Batu,Restoran
26,PT. Radyka Putra,MIM Blok C-12,Sekejati,Buah Batu,Kontraktor
27,PT. Insani Utama Indonesia,Komp. Puragabaya B-2,Sekejati,Buah Batu,Kontraktor
28,PT. Kayareha Insani,Komp. Puragabaya B-2,Sekejati,Buah Batu,Kontraktor
29,PT. Putra Panengah Kontraktor,Jl. GalaXy III No. 57,Sekejati,Buah Batu,Kontraktor
30,PT. Tanjung Mulia Makarti,MTC Blok B-16,Sekejati,Buah Batu,Kontraktor
31,PT. Profex Dan Mark Hutama,MTC Blok E-11,Sekejati,Buah Batu,Kontraktor
32,PT. Pembangkitan Pusaka Parahiangan,Jl. Rancabolang No. 36,Sekejati,Buah Batu,Kontruksi
33,PT. Insan Mulia Land,Jl. Soekarno-Hatta No. 550,Sekejati,Buah Batu,Kontruksi
34,PT. Teknih Umum,MTC Blok I-6,Sekejati,Buah Batu,Kontraktor
35,PT. Aliliga Rama Dhini,Jl. Soekarno-Hatta No. 550,Sekejati,Buah Batu,Perdasangan Umun
36,PT. Citra Niaga Teknologi,Jl. Soekarno-Hatta No. 550,Sekejati,Buah Batu,Perdasangan Umun
37,PT. Core Plus,Jl. Soekarno-Hatta No. 550,Sekejati,Buah Batu,Perdasangan Umun
38,PT. Kharisma Putera Pandawa,MTC Blok H-30,Sekejati,Buah Batu,Perdagangan Umum
39,PT. Rekayasa Indorepair,MTC Blok E-19,Sekejati,Buah Batu,Perdagangan Umum
40,PT. Pribumi Cahaya Mandiri,Jl. Soekarno-Hatta No. 548,Sekejati,Buah Batu,Perdagangan Umum
41,PT. Texcorp  International,Jl. Soekarno-Hatta No. 606,Sekejati,Buah Batu,Perdagangan Umum
42,PT. Kreasi Pesona Mandiri,Mtc Blok H-17,Sekejati,Buah Batu,Perdagangan Umum
43,PT. Baani Barru,Mtc Blok H-17,Sekejati,Buah Batu,Perdagangan Umum
44,PT. Sawa Dayu Kahuripan,Jl. Soekarno-Hatta No. 550,Skejati,Buah Batu,Perdagangan Umum
45,PT. Davacita Mulia,Jl. Soekarno-Hatta No. 550,Skejati,Buah Batu,Perdagangan Umum
46,PT. Setra Sejahtera Bersama,Jl. Soekarno-Hatta No. 548,Sekejati,Buah Batu,Perdagangan Umum
47,PT. Baktipos Finansial Inkor,Jl. Rancabolan Rukan Kav. 5,Sekejati,Buah Batu,Perdagangan Umum
48,PT. Labda Jaya Abadi,Komp. Buana Cigi Regency A No. 6,Sekejati,Buah Batu,Perdagangan Umum
49,PT. Citra Kreative,Jl. Rancabolang Rukan Kav. 09,Sekejati,Buah Batu,Perdagangan Umum
50,PT. Lestari Abadi Mandiri,Jl. Rancabolang Rukan Kav. 09,Sekejati,Buah Batu,Perdagangan Umum
51,PT. Wahana Garda Intiguna,Jl. Rancabolang Rukan Kav. 09,Sekejati,Buah Batu,Perdagangan Umum
52,PT. Santosa Adi Swarga,MIM Blok H-9,Sekejati,Buah Batu,Perdagangan Umum
53,PT. Presisi Tata Kreasi,Cluster Imperial Soho Kav. 10 Jl. rancabolang,Sekejati,Buah Batu,Perdagangan Umum
54,PT. Artdeco Sejahtera Abadi,Jl. Soekarno-Hatta No. 538,Sekejati,Buah Batu,Perdagangan Umum
55,PT. Perdana Satya Nugraha ,MTC Blok I-10,Sekejati,Buah Batu,Perdagangan Umum
56,PT. Lima Daya Prima,MTC Blok J-30,Sekejati,Buah Batu,Perdagangan Umum
57,PT. Angkasa Putra Pakuan,MTC Blok H-17,Sekejati,Buah Batu,Perdagangan Umum
58,PT. Artha Lintas Widya Persada,MTC Blok J-32,Sekejati,Buah Batu,Perdagangan Umum
59,PT. Karya Bersama Solusindo,MTC Blok I-30,Sekejati,Buah Batu,Perdagangan Umum
60,PT. Translindo Nusa Perdana,MTC Blok J-27,Sekejati,Buah Batu,Transportasi
61,PT. Yanatetra Logistics Bandung,MTC Blok H-57,Sekejati,Buah Batu,Transportasi
62,PT. Keyko Mitra Niaga,MTC Blok J-29,Sekejati,Buah Batu,Transportasi
63,PT. Ahlers Thoeng Indonesia,Jl. Soekarno-Hatta No. 606,Sekejati,Buah Batu,Transportasi
64,PT. Triniti Surya Gemilang\,Margahayuraya Brt Blok A-14 No. 2,Sekejati,Buah Batu,Transportasi
65,PT. Kece Transport Bandung,MTC Blok D-39,Sekejati,Buah Batu,Transportasi
66,PT. Teladan Tran's Indonesia,Jl. Neptunus Brt II No. 1,Sekejati,Buah Batu,Transportasi
67,PT. Ontime Express,MTC Blok D-65,Sekejati,Buah Batu,Transportasi
68,PT. Lokom Prima,Jl. Soekarno-Hatta No606,Sekejati,Buah Batu,Transportasi
69,PT. Kemasindo Cepat,MTC Blok D-39,Sekejati,Buah Batu,Transportasi
70,PT. Maskapai Asuransi Raya,MTC Blok D-15,Sekejati,Buah Batu,Jasa Asuransi Kerugian
71,PT. Agrotrans Metropolitan Express,MTC Blok G-26,Sekejati,Buah Batu,Jasa Pengiriman Brg. 
72,PT. Gustian Graha  Abadi,MTC Blok A-22,Sekejati,Buah Batu,Jasa Expedisi
73,PT. Asuransi Artarindo,MTC Blok J-18,Sekejati,Buah Batu,Jasa Asuransi Kerugian
74,PT. Marco Lintasindo,Jl. Soekarno-Hatta No. 606,Sekejati,Buah Batu,Jasa Expedisi
75,PT. Maqdis Salam,MTC Blok C-20,Sekejati,Buah Batu,Jasa Biro Perjalanan
76,PT. Tekno Buana Globalindo,MTC Blok C-20,Sekejati,Buah Batu,Jasa Konsultan
77,PT. Multi Artha Insurance Brokers,MTC Blok H-67,Sekejati,Buah Batu,Jasa Konsultan
78,PT. Focus Media Indonesia,MTC Blok C-15,Sekejati,Buah Batu,Jasa Periklanan
79,PT. Mercu Inter Globalindo,Jl. Ibrahin Ajie Gg. Parabon IIINo. 15-17,Sekejati,Buah Batu,Jasa Desain Interior Pesawat
80,PT. Surga Tamasya Wisata,MTC Blok C-32,Sekejati,Buah Batu,Jasa Biro Perjalanan Wisata
81,PT. Maqdis Wisata Islami,MTC Blok D-20,Sekejati,Buah Batu,Jasa Biro Perjalanan Wisata
82,PT. Travel In Stefle,MTC Blok J-8,Sekejati,Buah Batu,Jasa Travel
83,PT. Sarana Multi Indonesia,MTC Blok C-6,Sekejati,Buah Batu,Jasa Pengiriman
84,PT. Gaya Properti Sarana,Jl. Soekarno-Hatta No. 550,Sekejati,Buah Batu,Jasa Property
85,PT. Dua Lima Wisata Cemerlang,MTC Blok G-16,Sekejati,Buah Batu,Jasa Pelayanan Perjalanan Ibadah
86,PT. Mitraplan Enviratama. EC,Cluser Imperial Soho Kav. 3 Jl. Rancabolang,Sekejati,Buah Batu,Jasa Konsultan
87,PT. Hegar Abadi Jaya,MTC Blok G-57,Sekejati,Buah Batu,Jasa Keuangan
88,PT. Optimus Bisnis Konsulting,MTC Blok C-12,Sekejati,Buah Batu,Jasa Konsultan
89,PT. Jasa Perenana Nusantara,Cluser Imperial Soho Kav. 5 Jl. Rancabolang,Sekejati,Buah Batu,Jasa Konsultan Teknik
90,PT. Surya Rama Kemas ,Jl. Soekarno-Hatta No606,Sekejati,Buah Batu,Jasa Expedisi
91,PT. Kharisma Insan Sejati,Jl. Cijawura Girang V/12,Sekejati,Buah Batu,Jasa Biro Perjalanan Wisata
92,PT. Otomas Multi Finance,MTC Blok B-18,Sekejati,Buah Batu,Jasa Pembiayaan
93,PT. Quantum Profesional Mandiri,Jl. Cijawura Girang III No. 13A,Sekejati,Buah Batu,Jasa Konsultan dan Property
94,PT. Inaton Milik Bersama,MTC Blok I-15,Sekejati,Buah Batu,Jasa Expedisi/Cargo
95,PT. Lucas Djaja,Jl. Margacinta,Margasari,Buah Batu,Jasa Lainnya
96,PT. Marien,Jl. Ibrahim adjie,Margasari,Buah Batu,Jasa Lainnya
97,PT. Griya Pratama Toserba,Komp. Margahayu Raya RW. 14,Margasari,Buah Batu,Retail
98,PT. Amanda,Jl. Rancabolang,Margasari,Buah Batu,Perdagangan
99,PT. Muffin,Jl. Rancabolang,Margasari,Buah Batu,Perdagangan
100,CV. Angkasa,Jl. Cipagalo Girang,Margasari,Buah Batu,Penerbit
101,PT. Sekarwangi,Jl. Cipagalo Girang No. 11,Margasari,Buah Batu,Klinik Kesehatan
102,PT. BNI ,Komp. Mustika Hegar Permai,Margasari,Buah Batu,Bank
103,PT. Bank Jabar,Komp. Mustika Hegar Permai,Margasari,Buah Batu,Bank
104,PT. Telkom,Jl. Ciwastra,Margasari,Buah Batu,BUMN/BUMD
105,PT. PLN,Jl. Margacinta,Margasari,Buah Batu,BUMN/BUMD
106,PT. Trans Retail Indonesia,Jl. Soekarno Hatta,Cijawura,Buah Batu,Perdagangan Umum
107,Depo Mart,Jl. Margacinta,Cijawura,Buah Batu,Perdagangan Umum
108,Borma,Jl. Margacinta,Cijawura,Buah Batu,Perdagangan Umum
109,PT. Supera,Jl. Ibrahim Adjie,Cijawura,Buah Batu,Perdagangan Umum
110,PT. Mandala Usaha Jaya Abadi ,Jl. Margacinta,Cijawura,Buah Batu,Perdagangan Umum
111,PT. Bantar Guruh Makmur,Jl. Batu Permata IV/5,Cijawura,Buah Batu,Perdagangan Umum
112,Telkomsel,Jl. Soekarno Hatta,Jatisari,Buah Batu,Telekomunikasi
113,JNE,Jl. Kawaluyaan Indah Raya,Jatisari,Buah Batu,Jasa Pengiriman
114,PT Surya Madfistyrindo,Jl. Soekarno Hatta 703 Bdg,Jatisari,Buah Batu,Suplayer Rokok
115,PT. Margahayu Land,Jl. Soekarno Hatta,Jatisari,Buah Batu,Kontruksi/Kontraktor
116,PT. Adiputra Jaya,Jl. Soekarno Hatta,Jatisari,Buah Batu,Perdagangan
117,PT. Duma Karya Megar ,"Jl. Soekarno Hatta No, 47",Jatisari,Buah Batu,Perdagangan
118,PT. Jasa Raharja,Jl. Soekarno Hatta No. 689,Jatisari,Buah Batu,Asuransi
119,PT. Manohara Asri,Jl. Soekarno Hatta,Jatisari,Buah Batu,Distributor
120,PT Pasmatra Buana,Jl. Soekarno Hatta,Jatisari,Buah Batu,Distributor
121,PT. Suparma,Jl. Soekarno Hatta,Jatisari,Buah Batu,Marketing Kertas
122,PT. Arta Boga,Jl. Soekarno Hatta,Jatisari,Buah Batu,Distributor
123,PT. Arista,Jl. Soekarno Hatta,Jatisari,Buah Batu,Perdagangan Motor
124,PT. Citra Karya Pranata,Jl. Soekarno Hatta,Jatisari,Buah Batu,Showroom Mobil/
125,PT. Tunas Mobilindo Perkasa,Jl. Soekarno Hatta 725,Jatisari,Buah Batu,Showroom Mobil/Bengkel
126,PT. Graha Inti,Jl Kawaluyaan Indah I No. 15B,Jatisari,Buah Batu,Jasa Konsultan
127,PT Sunda Global,Jl. Kawaluyaan Indah Raya I,Jatisari,Buah Batu,Jasa Kontruksi
128,PT Asuransi Jasaraharja Putra,Jl. Soekarno Hatta 689 A,Jatisari,Buah Batu,Asursansi
129,PT. Sumber Alfaria Trijaya,Jl. Kawaluyaan Raya No. 26,Jatisari,Buah Batu,Minimarket
130,PT. Patuha Amanah,Jl. Kawaluyaan Indah XI No. 20,Jatisari,Buah Batu,Perjalanan Wisata
131,Wisata Insani,,Jatisari,Buah Batu,Tranportasi
132,PT. Bakti Anugrah Perdana,Jl. Soekarno Hatta No. 689,Jatisari,Buah Batu,Kontruksi baja
133,PT. Mustika Mahkota Kencana,Jl. Palem Kipas No. 22,Jatisari,Buah Batu,Jasa & Perdagangan Umum
134,PT. Bima Jaya Energindo,Jl. Puspa Utara III No. 06,Jatisari,Buah Batu,Jasa & Perdagangan Umum
135,PT. Inti Abadi Sentosa,Jl Kawaluyaan No. 12,Jatisari,Buah Batu,Jasa & Perdagangan Umum
136,PT. Sinergi Bina Persada,Jl. Kawaluyaan Indah VII No. 8,Jatisari,Buah Batu,Kontruksi
