id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,nama_kegiatan,jenis_belanja,jenis_pengadaan,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,pemilihan_penyedia,awal_pemilihan,akhir_pemilihan,awal_pekerjaan,akhir_pekerjaan
7129782,CCTV,30000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS PENDIDIKAN",2016,"Penerapan sistem dan informasi manajemen pendidikan",Modal,Barang,"1 paket","Kota Bandung","Tersedianya CCTV",APBD," 30000000",1.01.1.01.01.01.22.07.5.2.3.31.02,"Pengadaan Langsung",25-03-2016,07-04-2016,08-04-2016,30-04-2016
7173659,"Belanja Pengadaan Buku Perpustakaan untuk Mendukung Gerakan Literasi Sekolah",30000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS PENDIDIKAN",2016,"Pengembangan Sarana Dan Prasarana",Modal,Barang,"1 Paket","SMPN 15 Bandung","Tersedianya Buku Perpustakaan untuk Mendukung Gerakan Literasi Sekolah",APBD," 30000000",1.01.1.01.01.19.23.04.5.2.3.82.01,"Pengadaan Langsung",01-02-2016,30-06-2016,01-07-2016,31-12-2016
7187457,"Belanja Pakaian Dinas Harian (PDH)",35000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS PENDIDIKAN",2016,"Pengembangan Sarana dan Prasarana ",Barang/jasa,Barang,"1 paket","SMPN 40 Bandung","Tersedianya Pakaian Dinas Harian (PDH)",APBD," 35000000",1.01.1.01.01.44.23.04.5.2.2...,"Pengadaan Langsung",01-04-2016,30-04-2016,02-05-2016,31-05-2016
7187777,"Belanja Pengadaan Buku Perpustakaan untuk Mendukung Gerakan Literasi Sekolah",30000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS PENDIDIKAN",2016,"Pengembangan Sarana Dan Prasarana",Modal,Barang,"1 Paket","SMPN 52 Bandung","Tersedianya Buku Perpustakaan untuk Mendukung Gerakan Literasi Sekolah",APBD," 30000000",1.01.1.01.01.56.23.04.5.2.3.82.01,"Pengadaan Langsung",01-03-2016,31-03-2016,01-04-2016,30-04-2016
7129039,"Intalasi Speaker",2000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS PENDIDIKAN",2016,"Penerapan sistem dan informasi manajemen pendidikan",Modal,Barang,"1 paket","Kota Bandung","Tersedianya Instalasi Speaker",APBD," 2000000",1.01.1.01.01.01.22.07.5.2.3.29.05,"Pengadaan Langsung",06-06-2016,01-07-2016,04-07-2016,30-07-2016
7115558,"Network Attach Storage +8 TB HDD",50000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS PENDIDIKAN",2016,"Penerapan sistem dan informasi manajemen pendidikan",Modal,Barang,"1 unit","Kota Bandung","Tersedianya Network Attach Storage +8 TB HDD",APBD," 50000000",1.01.1.01.01.01.22.07.5.2.3.29.01,"Pengadaan Langsung",23-03-2016,06-04-2016,07-04-2016,30-04-2016
7007436,"Belanja Modal Peralatan Mesin - Pengadaan Alat Pendingin",29000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS PENDIDIKAN",2016,"Pengembangan Sumber Daya Manusia",Modal,Barang,"1 paket","SMPN 27 Bandung","Tersedianya Peralatan Mesin dan Alat Pendingin",APBD," 29000000",1.01.1.01.01.31.23.04.5.2.3.28.04,"Pengadaan Langsung",04-03-2016,31-05-2016,01-06-2016,31-12-2016,"Belanja Modal Peralatan Mesin - Pengadaan Alat Pendingin (6913519) "
7187802,"Pengadaan Alat Pendingin Ruangan/AC",72000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS PENDIDIKAN",2016,"Pengembangan Sarana dan Prasarana ",Modal,Barang,"6 unit","SMAN 27 Bandung","Tersedianya Alat Pendingin Ruangan/AC",APBD," 72000000",1.01.1.01.01.57.23.04.5.2.3.28.04,"Pengadaan Langsung",01-04-2016,30-04-2016,02-05-2016,30-06-2016
7115581,"Mainframe Server Simda",50000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS PENDIDIKAN",2016,"Penerapan sistem dan informasi manajemen pendidikan ",Modal,Barang,"1 unit","Kota Bandung","Tersedianya Mainframe Server Simda",APBD," 50000000",1.01.1.01.01.01.22.07.5.2.3.29.01,"Pengadaan Langsung",23-03-2016,06-04-2016,07-04-2016,30-04-2016
7173578,"Printer merk EPSON",12000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS PENDIDIKAN",2016,"Pengembangan Sarana dan Prasarana",Modal,Barang,"4 unit","SMPN 50 Bandung","tersedianya Printer merk EPSON",APBD," 12000000",1.01.1.01.01.54.23.04.5.2.3.27.05,"Pengadaan Langsung",31-03-2016,29-04-2016,02-05-2016,30-09-2016
7173758,"Belanja Lemari Arsip Besi",17760000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS PENDIDIKAN",2016,"Pengembangan Sarana dan Prasarana",Modal,Barang,"8 unit","SMPN 24 Bandung","Tersedianya Lemari Arsip Besi",APBD," 17760000",1.01.1.01.01.28.23.04.5.2.3.27.04,"Pengadaan Langsung",31-03-2016,18-04-2016,19-04-2016,02-05-2016
7160151,"Belanja Pengadaan Buku Perpustakaan Untuk Mendukung Gerakan Literasi Sekolah",30000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS PENDIDIKAN",2016,"Pengembangan Sarana dan Prasarana",Modal,Barang,"1 paket","SMPN 25 Bandung","Tersedianya Buku Perpustakaan Untuk Mendukung Gerakan Literasi Sekolah",APBD," 30000000",1.01.1.01.01.29.23.04.5.2.3.82.01,"Pengadaan Langsung",01-02-2016,30-03-2016,31-03-2016,31-12-2016
7119224,Tablet,45000000,e-Purchasing,APBD,"Pemerintah Daerah Kota Bandung","DINAS PENDIDIKAN",2016,"Penerapan sistem dan informasi manajemen pendidikan ",Modal,Barang,"5 unit","Kota Bandung","Tersedianya Tablet",APBD," 45000000",1.01.1.01.01.01.22.07.5.2.3.29.04,E-Purchasing,24-03-2016,07-04-2016,08-04-2016,30-04-2016
6940576,"Belanja Alat Tulis Kantor TKN Centeh",48000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS PENDIDIKAN",2016,"Penyediaan Alat Tulis Kantor",Barang/jasa,Barang,"1 paket","Kota Bandung","Tersedianya Alat Tulis Kantor TKN Centeh",APBD," 48000000",1.01.1.01.01.01.01.10.5.2.2.01.01,"Pengadaan Langsung",07-03-2016,23-03-2016,25-03-2016,31-03-2016
7160075,"Pengadaan Camera Digital",8000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS PENDIDIKAN",2016,"Pengembangan Sarana dan Prasarana",Modal,Barang,"1 unit","SMPN 4 Bandung","Tersedianya camera digital",APBD," 8000000",1.01.1.01.01.08.23.04.5.2.3.31.01,"Pengadaan Langsung",16-03-2016,31-03-2016,01-04-2016,30-04-2016
