id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,awal_pekerjaan,akhir_pekerjaan
3854883,"KECAMATAN GEDEBAGE","Peningkatan Perekonomian Masyarakat Kecamatan dan Kelurahan, Belanja Bahan Pakai Habis, Belanja Spanduk, Pamflet, Brosur, Umbul-umbul dan Sarana Informasi Lainnya (Kelurahan Cisaranten Kidul)",150000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN GEDEBAGE",2015,1,"Jl. Gedebage Selatan No.292",Langsung,APBD," 150000",1.20.1.20.36.30.01.5.2.2.01.10,02-04-2015,31-12-2016
3854075,"KECAMATAN GEDEBAGE","Peningkatan Pelayanan Administrasi Perkantoran, Belanja Pengisian Tabung Gas, Belanja Isi Tabung Gas (Kelurahan Cisaranten Kidul)",300000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN GEDEBAGE",2015,1,"Jl. Gedebage Selatan No.292",Langsung,APBD," 300000",1.20.1.20.36.01.14.5.2.2.01.08,02-04-2015,31-12-2016
3852951,"KECAMATAN GEDEBAGE","Peningkatan Pelayanan Administrasi Perkantoran, Belanja Jasa Kantor, Belanja Listrik (Kelurahan Cisaranten Kidul)",2600000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN GEDEBAGE",2015,1,"Jl. Gedebage Selatan No.292",Langsung,APBD," 2600000",1.20.1.20.36.01.02.5.2.2.03.03,02-04-2015,31-12-2016
3845494,"KECAMATAN GEDEBAGE","Peningkatan Pelayanan Kecamatan dan Kelurahan, Belanja Makanan dan Minuman Rapat, Belanja Makanan dan Minuman Kegiatan Eco Office (Kelurahan Cimincrang)",3500000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN GEDEBAGE",2015,1,"Jl. Gedebage Selatan No.292",Langsung,APBD," 3500000",1.20.1.20.36.30.07.5.2.2.11.05,01-04-2015,31-12-2016
3853481,"KECAMATAN GEDEBAGE","Peningkatan Pelayanan Administrasi Perkantoran, Belanja Jasa Kantor, Belanja Pemeliharaan Peralatan dan Perlengkapan Kantor/Rumah Tangga (Kelurahan Cisaranten Kidul)",2500000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN GEDEBAGE",2015,1,"Jl. Gedebage Selatan No.292",Langsung,APBD," 2500000",1.20.1.20.36.01.09.5.2.2.20.08,02-04-2015,31-12-2016
3841767,"KECAMATAN GEDEBAGE","Belanja Bahan Pakai Habis, Belanja Spanduk, Pamflet, Umbul-umbul dan Sarana Informasi Lainnya (Kelurahan Cimincrang)",200000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN GEDEBAGE",2015,1,"Jl. Gedebage Selatan No.292",Langsung,APBD," 200000",1.20.1.20.36.30.01.5.2.2.01.10,01-04-2015,31-12-2016
3841684,"KECAMATAN GEDEBAGE","Belanja Honorarium PNS, Belanja Honorarium Panitia Pelaksana Kegiatan (Kelurahan Cimincrang)",1600000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN GEDEBAGE",2015,1,"Jl. Gedebage Selatan No.292",Langsung,APBD," 1600000",1.20.1.20.36.30.01.5.2.1.01.01,01-04-2015,31-12-2016
3841267,"KECAMATAN GEDEBAGE","Belanja Bahan Pakai Habis, Belanja Bahan Bakar Minyak/Gas(BBM) (Kelurahan Cimincrang)",12000000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN GEDEBAGE",2015,1,"Jl. Gedebage Selatan No.292",Langsung,APBD," 12000000",1.20.1.20.36.02.24.5.2.2.01.06,01-04-2015,31-12-2016
3831716,"KECAMATAN GEDEBAGE","Belanja Bahan Habis Pakai, Belanja Materai dan Benda Pos (Kelurahan Cimincrang)",500000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN GEDEBAGE",2015,1,"Jl. Gedebage Selatan No.292",Langsung,APBD," 500000",1.20.1.20..36.01.10.5.2.2.01.04,31-03-2015,31-12-2016
3832258,"KECAMATAN GEDEBAGE","Belanja Cetak dan Penggandaan, Belanja Cetak (Kelurahan Cimincrang)",1000000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN GEDEBAGE",2015,1,"Jl. Gedebage Selatan No.292",Langsung,APBD," 1000000",1.20.1.20..36.01.11.5.2.2.06.01,31-03-2015,31-12-2016
3854694,"KECAMATAN GEDEBAGE","Peningkatan Sarana dan Prasarana Aparatur, Belanja Perawatan Kendaraan Bermotor, Belanja Jasa Service Kendaraan Operasional (Kelurahan Cisaranten Kidul)",1500000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN GEDEBAGE",2015,1,"Jl. Gedebage Selatan No.292",Langsung,APBD," 1500000",1.20.1.20.36.02.24.5.2.2.05.01,02-04-2015,31-12-2016
3845136,"KECAMATAN GEDEBAGE","Peningkatan Pelayanan Kecamatan dan Kelurahan, Belanja Cetak dan Penggandaan, Belanja Cetak (Kelurahan Cimincrang)",4000000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN GEDEBAGE",2015,1,"Jl. Gedebage Selatan No.292",Langsung,APBD," 4000000",1.20.1.20.36.30.07.5.2.2.06.01,01-04-2015,31-12-2016
3841383,"KECAMATAN GEDEBAGE","Belanja Perawatan Kendaraan Bermotor, Belanja Jasa Service, Belanja Jasa Service Kendaraan Operasional (Kelurahan Cimincrang)",800000,APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN GEDEBAGE",2015,1,"Jl. Gedebage Selatan No.292",Langsung,APBD," 800000",1.20.1.20.36.02.24.5.2.2.05.01,01-04-2015,31-12-2016
