nama_kecamatan,iud_sisa_bulan_lalu,kondom_sisa_bulan_lalu,implant_sisa_bulan_lalu,suntikan_sisa_bulan_lalu,pil_sisa_bulan_lalu,iud_diterima_bulan_ini,kondom_diterima_bulan_ini,implant_diterima_bulan_ini,suntikan_diterima_bulan_ini,pil_diterima_bulan_ini,iud_diterima_bulan_ini,kondom_diterima_bulan_ini,implant_diterima_bulan_ini,suntikan_diterima_bulan_ini,pil_diterima_bulan_ini,iud_sisa_akhir_bulan_ini,kondom_sisa_akhir_bulan_ini,implant_sisa_akhir_bulan_ini,suntikan_sisa_akhir_bulan_ini,pil_sisa_akhir_bulan_ini
Sukasari,55,37,43,104,549,10,24,30,120,300,9,17,3,149,485,56,44,70,75,364
Coblong,58,59,21,163,197,0,0,20,160,100,19,9,1,189,14,39,50,40,134,283
Babakan Ciparay,124,111,16,203,162,14,0,0,100,100,20,2,0,52,31,118,109,16,251,231
Bojongloa Kaler,48,48,11,49,144,25,0,0,200,29,4,2,11,146,115,69,46,0,103,58
Andir,122,100,18,327,350,25,0,0,60,0,14,18,0,60,2,133,82,18,327,348
Cicendo,38,449,0,27,228,0,0,0,40,0,11,10,0,49,1,27,439,0,18,227
Sukajadi,92,39,4,0,54,130,0,0,531,216,148,8,3,481,125,74,31,1,50,145
Cidadap,106,40,7,199,274,25,0,0,140,100,5,0,0,60,17,126,40,7,279,357
Bandung Wetan,26,80,15,91,417,10,0,0,100,0,15,7,3,122,14,21,73,12,69,403
Astana Anyar,93,193,9,448,407,27,0,12,280,35,33,20,5,238,71,87,173,16,490,371
Regol,75,98,0,290,297,0,0,0,80,0,31,2,0,94,12,44,96,0,276,285
Batununggal,95,36,10,186,197,100,0,25,170,0,112,2,26,244,32,83,34,9,112,165
Lengkong,121,93,30,141,517,0,0,0,240,0,5,14,0,174,63,116,79,30,207,454
Cibeunying Kidul,34,104,95,32,281,25,24,0,40,200,7,15,2,39,116,52,113,93,33,365
Bandung Kulon,34,34,8,403,290,0,0,0,0,0,7,13,0,84,53,27,21,8,319,237
Kiaracondong,54,30,11,47,170,50,0,0,140,0,3,4,0,57,29,101,26,11,130,141
Bojongloa Kidul,12,8,0,80,220,0,0,0,0,0,4,2,0,5,57,8,6,0,75,163
Cibeunying Kaler,17,10,10,32,54,0,24,0,40,0,2,12,0,20,12,15,22,10,52,42
Sumur Bandung,52,31,0,70,168,0,0,0,64,100,5,6,0,81,4,47,25,0,53,264
Antapani,61,85,13,59,222,0,0,0,60,0,1,0,0,76,35,60,85,13,43,187
Bandung Kidul,81,43,16,56,144,0,0,0,20,0,1,5,0,67,64,80,38,16,9,80
Buahbatu,73,89,4,82,208,25,0,20,220,100,9,5,1,138,8,89,84,23,164,300
Rancasari,34,36,0,102,121,0,0,0,140,100,5,3,0,155,78,29,33,0,87,143
Arcamanik,21,65,6,11,34,25,0,0,80,200,10,0,0,59,7,36,65,6,32,227
Cibiru,38,44,28,94,179,50,0,30,422,202,45,3,5,357,193,43,41,53,159,188
Ujung Berung,20,0,0,102,4,0,0,0,0,100,0,0,0,72,84,20,0,0,30,20
Gedebage,49,36,28,143,355,0,0,0,40,100,15,6,1,53,81,34,30,27,130,374
Panyileukan,62,13,19,27,129,0,0,0,176,100,2,3,1,91,80,60,10,18,112,149
Cinambo,183,32,13,281,321,100,0,0,0,0,105,14,0,60,82,178,18,13,221,239
Mandalajati,49,24,13,43,152,0,0,0,200,100,1,0,0,119,0,48,24,13,124,252
