npsn,nama,bentuk_pendidikan_nama,jenjang_pendidikan_nama,alamat_jalan,rt,rw,nama_dusun,desa_kelurahan_nama,Column,lintang,bujur,kebutuhan_khusus_nama,status_sekolah_nama,status_kepemilikan_nama
20245191,SD NEGERI DADALI,SD,SD / sederajat,Jl. Dadali No. 5,6,2,,Garuda,Kec. Andir,-6.9007,107.5655,Tidak ada,Aktif,Pemerintah Daerah
20219827,SD SAINS AL BIRUNI,SD,SD / sederajat,Jl. Panyileukan No. 11,2,1,,Cipadung Kidul,Kec. Panyileukan,-6.9302,107.7118,"C1, D",Tidak Aktif,Yayasan
20244956,SD NEGERI BOJONGLOA 4,SD,SD / sederajat,Jl. Cibaduyut Raya No. 142/199 C,2,7,Blok Lumbung,Kebon Lega,Kec. Bojong Loa Kidul,-6.951,107.5941,Tidak ada,Aktif,Lainnya
20245031,SD NEGERI HALIMUN 1,SD,SD / sederajat,Jl. Halimun No. 46,2,5,,Lingkar Selatan,Kec. Lengkong,-6.9271,107.6248,Tidak ada,Aktif,Pemerintah Daerah
20244907,SD NEGERI SARIJADI 07,SD,SD / sederajat,Komp. Perum Sarijadi Blok 8 No. 11,10,9,,Sarijadi,Kec. Sukasari,-6.8766,107.5769,"C1, D",Aktif,Pemerintah Daerah
20245103,SD NEGERI AWIGOMBONG 2,SD,SD / sederajat,Jl. Asep Berlian No. 33,4,6,,Cicadas,Kec. Cibeunying Kidul,-6.9079,107.6408,Tidak ada,Aktif,Pemerintah Daerah
20219597,SD DARUL HIKAM,SD,SD / sederajat,Jl. Ir. H. Juanda 285,6,9,,Dago,Kec. Coblong,-6.879,107.6161,Tidak ada,Tidak Aktif,Yayasan
20245783,SD NEGERI SOKA 34-3,SD,SD / sederajat,Jl. Soka No. 34,5,8,,Merdeka,Kec. Sumur Bandung,-6.9155,107.6288,Tidak ada,Aktif,Pemerintah Daerah
20245547,SD NEGERI COBLONG 2,SD,SD / sederajat,Jl. Ir.h. Juanda No. 304,2,9,Dago,Dago,Kec. Coblong,-6.8796,107.6166,Tidak ada,Aktif,Pemerintah Daerah
20245014,SD NEGERI BABAKAN CIPARAY 05,SD,SD / sederajat,Jl. Caringin Gg. Porib 3,3,2,,Babakan Ciparay,Kec. Babakan Ciparay,-6.9484,107.5844,Tidak ada,Aktif,Pemerintah Pusat
