kecamatan,kelompok_umur_15-19,kelompok_umur_20-24,kelompok_umur_25-29,kelompok_umur_30-34,kelompok_umur_35-39,kelompok_umur_40-44,kelompok_umur_45-49
Bandung Kulon ,3.26,9.83,10.55,16.78,30.43,12.94,16.21
Babakan Ciparay ,2.79,3.07,15.2,20.46,23.73,19.17,15.58
Bojongloa Kaler ,3.48,6.08,15.97,21.23,17.75,18.28,17.21
Bojongloa Kidul ,2.24,8.92,14.76,19.85,21.05,17.38,15.8
Astana Anyar ,1.63,6.04,11.76,18.47,20.5,20.47,21.13
Regol ,1.52,7.48,13.26,23.12,20.78,15.68,18.16
Lengkong ,2.35,4.64,12.87,15.55,19.95,25.54,19.1
Bandung Kidul ,3.54,5.21,10.84,15.53,22.44,26.04,16.4
Buah Batu ,2.06,4.06,14.9,15.48,24.93,20.82,17.75
Rancasari ,1.36,8.73,19.96,18.66,19.75,15.6,15.94
Gedebage ,1.86,9.1,16.86,17.45,19.11,16.4,19.22
Cibiru ,1.76,9.74,16.18,17.78,17.86,17.46,19.22
Panyileukan ,2.37,9.45,13.76,16.24,18.49,17.2,22.49
Ujung Berung ,2.18,4.68,11.09,19.31,17.22,17.72,27.8
Cinambo ,3.35,9.15,11.35,19.23,18.19,19.46,19.27
Arcamanik ,2.5,8.47,11.58,19.12,19.67,21.23,17.43
Antapani ,3.71,7.79,21.76,20.67,20.17,10.3,15.6
Mandalajati ,3.06,6.92,7.29,19.27,26.81,12.46,24.19
Kiara Condong ,1.32,5.66,11.4,23.62,20.42,16.19,21.39
Batununggal ,1.02,3.52,11.21,22.21,20.66,16.84,24.54
Sumur Bandung ,2.75,7.16,11.74,20.32,21.16,23.53,13.34
Andir ,0.4,6.48,18.19,17.24,20.62,24.06,13.01
Cicendo ,2.08,5.79,10.58,17.69,25.69,18.87,19.3
Bandung Wetan ,3.25,10.83,6.83,14.9,15.01,14.28,34.9
Cibeunying Kidul ,1.19,16.79,16.58,19.21,20.15,14.78,11.3
Cibeunying Kaler ,1.5,2.5,2.8,15.59,17.89,27.29,32.43
Coblong ,0.57,2.35,5.73,14.27,10.89,45.05,21.14
Sukajadi ,1.28,3.39,8.58,16.08,18.64,31.12,20.91
Sukasari ,2,5.96,10.29,28.39,17.8,15.95,19.61
Cidadap ,1.97,8.53,12.32,14.93,24.88,20.1,17.27
