nama_kecamatan,jumlah_pengguna_IUD,persentase_pengguna_IUD,jumlah_pengguna_MOW,persentase_pengguna_MOW,jumlah_pengguna_MOP,persentase_pengguna_MOP,jumlah_pengguna_kondom,persentase_pengguna_kondom,jumlah_pengguna_implan,persentase_pengguna_implan,jumlah_pengguna_suntikan,persentase_pengguna_suntikan,jumlah_pengguna_pil,persentase_pengguna_pil,jumlah_peserta_kb_aktif
Sukasari,1801,29.26,175,2.84,12,0.19,156,2.53,62,1.01,2859,46.45,1090,17.71,6155
Coblong,4284,35.35,1200,9.9,23,0.19,680,5.61,253,2.09,4271,35.24,1409,11.63,12120
Babakan Ciparay,3389,19.96,244,1.44,26,0.15,104,0.61,237,1.4,10347,60.94,2633,15.51,16980
Bojongloa Kaler,5510,39.59,446,3.2,56,0.4,229,1.65,190,1.37,4616,33.17,2870,20.62,13917
Andir,2250,22.34,747,7.42,19,0.19,154,1.53,269,2.67,4168,41.39,2463,24.46,10070
Cicendo,2667,27.55,515,5.32,32,0.33,226,2.33,156,1.61,4171,43.09,1912,19.75,9679
Sukajadi,3160,27.82,1976,17.4,37,0.33,530,4.67,150,1.32,3449,30.37,2056,18.1,11358
Cidadap,1301,21.36,224,3.68,7,0.11,50,0.82,516,8.47,3046,50,948,15.56,6092
Bandung Wetan,2061,53.09,420,10.82,27,0.7,99,2.55,101,2.6,739,19.04,435,11.21,3882
Astana Anyar,2255,33.66,259,3.87,43,0.64,174,2.6,234,3.49,2803,41.84,931,13.9,6699
Regol,4427,53.36,378,4.56,279,3.36,23,0.28,125,1.51,2532,30.52,533,6.42,8297
Batununggal,3460,30.13,273,2.38,18,0.16,208,1.81,84,0.73,5502,47.91,1939,16.88,11484
Lengkong,4156,38.89,294,2.75,20,0.19,407,3.81,200,1.87,4362,40.82,1248,11.68,10687
Cibeunying Kidul,3860,32.27,1125,9.4,53,0.44,219,1.83,83,0.69,5155,43.09,1468,12.27,11963
Bandung Kulon,6921,56.09,282,2.29,10,0.08,137,1.11,305,2.47,2685,21.76,1998,16.19,12338
Kiaracondong,3257,28.51,219,1.92,20,0.18,284,2.49,128,1.12,5556,48.63,1962,17.17,11426
Bojongloa Kidul,2212,23.21,125,1.31,32,0.34,28,0.29,231,2.42,6101,64.03,800,8.4,9529
Cibeunying Kaler,3068,41.45,228,3.08,34,0.46,132,1.78,196,2.65,2400,32.42,1344,18.16,7402
Sumur Bandung,2710,60.91,156,3.51,2,0.04,23,0.52,16,0.36,918,20.63,624,14.03,4449
Antapani,2840,39.45,169,2.35,31,0.43,210,2.92,77,1.07,2947,40.94,925,12.85,7199
Bandung Kidul,645,22.99,58,2.07,7,0.25,83,2.96,22,0.78,1451,51.71,540,19.24,2806
Buahbatu,2703,30.79,127,1.45,26,0.3,151,1.72,118,1.34,4392,50.03,1262,14.38,8779
Rancasari,3720,38.67,376,3.91,25,0.26,237,2.46,78,0.81,4200,43.66,984,10.23,9620
Arcamanik,2282,33.59,236,3.47,24,0.35,111,1.63,377,5.55,2962,43.6,802,11.8,6794
Cibiru,1298,19.45,127,1.9,31,0.46,142,2.13,226,3.39,3562,53.38,1287,19.29,6673
Ujung Berung,8160,67.39,126,1.04,58,0.48,246,2.03,323,2.67,1529,12.63,1667,13.77,12109
Gedebage,2287,32.77,818,11.72,124,1.78,305,4.37,233,3.34,2378,34.07,834,11.95,6979
Panyileukan,1481,38.29,133,3.44,4,0.1,176,4.55,76,1.96,1399,36.17,599,15.49,3868
Cinambo,853,27.21,66,2.11,9,0.29,58,1.85,34,1.08,1564,49.89,551,17.58,3135
Mandalajati,1947,23.83,275,3.37,10,0.12,169,2.07,139,1.7,3977,48.67,1654,20.24,8171
