TANGGAL,WAKTU,KEGIATAN PAM,Lokasi,Nama Pemohon,Unit Bantuan,,
4/28/2015,21:00+0700,Pembersihan dan penyemprotan Jalan, Trotoar dan Taman,Jl. Asia Afrika,Jl.Braga Taman Mesjid Raya,,
4/27/2015,21:00+0700,Pembersihan dan penyemprotan Jalan, Trotoar dan Taman,Jl. Asia Afrika,Jl.Braga Taman Mesjid Raya,,
4/26/2015,24:00+0700 s/d 08:00+0700,Penertiban PKL,Lapangan Gasibu dan Monumen Perjuangan,SATPOL PP,1 Unit,,
4/26/2015,09:00+0700,Festival Of Nation dalam rangka Peringatan Konferensi Asia ,Jl. Asia Afrika,Instruksi Walikota,1 Unit,,
4/25/2015,09:00+0700,Parade Kostum dalam rangka Peringatan Konferensi Asia Afrika (KAA),Jl. Asia Afrika,Instruksi Walikota,1 Unit,,
4/24/2015,08:00+0700,Peringatan Konferensi Asia Afrika (KAA),Jl.Dalem Kaum, Jalan Cikapundung, Jalan Asia Afrika dan Gedung Pakuan,,
4/23/2015,06:00+0700,Peringatan Konferensi Asia Afrika (KAA),Jl.Dalem Kaum, Jalan Cikapundung, Jalan Asia Afrika dan Gedung Pakuan,,
4/23/2015,08:00+0700,Harmoni Angklung For The Woed,Stadion Siliwangi,Panitia Penyelenggara Angklung For The Word,1 Unit,,
4/22/2015,21:00+0700,Pembersihan dan penyemprotan Jalan, Trotoar dan Taman,Jl. Asia Afrika Jl.Braga Taman Mesjid Raya,Instruksi Walikota,,
4/20/2015,21:00+0700,Pembersihan dan penyemprotan Jalan, Trotoar dan Taman,Jl. Asia Afrika Jl.Braga Taman Mesjid Raya,Instruksi Walikota,,
4/19/2015,24:00+0700 s/d 08:00+0700,Penertiban PKL,Lapangan Gasibu dan Monumen Perjuangan,SATPOL PP,1 Unit,,
4/19/2015,21:00+0700,Pembersihan dan penyemprotan Jalan, Trotoar dan Taman,Jl. Asia Afrika Jl.Braga Taman Mesjid Raya,Instruksi Walikota,,
4/16/2015,21:00+0700,Pembersihan dan penyemprotan Jalan, Trotoar dan Taman,Jl. Asia Afrika dan Taman Mesjid Raya,Instruksi Walikota,,
4/16/2015,08:00+0700,Kunjungan Presiden RI,Jl.Dalem Kaum Jalan Cikapundung Gedung Pakuan dan Jl.Asia Afrika,KODAM III Siliwangi,4 Unit,,
4/15/2015,21:00+0700,Pembersihan dan penyemprotan Jalan, Trotoar dan Taman,Jl. Asia Afrika dan Taman Mesjid Raya,Instruksi Walikota,,
4/14/2015,21:00+0700,Pembersihan dan penyemprotan Jalan, Trotoar dan Taman,Jl. Asia Afrika dan Taman Mesjid Raya,Instruksi Walikota,,
4/13/2015,09:00+0700,Kunjungan Wakil Presiden RI,Jl. R.E.Martadinata,KODAM III Siliwangi,1 Unit,,
4/12/2015,24:00+0700 s/d 08:00+0700,Penertiban PKL,Lapangan Gasibu dan Monumen Perjuangan,SATPOL PP,1 Unit,,
4/11/2015,21:00+0700,Pembersihan dan penyemprotan Jalan, Trotoar dan Taman,Jl. Asia Afrika dan Taman Mesjid Raya,Instruksi Walikota,,
4/11/2015,19:00+0700,Arcamanik Culinary Night,Sepanjang Jl. Arcamanik,Kecamatan Arcamanik,1 Unit,,
4/5/2015,24:00+0700 s/d 08:00+0700,Penertiban PKL,Lapangan Gasibu dan Monumen Perjuangan,SATPOL PP,1 Unit,,
4/1/2015,21:00+0700,Pembersihan dan penyemprotan Jalan, Trotoar dan Taman,Depan Gedung Merdeka dan Taman Mesjid Raya,Instruksi Walikota,,
3/29/2015,04:00+0700 s/d 08:00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit,,
3/29/2015,10:00+0700 s/d 16:00+0700,DUMSDAY,Lapangan PPI,Panitia DUMSDAY,1 Unit,,
3/28/2015,24:00+0700 s/d 08:00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit,,
3/24/2015,07:30+0700,Upacara Peringatan BLA ke 96 dan Pawai Obor,Lapangan Tegallega Balai Kota,SEKDA,3 Unit,,
3/22/2015,04:00+0700 s/d 08:00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit,,
3/22/2015,06:00+0700 s/d 12:00+0700,Run Colour Festival 2015,Lapangan PPI Pusenif,Halo Cities Digital Media,1 Unit,,
3/22/2015,06:00+0700 s/d 12:00+0700,Sosialisasi Bandung Sehat,Balkot Bandung,PT. Radio Tiara Rase Pradana,1 Unit,,
3/22/2015,06:00+0700 s/d 12:00+0700,Kerja Bakti Massal dan Penataan Lingkungan,Sepanjang Jalan Sukabumi,Kecamatan Batununggal,1 Unit,,
3/19/2015,12:00+0700 s/d 14:00+0700,Penutupan Diklat SSG Pesantren Daarut Tauhid,Pesantren Daarut Tauhid,SSG Daarut Tauhid,1 Unit,,
3/15/2015,04:00+0700 s/d 08:00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit,,
3/10/2015,10:00+0700 s/d 12:00+0700,Pembersihan dan Penyemprotan Balaikota Bandung,Balaikota Bandung,SEKDA,2 Unit,,
3/8/2015,04:00+0700 s/d 08:00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit,,
3/8/2015,09:00+0700 s/d 16:00+0700,D'BABARAYAAN,Balaikota Bandung,BBMC Indonesia,1 Unit,,
3/6/2015,21:00+0700 s/d 24:00+0700,Pembersihan dan Penyemprotan Basement Mesjid Raya Bandung,Basement Alun Alun Mesjid Raya Bandung,Kecamatan Regol,2 Unit,,
3/3/2015,10:00+0700,Apel Gelar Pasukan Peringatan Hari Jadi SAT POLPP ke 65 dan Sat.Lin Mas ke 53 Tingkat Nasional,Lapangan Gasibu ,SAT POL PP Provinsi,1 Unit,,
3/1/2015,04:00+0700 s/d 08:00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit,,
2/28/2015,07:00+0700 s/d 09:00+0700,Pembersihan & Penyemprotan Seputar Pasar Monju,Pasar Monju Monumen perjuangan,Kecamatan Coblong,1 Unit,,
2/28/2015,24:00+0700 s/d 08:00+0700,Penertiban PKL,Lapangan Gasibu danLapangan Monju,SAT POL PP,1 Unit,,
2/26/2015,07:00+0700 s/d 09:00+0700,Pembersihan & Penyemprotan Seputar Pasar Simpang Dago,Pasar Simpang Dago,Kecamatan Coblong,1 Unit,,
2/22/2015,08:00+0700 s/d 12:00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit,,
2/22/2015,08:00+0700 s/d 22:00+0700,Oz Music Galore Ultah Radio Oz ke 43 Tahun,Gedung SABUGA ITB,PT. Radio Mitragamma swara,1 Unit,,
2/21/2015,24:00+0700 s/d 08:00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit,,
2/18/2015,17:00+0700 s/d 22:00+0700,Konser Musik Noah  Bandung Love Story ,Trans Studio Bandung,PT.RHT Sauyunan,1 Unit,,
2/15/2015,08:00+0700 s/d 12:00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit,,
2/14/2015,14:00+0700 s/d 22:00+0700,The 9s Festival,Venue Concert Hall Eldorado\,The 9s Festival,1 Unit,,
2/14/2015,24:00+0700 s/d 08:00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit,,
2/13/2015,14:00+0700 s/d 22:00+0700,Friday Give,Dago Tea House,Droplet Indonesia,1 Unit,,
2/8/2015,08:00+0700 s/d 12:00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit,,
2/7/2015,24:00+0700 s/d 08:00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit,,
2/1/2015,08:00+0700 s/d 12:00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit,,
1/31/2015,24:00+0700 s/d 08:00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit,,
1/25/2015,08:00+0700 s/d 12:00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit,,
1/24/2015,24:00+0700 s/d 08:00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit,,
1/24/2015,24:00+0700 s/d 08:00+0700,Perayaan HUT Bank BNP (Bank Nusantara Parahyangan),Gedung SABUGA ITB Bandung,Panitia HUT BNP,1 Unit,,
1/23/2015,18:00+0700 s/d 22:00+0700,Penerimaan dan Pelantikan Perhimpunan Mahasiswa Bandung,Lapangan Gasibu Bandung,Panitia PMB,1 Unit,,5 Unit
1/18/2015,08:00+0700 s/d 12:00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit,,
1/18/2015,06:00+0700 s/d 14:00+0700,National Osteoporosis Day  Bersama Anline,Lapangan Tegallega Bandung,Divas Management,1 Unit,,9 Unit
1/17/2015,24:00+0700 s/d 08:00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit,,
1/11/2015,08:00+0700 s/d 12:00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit,,
1/10/2015,24:00+0700 s/d 08:00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit,,
1/4/2015,08:00+0700 s/d 12:00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit,,2 Unit
1/3/2015,24:00+0700 s/d 08:00+0700,Penertiban PKL,Lapangan Gasibu dan Lapangan Monju,SAT POL PP,1 Unit,,2 Unit
12/31/2014,-,Penyiraman/Pembersihan Taman Alun-Alun Kota Bandung,Alun-Alun Kota Bandung,Perintah Walikota Bandung,2,,
12/31/2014,-,Konser Musik Michael Learn To Rock,Trans Studio Bandung,Trans Studio Bandung,1,,
12/31/2014,-,Festival Malam Tahun Baru 2015,Jl. Cikapayang Dago,Dinas Kebudayaan dan Pariwisata Kota Bandung,1,,
12/30/2014,-,Penyiraman/Pembersihan Taman Alun-Alun Kota Bandung,Alun-Alun Kota Bandung,Perintah Walikota Bandung,2,,
12/29/2014,-,Penyiraman/Pembersihan Taman Alun-Alun Kota Bandung,Alun-Alun Kota Bandung,Perintah Walikota Bandung,2,,
12/28/2014,-,Penyiraman/Pembersihan Taman Alun-Alun Kota Bandung,Alun-Alun Kota Bandung,Perintah Walikota Bandung,2,,
12/28/2014,08:00 -02:00+0700,Penertiban PKL,Lapangan Gasibu Bandung,SAT POL PP,1,,
12/27/2014,-,Penyiraman/Pembersihan Taman Alun-Alun Kota Bandung,Alun-Alun Kota Bandung,Perintah Walikota Bandung,2,,
