lokasi,nama_komoditas,2017-01-01,2017-01-02,2017-01-03,2017-01-04,2017-01-05,2017-01-06,2017-01-07,2017-01-08,2017-01-09,2017-01-10,2017-01-11,2017-01-12,2017-01-13,2017-01-14,2017-01-15,2017-01-16,2017-01-17,2017-01-18,2017-01-19,2017-01-20,2017-01-21,2017-01-22,2017-01-23,2017-01-24,2017-01-25,2017-01-26,2017-01-27,2017-01-28,2017-01-29,2017-01-30,2017-01-31
"Pasar Kiaracondong","Beras Medium",0,10000,10000,10000,10000,10000,0,0,10000,10000,10000,10000,10000,0,0,10000,10000,10000,10000,10000,0,0,10000,10000,10000,10000,10000,0,0,10000,10000
"Pasar Kiaracondong","Cabe Merah",0,40000,40000,50000,50000,50000,0,0,50000,50000,40000,40000,40000,0,0,40000,40000,40000,40000,40000,0,0,40000,40000,40000,40000,40000,0,0,60000,60000
"Pasar Kiaracondong","Bawang Merah",0,26000,26000,35000,35000,35000,0,0,35000,30000,30000,30000,30000,0,0,30000,30000,30000,30000,30000,0,0,30000,30000,29000,30000,30000,0,0,30000,30000
"Pasar Kiaracondong","Daging Ayam Ras",0,32000,32000,34000,34000,34000,0,0,34000,34000,32000,32000,32000,0,0,34000,34000,34000,34000,33000,0,0,33000,33000,30000,30000,30000,0,0,30000,30000
"Pasar Kiaracondong","Telur Ayam Ras",0,22000,22000,21000,21000,21000,0,0,21000,21000,20000,20000,20000,0,0,19500,19500,19500,19500,19500,0,0,19500,19500,19500,19500,19500,0,0,19000,19000
"Pasar Kiaracondong","Daging Sapi",0,120000,120000,120000,120000,120000,0,0,120000,120000,120000,120000,120000,0,0,120000,120000,120000,120000,120000,0,0,120000,120000,120000,120000,120000,0,0,120000,120000
"Pasar Kiaracondong","Minyak Goreng",0,15000,15000,14500,14500,14500,0,0,14500,14500,15000,15000,15000,0,0,14000,14000,14000,14000,14000,0,0,14000,14000,14000,14000,14000,0,0,14000,14000
"Pasar Kiaracondong","Gula Pasir",0,14000,14000,15000,15000,15000,0,0,15000,15000,14000,14000,14000,0,0,14000,15000,16000,14000,13000,0,0,13000,13000,13000,13000,13000,0,0,36500,13000
"Pasar Kiaracondong",Kentang,0,14000,14000,15000,15000,15000,0,0,11000,12000,8000,16000,16000,0,0,16000,16000,16000,16000,16000,0,0,16000,16000,15000,15000,15000,0,0,15000,15000
"Pasar Kiaracondong",Kedelai,0,11000,11000,12000,12000,12000,0,0,12000,12000,11000,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,11000
"Pasar Kiaracondong","Tepung Terigu",0,7000,7000,8000,8000,8000,0,0,8000,8000,7000,7000,7000,0,0,7000,7000,7000,7000,7000,0,0,7000,7000,7000,7000,7000,0,0,7000,7000
"Pasar Kiaracondong","Bawang Putih",0,37000,37000,40000,40000,40000,0,0,38000,37000,37000,37000,37000,0,0,37000,37000,37000,31500,26000,0,0,37000,37000,38000,38000,38000,0,0,40000,40000
"Pasar Kiaracondong","Cabe Keriting",0,50000,50000,55000,55000,55000,0,0,52500,50000,50000,50000,50000,0,0,50000,50000,50000,50000,50000,0,0,50000,50000,60000,60000,60000,0,0,50000,50000
"Pasar Kiaracondong","Cabe Rawit",0,90000,90000,110000,110000,120000,0,0,120000,120000,120000,120000,120000,0,0,110000,110000,110000,110000,110000,0,0,110000,140000,140000,140000,140000,0,0,140000,140000
"Pasar Kiaracondong","Kacang Tanah",0,26000,26000,30000,30000,30000,0,0,30000,30000,26000,26000,26000,0,0,26000,26000,26000,26000,25000,0,0,25000,25000,25000,25000,25000,0,0,25000,25000
"Pasar Kiaracondong","Ubi Kayu",0,5000,5000,4000,4000,4000,0,0,4000,5000,5000,5000,5000,0,0,5000,5000,5000,5000,5000,0,0,5000,5000,5000,5000,5000,0,0,5000,5000
"Pasar Kiaracondong","Ubi Jalar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Kiaracondong",Jagung,0,8000,8000,7000,7000,7000,0,0,7000,7000,8000,8000,8000,0,0,8000,8000,8000,8000,8000,0,0,8000,8000,8000,8000,8000,0,0,8000,8000
"Pasar Kiaracondong","Ikan Olahan",0,60000,60000,70000,70000,70000,0,0,70000,70000,60000,60000,60000,0,0,60000,60000,60000,60000,60000,0,0,60000,60000,60000,60000,60000,0,0,60000,60000
"Pasar Kiaracondong","Beras Premium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Kiaracondong","Minyak Goreng Curah",0,13000,13000,12000,12000,12000,0,0,12000,12000,13000,13000,13000,0,0,12500,19250,26000,12500,12000,0,0,12000,12000,12000,12000,12000,0,0,12500,12500
"Pasar Kiaracondong","Daging Ayam Kampung",0,75000,75000,75000,75000,75000,0,0,75000,75000,75000,75000,75000,0,0,75000,75000,75000,75000,75000,0,0,75000,75000,75000,75000,75000,0,0,75000,75000
"Pasar Kiaracondong","Telur Ayam Kampung",0,45000,45000,44000,44000,44000,0,0,44000,44000,45000,45000,45000,0,0,45000,42500,7000,7000,7000,0,0,7000,7000,7000,7000,7000,0,0,7000,7000
"Pasar Kiaracondong","Susu Kental Manis Merk Bendera",0,11000,11000,10000,10000,10000,0,0,10000,10000,11000,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,11000
"Pasar Kiaracondong","Susu Kental Manis Merk Indomilk",0,10000,10000,9500,9500,9500,0,0,9500,9500,10000,10000,10000,0,0,10000,10000,10000,10000,10000,0,0,10000,10000,12000,14000,14000,0,0,14000,14000
"Pasar Kiaracondong","Garam Beryodium Bata",0,1000,1000,1500,1500,1500,0,0,1500,1500,1000,1000,1000,0,0,1000,1000,1000,1000,1000,0,0,1000,1000,1000,13000,25000,0,0,1000,1000
"Pasar Kiaracondong","Garam Beryodium Halus",0,6000,6000,6000,6000,6000,0,0,6000,6000,6000,6000,6000,0,0,6000,6000,6000,6000,6000,0,0,6000,6000,6000,6000,6000,0,0,6000,6000
"Pasar Kiaracondong","Tepung Terigu Cakra Kembar",0,8000,8000,8500,8500,8500,0,0,8500,8500,8000,8000,8000,0,0,8000,8000,8000,8000,8000,0,0,8000,8000,8000,8000,8000,0,0,8000,8000
"Pasar Kiaracondong","Tepung Terigu Kunci",0,7500,7500,7500,7500,7500,0,0,7500,7500,7500,7500,26000,0,0,26000,26000,26000,26000,26000,0,0,26000,26000,26000,26000,26000,0,0,26000,26000
"Pasar Kiaracondong","Mie Instan",0,2500,2500,2200,2200,2200,0,0,2200,2200,2500,2500,2500,0,0,2500,2500,2500,2500,2500,0,0,2500,2500,2500,2500,2500,0,0,2500,2500
"Pasar Kiaracondong","Cabe Rawit Hijau",0,80000,80000,100000,100000,100000,0,0,100000,80000,80000,80000,80000,0,0,80000,80000,80000,80000,80000,0,0,80000,80000,60000,40000,40000,0,0,38000,38000
"Pasar Kiaracondong","Kacang Hijau",0,21000,21000,24000,24000,24000,0,0,24000,24000,21000,21000,21000,0,0,21000,21000,21000,21000,21000,0,0,21000,21000,21000,21000,21000,0,0,21000,21000
"Pasar Kiaracondong","Susu Bubuk Dancow",0,38300,38300,41200,41200,41200,0,0,41200,41200,38300,38300,38300,0,0,38300,38300,38300,38300,38300,0,0,38300,38300,38300,38300,38300,0,0,38300,38300
"Pasar Kiaracondong","Susu Bubuk Indomilk",0,34950,34950,36500,36500,36500,0,0,36500,36500,34950,34950,34950,0,0,34950,34950,34950,34950,34950,0,0,34950,34950,34950,34950,34950,0,0,34950,34950
"Pasar Kiaracondong","Ikan Kembung",0,35000,35000,30000,30000,30000,0,0,30000,30000,35000,35000,35000,0,0,35000,35000,35000,35000,35000,0,0,35000,35000,35000,35000,35000,0,0,35000,35000
