NO,SALURAN,ALIRAN ,KELURAHAN,LOKASI/DILINTASI OLEH RW…,KETERANGAN
1,KALI/SUNGAI,ANAK KALI CILIMUS,KEL. SUKAASIH,RW 007/RW 008,
2,KALI/SUNGAI,ANAK KALI CILIMUS,KEL. BABAKAN TAROGONG,RW 001/RW 003/RW 004/RW 005/RW 007,PENUH SAMPAH PENDANGKALAN BANYAK JEMBATAN BANGUNAN LIAR
3,KALI/SUNGAI,ANAK KALI CILIMUS,KEL. KOPO,RW 009/RW 004/RW 007/RW 011,TAHAP PENGERUKAN OLEH TIM DBMP KOTA BANDUNG
4,KALI/SUNGAI,ANAK KALI CIROYOM,KEL. SUKAASIH,RW 004/RW 005/RW 008/RW 010,
5,KALI/SUNGAI,ANAK KALI CIROYOM,KEL. BABAKAN TAROGONG,RW 001/RW 003,PENUH SAMPAH PENDANGKALAN BANYAK JEMBATAN BANGUNAN LIAR
6,KALI/SUNGAI,ANAK KALI CITEPUS,KEL. SUKAASIH,RW 003/RW 004/RW 009,
7,KALI/SUNGAI,ANAK KALI CITEPUS,KEL. BABAKAN ASIH,RW 001/RW 007/RW 002/RW 003/RW 004,
8,KALI/SUNGAI,ANAK KALI CITEPUS,KEL. KOPO,RW 002/RW 003,SEMINGGU SEKALI ADA PENGERUKAN OLEH WARGA DAN SAMPAHNYA DITARIK OLEH PETUGAS SAMPAH KEL. KOPO
9,KALI/SUNGAI,ANAK KALI CITARIP,KEL. SUKAASIH,RW 009,
10,KALI/SUNGAI,ANAK KALI CITARIP,KEL. KOPO,RW 010/RW 008/RW 007,SETIAP HARI DIBERSIHKAN OLEH TIM GORONG-GORONG KEL. KOPO
11,KALI/SUNGAI,ANAK KALI CIKEUEUS,KEL. BABAKAN TAROGONG,RW 005,PENUH SAMPAH PENDANGKALAN BANYAK JEMBATAN BANGUNAN LIAR
12,KALI/SUNGAI,KALI CITEPUS,KEL. BABAKAN ASIH,RW 001,KALI PERBATASAN WILAYAH KELURAHAN BABAKAN ASIH DENGAN PANJUNAN
13,KALI/SUNGAI,TERUSAN KALI IRIGASI,KEL. BABAKAN ASIH,RW 006/RW 005/RW 004,PERBATASAN WILAYAH KEL. BABAKAN TAROGONG DAN KEL. BABAKAN ASIH
14,GORONG-GORONG/SAL AIR JL. PROTOKOL, JL. JAMIKA,KEL. JAMIKA,RW 001/RW 002/RW 006/RW 007,SETIAP HARI DIKONTROL DAN DIBERSIHKAN
15,GORONG-GORONG/SAL AIR JL. PROTOKOL,JL. TERUSAN PASIRKOJA,KEL. BABAKAN TAROGONG,RW 001/RW 002/RW 003/RW 006/RW 007,PENUH SAMPAH PENDANGKALAN BANYAK JEMBATAN BANGUNAN LIAR
16,GORONG-GORONG/SAL AIR JL. PROTOKOL,JL. PAGARSIH,KEL. JAMIKA,RW 003/RW 004/RW 008/RW 009/RW 011,SETIAP HARI DIKONTROL DAN DIBERSIHKAN
17,GORONG-GORONG/SAL AIR JL. PROTOKOL,JL. JEND. SUDIRMAN,KEL. JAMIKA,RW 002/RW 003/RW 004,SETIAP HARI DIKONTROL DAN DIBERSIHKAN
18,GORONG-GORONG/SAL AIR JL. PROTOKOL,JL. CIBADAK,KEL. JAMIKA,,
19,GORONG-GORONG/SAL AIR JL. PROTOKOL,JL. BABAKAN TAROGONG,KEL. SUKAASIH,RW 003/RW 004/RW 005/RW 006,
20,GORONG-GORONG/SAL AIR JL. PROTOKOL,JL. BABAKAN TAROGONG,KEL. BABAKAN TAROGONG,RW 001/RW 002/RW 003/RW 004/RW 006/RW 007,PENUH SAMPAH PENDANGKALAN BANYAK JEMBATAN BANGUNAN LIAR
21,GORONG-GORONG/SAL AIR JL. PROTOKOL,JL. SOEKARNO HATTA I,KEL. KOPO,RW 011/RW 004,
22,GORONG-GORONG/SAL AIR JL. PROTOKOL,JL. SOEKARNO HATTA II,KEL. KOPO,RW 002/RW 003,
23,GORONG-GORONG/SAL AIR JL. PROTOKOL,JL. KOPO,KEL. KOPO,RW 008/RW 007/RW 006/RW 005/RW 004,
24,GORONG-GORONG/SAL AIR JL. PROTOKOL,JL. KOPO,KEL. SUKAASIH,RW 001/RW 002,
25,GORONG-GORONG/SAL AIR JL. PROTOKOL,JL. KOPO,KEL. BABAKAN ASIH,RW 007/RW 002/RW 003/RW 004,KARENA GORONG-GORONG TERSEBUT TERTUTUP OLEH TROTOAR
26,GORONG-GORONG/SAL AIR JL. PROTOKOL,JL. PETA,KEL. SUKAASIH,RW 002/RW 003/RW 004/RW 005/RW 006/RW 007/RW 009/RW 010,
27,GORONG-GORONG/SAL AIR JL. PROTOKOL,JL. BABAKAN CIPARAY,KEL. SUKAASIH,RW 008,TERSUMBAT OLEH LUMPUR TERTUTUP OLEH JALAN MASUK
28,GORONG-GORONG/SAL AIR JL. PROTOKOL,JL. BABAKAN CIPARAY,KEL. KOPO,RW 001/RW 012/RW 011,SAMPAH/PENDANGKALAN OLEH TANAH/KABEL PLN/DAN GORONG-GORONG KECIL
29,GORONG-GORONG/SAL AIR JL. PROTOKOL,JL. CARINGIN,KEL. KOPO,RW 002,SAMPAH/PENDANGKALAN OLEH TANAH DAN GORONG-GORONG KECIL
