NO,NAMA PERUSAHAAN,ALAMAT,KET
1,BAR & GRILL ROSESS,Jalan Burangrang No. 39,
2,B.P. BUMI SANGKURIANG,Jl. Kiputih No. 12,
3,GARDEN SEVEN,Jl. Setiabudhi No. 182,
4,INUL VISTA,Jl. Sukajadi No. 137-139 Paris Pan Java  G-A-16,
5,NEWS PAPER KITCHEN AND LOUNGE,Jl. Sukajadi No. 137-139,
6,PT. ARTTRINDO BAHANA SETOSA/ODEUM,Jl. Sukajadi No. 137-139,
7,PT. HASTA KRIDA PRATAMA,Jl. Dr. Setiabudhi No. 29-A,
8,PT. HASTA KRIDA PRATAMA,Jl. Cihampelas No. 125-129,
9,PT. ISMAYA SUSHI (SUSHI GROOVE),Jl. Sukajadi No. 137-139,
10,PT. LISHAN JAYA PUTRA,Jalan Ir. H. Juanda No. 61-63,
11,PT. PRIMA RASA LESTARI,Jl. Ir. H. Juanda No. 145,
12,TALAGASARI BAR,Jl. Dr. Setiabudhi No. 269-275,
13,PT. DARIEN SYNERGY ABADI/HANG OUT,Jl. Dr. Junjunan No. 128,
