nama_kecamatan,iud,mow,mop,kondom,implant,suntikan,pil
Sukasari,3,0,0,0,0,24,2
Coblong,32,0,0,0,0,8,0
Babakan Ciparay,0,0,0,0,0,4,1
Bojongloa Kaler,13,0,0,0,0,1,13
Andir,5,0,0,0,0,0,0
Cicendo,6,0,0,0,0,22,5
Sukajadi,18,2,0,0,1,27,12
Cidadap,0,0,0,0,0,0,0
Bandung Wetan,0,0,0,0,0,0,0
Astana Anyar,0,0,0,0,0,0,0
Regol,0,0,0,0,0,4,0
Batununggal,4,0,0,0,0,59,8
Lengkong,4,0,0,0,0,1,0
Cibeunying Kidul,0,0,0,0,0,0,0
Bandung Kulon,1,0,0,2,0,36,0
Kiaracondong,14,2,0,1,0,26,3
Bojongloa Kidul,24,9,0,0,0,24,4
Cibeunying Kaler,5,0,0,0,0,0,0
Sumur Bandung,0,2,0,0,0,0,0
Antapani,0,0,0,0,0,2,0
Bandung Kidul,6,0,0,0,0,19,2
Buahbatu,16,0,0,1,0,18,0
Rancasari,21,11,0,0,0,21,6
Arcamanik,0,0,0,0,0,0,0
Cibiru,7,0,0,0,0,0,0
Ujung Berung,0,0,0,0,0,0,0
Gedebage,0,0,0,0,0,0,0
Panyileukan,0,0,0,0,0,0,0
Cinambo,0,0,0,0,0,0,0
Mandalajati,0,0,0,0,0,0,0
