id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,nama_kegiatan,jenis_belanja,jenis_pengadaan,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,pemilihan_penyedia,awal_pemilihan,akhir_pemilihan,awal_pekerjaan,akhir_pekerjaan
4858892,"Belanja Hardisk eksternal",15000000,"Pengadaan Langsung",APBDP,"Pemerintah Daerah Kota Bandung","KECAMATAN UJUNGBERUNG",2015,"Penyediaan peralatan dan perlengkapan kantor",Modal,Barang,"1 Paket","Kecamatan Ujungberung","Perubahan Anggaran",APBDP," 15000000",1.20.1.20.28.01.01.13.5.2.3.29.05,"Pengadaan Langsung",01-10-2015,31-12-2016,01-10-2015,31-12-2016,"Belanja Hardisk eksternal (4791412) "
3584004,"Belanja Televisi",5000000,"Penunjukan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN UJUNGBERUNG",2015,"Penyediaaan peralatan dan perlengkapan kantor",Modal,Barang,"1 Paket","Kelurahan Pasanggrahan",-,APBD," 5000000",1.20.1.20.28.01.13.5.2.3.28.06,"Penunjukan Langsung",26-01-2015,31-12-2016,26-01-2015,31-12-2016
3519985,"Belanja handphone",14000000,"Penunjukan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN UJUNGBERUNG",2015,"Penyediaan peralatan dan perlengkapan kantor",Modal,Barang,"1 Paket","Kelurahan Pasir Endah",-,APBD," 14000000",1.20.1.20.28.01.13.5.2.3.32.01,"Penunjukan Langsung",26-01-2015,31-12-2016,26-01-2015,31-12-2016
3583693,"Belanja Dekorasi",19000000,"Penunjukan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN UJUNGBERUNG",2015,"Dekorasi ruang kantor",Barang/jasa,Barang,"1 Keg","Kelurahan Pasirjati",-,APBD," 19000000",1.20.1.20.28.02.52.5.2.2.01.14.,"Penunjukan Langsung",26-01-2015,31-12-2016,26-01-2015,31-12-2016
3448797,"Belanja Lemari arsip",40000000,"Penunjukan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN UJUNGBERUNG",2015,"Penyediaan peralatan dan perlengkapan kantor",Modal,Barang,"1 Paket","Kecamatan Ujungberung",-,APBD," 40000000",1.20.1.20.28.01.13.5.2.3.30.07,"Penunjukan Langsung",26-01-2015,31-12-2016,26-01-2015,31-12-2016
3519690,"Belanja meja pelayanan",15000000,"Penunjukan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN UJUNGBERUNG",2015,"Penyediaan peralatan dan perlengkapan kantor",Modal,Barang,"1 Paket","Kelurahan Pasir Endah",-,APBD," 15000000",1.20.1.20.28.01.13.5.2.3.28.01,"Penunjukan Langsung",26-01-2015,31-12-2016,26-01-2015,31-12-2016
3688504,"Belanja modal motor roda tiga Kelurahan Pasirjati",422800000,"Penunjukan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN UJUNGBERUNG",2015,"Fasilitasi Pemberdayaan Lingkup RW",Modal,Barang,"14 Unit","Jl. Nagrog No.41 Ujungberung Bandung",-,APBD," 422800000",1.20.1.20.28.22.01.5.2.3.17.06,"Penunjukan Langsung",26-01-2015,31-12-2016,26-01-2015,31-12-2016,"Belanja modal motor roda tiga (3340588) "
3449725,"Belanja lemari kayu",3000000,"Penunjukan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN UJUNGBERUNG",2015,"Penyediaan peralatan rumah tangga",Modal,Barang,"1 Paket","Kecamatan Ujungberung",-,APBD," 3000000",1.20.1.20.28.01.14.5.2.3.28.01,"Penunjukan Langsung",26-01-2015,31-12-2016,26-01-2015,31-12-2016
3450023,"Belanja visual main equipment, LED Display, CCTV, UPS, Dual monitor",108800000,"Penunjukan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN UJUNGBERUNG",2015,"Pengadaan perlengkapan gedung kantor",Modal,Barang,"1 Paket","Kecamatan Ujungberung",-,APBD," 108800000",1.20.1.20.28.02.07.5.2.3.29.03,"Penunjukan Langsung",26-01-2015,31-12-2016,26-01-2015,31-12-2016
4789600,"Belanja kendaraan bermotor roda tiga/penyiraman Kelurahan Pasanggrahan",49000000,"Penunjukan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN UJUNGBERUNG",2015,"Pengadaan kendaraan dinas/operasional",Modal,Barang,"1 Unit","Kelurahan Pasanggrahan Kecamatan Ujungberung",-,APBD," 49000000",1.20.1.20.28.06.02.05.5.2.3.17.06,"Penunjukan Langsung",01-10-2015,31-12-2016,01-10-2015,31-12-2016
3450712,"Belanja mesin absensi",19000000,"Penunjukan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN UJUNGBERUNG",2015,"Pengadaan mesin/kartu absensi",Modal,Barang,"1 Paket","Kecamatan Ujungberung",-,APBD," 19000000",1.20.1.20.28.03.01.5.2.3.27.05,"Penunjukan Langsung",26-01-2015,31-12-2016,26-01-2015,31-12-2016
3520597,"Belanja papan pengumuman",5000000,"Penunjukan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN UJUNGBERUNG",2015,"Penyediaan peralatan dan perlengkapan kantor",Modal,Barang,"1 Paket","Kelurahan Cigending",-,APBD," 5000000",1.20.1.20.28.01.13.5.2.3.27.05,"Penunjukan Langsung",26-01-2015,31-12-2016,26-01-2015,31-12-2016
3448682,"Belanja kursi rapat",12000000,"Penunjukan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN UJUNGBERUNG",2015,"Penyediaan peralatan dan perlengkapan kantor",Modal,Barang,"1 Paket","Kecamatan Ujungberung",-,APBD," 12000000",1.20.1.20.28.01.13.5.2.3.30.04,"Penunjukan Langsung",26-01-2015,31-12-2016,26-01-2015,31-12-2016
3449478,"Belanja mesin pompa",7000000,"Penunjukan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN UJUNGBERUNG",2015,"Penyediaan peralatan rumah tangga",Modal,Barang,"1 Paket","Kecamatan Ujungberung",-,APBD," 7000000",1.20.1.20.28.01.14.5.2.3.27.05,"Penunjukan Langsung",26-01-2015,31-12-2016,26-01-2015,31-12-2016
