NO,KECAMATAN,LAKI-LAKI,PEREMPUAN
1,SUKASARI,40588,38122
2,COBLONG,68283,62158
3,BABAKAN CIPARAY,59657,55573
4,BOJONGLOA KALER,66913,62798
5,ANDIR,64732,60443
6,CICENDO,36485,34245
7,SUKAJADI,58341,55142
8,CIDADAP,31925,28040
9,BANDUNG WETAN,24493,21995
10,ASTANA ANYAR,42155,39891
11,REGOL,29981,28176
12,BATUNUNGGAL,39412,37854
13,LENGKONG,46617,43737
14,CIBEUNYING KIDUL,69429,63311
15,BANDUNG KULON,68686,65285
16,KIARACONDONG,67568,64181
17,BOJONGLOA KIDUL,44435,40409
18,CIBEUNYING KALER,42578,38843
19,SUMUR BANDUNG,28027,24757
20,ANTAPANI,23273,21477
21,BANDUNG KIDUL,26836,25594
22,BUAH BATU,51652,48718
23,RANCASARI,51037,47964
24,ARCAMANIK,39804,37452
25,CIBIRU,39027,35124
26,UJUNGBERUNG,33376,31076
27,GEDEBAGE,37502,35307
28,PANYILEUKAN,13165,12066
29,CINAMBO,22622,20698
30,MANDALAJATI,19834,18991
