nama_kecamatan,jumlah_pengguna_IUD,persentase_pengguna_IUD,jumlah_pengguna_MOW,persentase_pengguna_MOW,jumlah_pengguna_MOP,persentase_pengguna_MOP,jumlah_pengguna_kondom,persentase_pengguna_kondom,jumlah_pengguna_implan,persentase_pengguna_implan,jumlah_pengguna_suntikan,persentase_pengguna_suntikan,jumlah_pengguna_pil,persentase_pengguna_pil,jumlah_peserta_kb_aktif
Sukasari,2059,33.1,189,3.04,21,0.34,118,1.9,72,1.16,2473,39.76,1288,20.71,6220
Coblong,4481,35.96,1213,9.74,23,0.18,670,5.38,285,2.29,4379,35.14,1409,11.31,12460
Babakan Ciparay,3493,20.22,249,1.44,33,0.19,103,0.6,254,1.47,10455,60.52,2688,15.56,17275
Bojongloa Kaler,5590,39.43,449,3.17,60,0.42,260,1.83,215,1.52,4679,33,2924,20.62,14177
Andir,2572,24.05,786,7.35,21,0.2,160,1.5,282,2.64,4403,41.16,2472,23.11,10696
Cicendo,2653,27.24,512,5.26,33,0.34,222,2.28,170,1.75,4164,42.76,1984,20.37,9738
Sukajadi,3190,26.27,1809,14.9,31,0.26,489,4.03,162,1.33,3970,32.7,2491,20.52,12142
Cidadap,1396,21.74,268,4.17,7,0.11,121,1.88,548,8.53,3132,48.78,949,14.78,6421
Bandung Wetan,1605,46.67,438,12.74,73,2.12,73,2.12,102,2.97,720,20.94,428,12.45,3439
Astana Anyar,2551,35.22,296,4.09,48,0.66,133,1.84,242,3.34,3054,42.16,920,12.7,7244
Regol,4542,51.16,386,4.35,47,0.53,280,3.15,152,1.71,2903,32.7,568,6.4,8878
Batununggal,3695,30.05,278,2.26,18,0.15,208,1.69,95,0.77,6008,48.86,1994,16.22,12296
Lengkong,2189,41.34,234,4.42,16,0.3,201,3.8,214,4.04,1867,35.26,574,10.84,5295
Cibeunying Kidul,4154,31.82,1144,8.76,53,0.41,283,2.17,316,2.42,5537,42.41,1568,12.01,13055
Bandung Kulon,5116,54.05,300,3.17,10,0.11,143,1.51,316,3.34,2241,23.68,1339,14.15,9465
Kiaracondong,4059,29.55,241,1.75,20,0.15,460,3.35,187,1.36,6277,45.7,2492,18.14,13736
Bojongloa Kidul,2248,24,130,1.39,32,0.34,88,0.94,234,2.5,5832,62.27,802,8.56,9366
Cibeunying Kaler,2502,37.44,140,2.1,27,0.4,111,1.66,57,0.85,2522,37.74,1323,19.8,6682
Sumur Bandung,871,34.48,103,4.08,2,0.08,153,6.06,92,3.64,899,35.59,406,16.07,2526
Antapani,2936,38.33,176,2.3,31,0.4,227,2.96,90,1.17,3238,42.27,962,12.56,7660
Bandung Kidul,1569,26.98,122,2.1,7,0.12,116,1.99,57,0.98,2850,49,1095,18.83,5816
Buahbatu,2892,30.75,141,1.5,26,0.28,160,1.7,151,1.61,4747,50.47,1288,13.69,9405
Rancasari,2302,36.21,144,2.26,11,0.17,239,3.76,44,0.69,2533,39.84,1085,17.07,6358
Arcamanik,2404,34.08,238,3.37,24,0.34,111,1.57,401,5.68,3070,43.52,806,11.43,7054
Cibiru,1729,22.14,165,2.11,33,0.42,144,1.84,197,2.52,3872,49.58,1670,21.38,7810
Ujung Berung,14078,69.98,148,0.74,58,0.29,486,2.42,409,2.03,3214,15.98,1725,8.57,20118
Gedebage,2243,37.93,572,9.67,102,1.72,157,2.65,119,2.01,2025,34.24,696,11.77,5914
Panyileukan,1593,37.68,141,3.33,3,0.07,200,4.73,91,2.15,1606,37.98,594,14.05,4228
Cinambo,924,28.14,68,2.07,9,0.27,61,1.86,47,1.43,1619,49.3,556,16.93,3284
Mandalajati,2015,23.55,287,3.35,10,0.12,201,2.35,164,1.92,4181,48.87,1698,19.85,8556
