Kecamatan,Belum Kawin,Kawin,Cerai Hidup,Cerai Mati
Cibeunying Kaler,10507,14954,1428,2910
Buah Batu,13923,22361,455,2210
Bandung Wetan,4053,7663,669,2050
Gedebage,4401,8446,427,1370
Cicendo,8828,26810,2122,5884
Babakan Ciparay,17848,32064,1071,5762
Rancasari,8050,18468,852,5304
Andir,12772,20384,1975,5296
Bandung Kulon,19521,34121,961,5075
Regol,10292,19304,2368,4435
Batununggal,17049,31603,2421,4395
Sukasari,9533,20530,1247,4212
Astana Anyar,10240,15322,654,3721
Mandalajati,8279,13908,242,3679
Antapani,8926,18338,687,3564
Sukajadi,20696,25837,1011,2894
Bojongloa Kaler,19848,29114,1016,2863
Bojongloa Kidul,11899,19078,1063,2806
Coblong,22392,28002,1825,2714
Cibeunying Kidul,16466,28299,493,2712
Lengkong,8849,18027,1594,2569
Bandung Kidul,8924,13071,399,2396
Sumur Bandung,6473,7439,443,2223
Kiara Condong,16658,33564,2683,1941
Cidadap,6244,17470,622,1736
Cibiru,6455,19151,165,1555
Ujung Berung,10937,19536,457,1517
Panyileukan,5032,9386,1024,1172
Arcamanik,10016,17686,371,940
Cinambo,3434,6084,697,850
