nama_kecamatan,jumlah_pengguna_IUD,persentase_pengguna_IUD,jumlah_pengguna_MOW,persentase_pengguna_MOW,jumlah_pengguna_MOP,persentase_pengguna_MOP,jumlah_pengguna_kondom,persentase_pengguna_kondom,jumlah_pengguna_implan,persentase_pengguna_implan,jumlah_pengguna_suntikan,persentase_pengguna_suntikan,jumlah_pengguna_pil,persentase_pengguna_pil,jumlah_peserta_kb_aktif
Sukasari,2041,33.16,189,3.07,21,0.34,115,1.87,68,1.1,2446,39.74,1275,20.71,6155
Coblong,4483,35.86,1213,9.7,23,0.18,689,5.51,285,2.28,4396,35.16,1414,11.31,12503
Babakan Ciparay,3483,20.19,249,1.44,33,0.19,103,0.6,254,1.47,10446,60.57,2679,15.53,17247
Bojongloa Kaler,5573,39.45,449,3.18,56,0.4,257,1.82,210,1.49,4670,33.05,2913,20.62,14128
Andir,2534,23.85,782,7.36,19,0.18,158,1.49,281,2.65,4378,41.21,2471,23.26,10623
Cicendo,2677,27.39,513,5.25,33,0.34,216,2.21,171,1.75,4177,42.73,1988,20.34,9775
Sukajadi,3272,27.85,1994,16.97,47,0.4,593,5.05,188,1.6,3514,29.91,2142,18.23,11750
Cidadap,1386,21.76,258,4.05,7,0.11,122,1.92,549,8.62,3097,48.63,950,14.92,6369
Bandung Wetan,1600,46.81,434,12.7,73,2.14,73,2.14,102,2.98,709,20.74,427,12.49,3418
Astana Anyar,2506,34.83,301,4.18,49,0.68,145,2.02,244,3.39,3024,42.03,926,12.87,7195
Regol,4536,51.28,386,4.36,279,3.15,47,0.53,152,1.72,2880,32.56,565,6.39,8845
Batununggal,3680,30.03,278,2.27,18,0.15,211,1.72,95,0.78,5971,48.72,2003,16.34,12256
Lengkong,2176,41.36,233,4.43,16,0.3,201,3.82,214,4.07,1841,34.99,580,11.02,5261
Cibeunying Kidul,4053,31.19,1144,8.8,53,0.41,289,2.22,299,2.3,5575,42.9,1583,12.18,12996
Bandung Kulon,6699,58.05,294,2.55,10,0.09,174,1.51,330,2.86,2287,19.82,1746,15.13,11540
Kiaracondong,4003,27.15,234,1.59,20,0.14,460,3.12,183,1.24,7053,47.83,2792,18.94,14745
Bojongloa Kidul,2257,23.2,131,1.35,32,0.33,29,0.3,237,2.44,6152,63.25,889,9.14,9727
Cibeunying Kaler,2905,40.26,262,3.63,34,0.47,214,2.97,127,1.76,2353,32.61,1320,18.3,7215
Sumur Bandung,867,34.28,101,3.99,2,0.08,153,6.05,92,3.64,903,35.71,411,16.25,2529
Antapani,2923,38.41,176,2.31,31,0.41,222,2.92,90,1.18,3218,42.29,950,12.48,7610
Bandung Kidul,1573,25.77,120,1.97,7,0.11,142,2.33,57,0.93,3010,49.3,1196,19.59,6105
Buahbatu,2858,30.97,132,1.43,26,0.28,160,1.73,148,1.6,4620,50.07,1284,13.91,9228
Rancasari,3834,38.89,379,3.84,36,0.37,242,2.45,80,0.81,4288,43.5,999,10.13,9858
Arcamanik,2392,34.19,238,3.4,24,0.34,111,1.59,401,5.73,3026,43.25,804,11.49,6996
Cibiru,1447,19.77,128,1.75,31,0.42,159,2.17,274,3.74,3853,52.64,1428,19.51,7320
Ujung Berung,14076,67.46,148,0.71,58,0.28,482,2.31,409,1.96,3989,19.12,1703,8.16,20865
Gedebage,2223,37.79,538,9.14,111,1.89,164,2.79,133,2.26,2005,34.08,709,12.05,5883
Panyileukan,1578,37.95,133,3.2,3,0.07,198,4.76,90,2.16,1564,37.61,592,14.24,4158
Cinambo,912,28.01,68,2.09,9,0.28,61,1.87,47,1.44,1603,49.23,556,17.08,3256
Mandalajati,2032,23.55,285,3.3,10,0.12,200,2.32,171,1.98,4241,49.15,1690,19.59,8629
