NO.,NAMA TEMPAT,ALAMAT,KELURAHAN,KETERANGAN
1,AL-KAUTSAR,Jl. Pasirluyu RT. 05 RW. 01,PASIRLUYU,
2,AL-HIKMAH,Jl. Pasirluyu RT. 02 RW. 01,PASIRLUYU,
3,AL-IKHSAN,Jl. Pasirluyu RT. 04 RW. 02,PASIRLUYU,
4,AL-ALIAH,Jl. Pasirluyu RT. 02 RW. 02,PASIRLUYU,Mushola
5,ASSYIFA,Jl. Pasirluyu RT. 05 RW. 02,PASIRLUYU,Mushola
6,AL-HUDA,Jl. Pasirluyu RT. 05 RW. 03,PASIRLUYU,
7,AT-TASYAKUR,Jl. Pasirluyu RT. 05 RW. 04,PASIRLUYU,
8,AL-MUMINUN,Jl. Pasirluyu RT. 04 RW. 05,PASIRLUYU,
9,AL-HUJOROT,Jl. Pasir Jaya RT. 03 RW. 06,PASIRLUYU,
10,MUHAMMADIYAH,Jl. Pasir Jaya RT. 02 RW. 06,PASIRLUYU,Mushola
11,AL-MUQARROBUN,Jl. Sukaati RT. 02 RW. 07,PASIRLUYU,
12,AL-KAUTSAR,Jl. Sukaati RT. 05 RW. 07,PASIRLUYU,
13,AL-IKHLAS,Jl. Sukaati RT. 01 RW. 07,PASIRLUYU,Mushola
14,AL-MUSLIMIN,Jl. Mengger Girang RT. 04 RW. 08,PASIRLUYU,
15,AR-ROHMAN,Jl. Mengger Girang RT. 13 RW. 08,PASIRLUYU,
16,AL-IKHLAS,Jl. Mengger Girang RT. 12 RW. 08,PASIRLUYU,Mushola
17,DARUSSALAM,Jl. Pasirwangi RT. 02 RW. 09,PASIRLUYU,
18,MESJID AL MANSUR,Jl. Sriwijaya RT. 01/01,CISEUREUH,
19,MESJID MADDAUL,Babakan Priangan RT. 05/01,CISEUREUH,
20,MESJID IKHWANUL QORIB,Babakan Priangan RT. 04/01,CISEUREUH,
21,MESJID AL FURQON,Babakan Priangan RT. 10/01,CISEUREUH,
22,MESJID AL RAHMAN,Babakan Priangan RT. 08/01,CISEUREUH,
23,MESJID AL JANNAH,Jl. Denki Selatan V RT. 05/02,CISEUREUH,
24,MESJID AL HAYYAT,Gg. Denki Selatan I RT. 01/02,CISEUREUH,
25,MESJID AL HIKMAH,Dungusema RT. 01/03,CISEUREUH,
26,MESJID AL AKROM,Gg. Sura RT. 02/04,CISEUREUH,
27,MESJID AL FATWA,Babakan Kajaksan RT. 04/04,CISEUREUH,
28,MESJID AL MUSLIMUN,Jl. PLN Dalam RT. 02/05,CISEUREUH,
29,MESJID NURUL HUDA,Gg. Aki Artani RT. 04/05,CISEUREUH,
30,MESJID BAITUL KHOIROT,Gg. H. Afandi RT. 07/05,CISEUREUH,
31,MESJID NURUL JANNAH,Jl. PLN Dalam RT. 08/05,CISEUREUH,
32,MESJID AHMAD HIDAYATH,Gg. Empang Ciburuy RT. 03/06,CISEUREUH,
33,MESJID QUATUL IMAN,Gg. Empang Ciburuy RT. 01/06,CISEUREUH,
34,MESJID AL IKHLAS,Gg. Empang Ciburuy RT. 05/06,CISEUREUH,
35,MESJID AL HIKMAH,Ciburuy RT. 07/06,CISEUREUH,
36,MESJID AL IKHSAN,Babakan Ciseureuh Timur RT. 01/07,CISEUREUH,
37,MESJID AL HIKMAH,Babakan Jantra RT. 02/08,CISEUREUH,
38,MESJID AL IKHLAS,Jl. Sriremaja RT. 07/01,CIGERELENG,
39,MESJID SABILUSSALAM,Jl. Sriwijaya RT. 05/02,CIGERELENG,
40,MESJID AL MUNAWAROH,Jl. Srigadis RT. 02/03,CIGERELENG,
41,MESJID AZ DZIKRO,Jl. Srigalih RT. 04/03,CIGERELENG,
42,MESJID AT TAUBAH,Jl. Moch Toha RT. 01/04,CIGERELENG,
43,MESJID AR ROHMAN,Gg. Silih Asih III RT. 03/04,CIGERELENG,
44,MESJID BAHRUL ULUM,Jl.H. Aksan RT. 02/04,CIGERELENG,
45,MESJID BAITUROHMAN,Jl. Kembar Barat RT. 03/05,CIGERELENG,
46,MESJID JAMIATUL MUMININ,Jl. Kembar Tengah RW. 06,CIGERELENG,
47,MESJID AR RISALAH,Jl. Madurasa Tengah RT. 03/07,CIGERELENG,
48,MESJID JAMIATUROHMAH,Jl. Denki II RT. 01/08,CIGERELENG,
49,MESJID AL MUJADDID,Jl. Kembar Baru RT. 06/09,CIGERELENG,
50,MESJID AN NUR (PT. INTI),Jl. Moch. Toha RT. 01/09,CIGERELENG,
51,MESJID SABILUL FITROH,Jl. Sriwijaya RT. 03/10,CIGERELENG,
52,MESJID AL HILAL (LANGGAR),Denki VI RT. 04/08,CIGERELENG,
53,MESJID NURUL HIKMAH (LANGGAR),Gg. Moh. Ramdhan RT. 03/09,CIGERELENG,
54,GEREJA GEKARI  MK,Jl. Moh. Ramdhan No. 97 Rt.01/03,CIGERELENG,
55,AL AMIN,Jl. Srimahi III RT.06/01,ANCOL,
56,AS SARIF,Gg. Mochamad Iwan I RT. 03/02,ANCOL,
57,AL HUDA,Jl. Ancol Kawung RT. 02/03,ANCOL,
58,AR RAHMAN,Jl. Ancol Timur I RT. 05/04,ANCOL,
59,NURUL ZANNAH,Gg. Mochamad Iwan I No. 40 RT. 03/05,ANCOL,
60,NURUL IMAN,Jl. Sri Wenda No. 7 RT. 05/06,ANCOL,
61,BAETUL ARQOM,Jl. Kembar Timur V RT. 02/07,ANCOL,
62,NURUL HUDA,Jl. Pasir Salam II RT. 03/07,ANCOL,
63,AL ZIHAD,Jl. Pasirluyu I Gg. Bbk Garut RT. 02/08,ANCOL,
64,BANI KANTI,Jl. BKR RT. 02/08,ANCOL,
65,AL FATAH,Jl. Pasirluyu VII RT. 04/08,ANCOL,
66,AL HIDAYAH,Jl. Pasir Salam III RT. 07/09,ANCOL,
67,AL MUNAWAROH,Jl. Pasir Huni Raya No. 30 RT. 01/09,ANCOL,
68,AL IKHBAR,Jl. Ancol Barat RW. 01,CIATEUL,RW. 01
69,AL MIFTAH,Jl. Ancol Barat No. 3/10,CIATEUL,RW.02
70,AL MUHAJIDIN,Jl. Sawah Kurung IV No. 12,CIATEUL,RW. 03
71,AL FATAH,Jl. Kota Baru II No. 13,CIATEUL,RW. 04
72,NURUL ROHMAN,Jl.H. Samsudin No. 64,CIATEUL,RW. 05
73,AL HILLAL,Jl. Ciateul No. 17/20c,CIATEUL,RW. 06
74,AL ISLAH,Jl.H.Sayuti,CIATEUL,RW. 07
75,MESJID SMP 11,Jl.H. Samsudin No. 34,CIATEUL,RW. 07
76,AL HIDAYAH (HUBDAM),Jl. Moch. Toha No. 55,CIATEUL,RW. 07
77,AL IKHLAS,Jl. Prawira No. 1,CIATEUL,RW. 08
78,AN NUR,Jl. PLN Ciateul I,CIATEUL,RW. 09
79,AL JIHAD (Mushola),Jl. Sukarta No. 7,CIATEUL,RW. 07
80,AS SUQRI  (Mushola Koramil),Jl. Moch Toha No. 55,CIATEUL,RW. 07
81,AL MUAMALAH (Mushola),Jl. Sukarsah Blk No. 19,CIATEUL,RW. 08
82,GEREJA EFFRATA,Jl. BKR No. 172,CIATEUL,Gereja
83,GEREJA GKIM GLORIA,Jl. Moch Toha No. 69,CIATEUL,Gereja
84,YAYASAN ELSADDAY,Jl. Pungkur No. 216b,CIATEUL,Tempat Pertemuan
85,GKI,Jl. Pungkur No. 216j,CIATEUL,Tempat Pertemuan
86,BETHEL TABERNAKEL,Jl. Langensari No. 42,CIATEUL,Tempat Pertemuan
87,MESJID NURUL FALAH,Gg. Ijan RT. 03/01 Bandung,PUNGKUR,
88,MESJID AS SIROJ,Gg. Kacamata RT. 02/02 Bandung,PUNGKUR,
89,MESJID NURUSSALAM,Gg. Jaksa RT. 05/02 Bandung,PUNGKUR,
90,MESJID AL-FURQON,ITC Kebon Kelapa RT. 01/02 Bandung,PUNGKUR,
91,MESJID ATTA IBIN,Gg. Natawijaya RT. 02/03 Bandung,PUNGKUR,
92,MESJID AL USWAH,Jl. Pasundan RT. 03/03 Bandung,PUNGKUR,
93,MESJID AL HASANAH,Jl. Pasundan RT. 07/04 Bandung,PUNGKUR,
94,MESJID AL FALAH,Jl. Nurkiman RT. 02/04 Bandung,PUNGKUR,
95,MESJID AL KAHFI,Jl. Dudukuy RT. 02/05 Bandung,PUNGKUR,
96,MESJID AL MOHTAR,Jl. Pangampaan RT. 02/06 Bandung,PUNGKUR,
97,MESJID AL ATTIHAD,Gg. Muncang RT. 07/01 Bandung,PUNGKUR,
98,GEREJA SANTO PAULUS,Jl. Moch. Toha 19 Bandung,PUNGKUR,
99,VIHARA BUDHA SASANA,Gg. Ijan No. 8 RT. 01/02 Bandung,PUNGKUR,
100,VIHARA BUDHA SASANA,Jl. Moch. Toha Dalam RT. 08/01 Bandung,PUNGKUR,
101,MESJID RAYA PROP.JAWA BARAT,Jl. Asia Afrika No.    Bandung,BALONGGEDE,
102,Al-BAKRI,Jl. Simpang Blk No. 20,BALONGGEDE,
103,AL-IKHLAS,Jl. Adisuren,BALONGGEDE,
104,ASSALAAM,Jl. Sasakgantung,BALONGGEDE,
105,ANIMIFTAHUSALAAM,Jl. Cakradireja,BALONGGEDE,
106,AL-HIKMAH,Jl. Bp. Ilus,BALONGGEDE,
107,AL-IKHLAS,Jl. Cakradireja,BALONGGEDE,
108,AL-BAROKAH,Jl. Pasundan,BALONGGEDE,
109,AL-ISLAM,Gg. H. Rais,BALONGGEDE,
110,AL-IKHLAS,Jl. Ratna,BALONGGEDE,
111,AL-HUDA,Jl. Jembatan Baru,BALONGGEDE,
112,DARUL HIKAM,Gg. Warsoma No.5,BALONGGEDE,
113,NURUL HIKMAH,Gg. Ancol Utara I,BALONGGEDE,
114,BAITUL QIROM,Gg. Ancol Utara VII,BALONGGEDE,
115,GEREJA BETHEL INDONESIA,Gedung Parking King's S.C Lt. XV,BALONGGEDE,
116,GEREJA REHOBOTH,Jl. R. Dewi Sartika No. 38,BALONGGEDE,
117,GEREJA YESUS SEJATI,Jl. Pungkur,BALONGGEDE,
118,GEREJA KALAM KUDUS,Jl. Pasundan,BALONGGEDE,
119,VIHARA KARUNA,Jl. Sasak Gantung No. 24 Telp. 4234597,BALONGGEDE,
