"no_reg","alamat_lokasi","nama_kelurahan","nama_kecamatan"
"0001/KRK-DISTARCIP/I-2014","BALADEWA I","Pajajaran","Cicendo"
"0002/KRK-DISTARCIP/I-2014","SARIMANIS BLOK 13 NO. 68","Sarijadi","Sukasari"
"0003/KRK-DISTARCIP/I-2014","ANTARIKSA NO. 2","Sukaraja","Cicendo"
"0004/KRK-DISTARCIP/I-2014","GEDEBAGE NO- 172","Cisaranten Kidul","Gedebage"
"0005/KRK-DISTARCIP/I-2014","AWI TALI NO.7","Cicadas","Cibeunying Kidul"
"0006/KRK-DISTARCIP/I-2014","PAMEKAR TIMUR XV NO 7","Mekar Mulya","Panyileukan"
"0007/KRK-DISTARCIP/I-2014","BABAKAN RIUNG BANDUNG NO.90","Cisaranten Kidul","Gedebage"
"0008/KRK-DISTARCIP/I-2014","SETRAWANGI RAYA BLOK LEUMAH NEUNDEUT","Sukagalih","Sukajadi"
"0009/KRK-DISTARCIP/I-2014","SETIABUDI BLK 100 GG. MEKAR BUDI NO. 104","Hegarmanah","Cidadap"
"0010/KRK-DISTARCIP/I-2014","KOMP KOPO MAS REGENCY H -15","Margasuka","Babakan Ciparay"
"0011/KRK-DISTARCIP/I-2014","BATU RADEN I","Mekar Jaya","Rancasari"
"0012/KRK-DISTARCIP/I-2014","ARCAMANIK","Sindang Jaya","Mandalajati"
"0013/KRK-DISTARCIP/I-2014","SUKAPURA NO.141/133","Sukapura","Kiaracondong"
"0014/KRK-DISTARCIP/I-2014","NEPTUNUS RAYA BLOK A.24 NO.2","Sekejati","Buahbatu"
"0015/KRK-DISTARCIP/I-2014","MUARASARI 51","Kebon Lega","Bojongloa Kidul"
"0016/KRK-DISTARCIP/I-2014","BLOK RANCAHAUR","Margasari","Buahbatu"
"0017/KRK-DISTARCIP/I-2014","KOMP BUMI SINDANGJAYA A-20","Sindang Jaya","Mandalajati"
"0018/KRK-DISTARCIP/I-2014","PASIRKALIKI NO.816/65 (JL. DR. DJUNJUNAN)","Sukabungah","Sukajadi"
"0019/KRK-DISTARCIP/I-2014","PARAKAN WANGI II NO. 3","Batununggal","Bandung Kidul"
"0020/KRK-DISTARCIP/I-2014","PURNAWARMAN NO. 9","Babakan Ciamis","Sumur Bandung"
"0021/KRK-DISTARCIP/I-2014","KO.BUMI PANYILEUKAN BLOK G-1 KAV.NO. 8","Cipadung Kidul","Panyileukan"
"0022/KRK-DISTARCIP/I-2014","MAPLE LIVING NO. 9","Cibuntu","Bandung Kulon"
"0023/KRK-DISTARCIP/I-2014","BATIK JOGJA NO. 23","Sukaluyu","Cibeunying Kaler"
"0024/KRK-DISTARCIP/I-2014","KOMP. TAMAN HOLIS INDAH I BLOK E3 NO. 5 + 5 A = 5 B","Cigondewah Kidul","Bandung Kulon"
"0025/KRK-DISTARCIP/I-2014","CIMANUK NO. 12","Citarum","Bandung Wetan"
"0026/KRK-DISTARCIP/I-2014","RADEN PATAH NO. 28","Lebak Gede","Coblong"
"0027/KRK-DISTARCIP/I-2014","BABAKAN CIAMIS NO.76","Babakan Ciamis","Sumur Bandung"
"0028/KRK-DISTARCIP/I-2014","KP RANCASAWO","Margasari","Buahbatu"
"0029/KRK-DISTARCIP/I-2014","DAKOTA RAYA NO. 50","Sukaraja","Cicendo"
"0030/KRK-DISTARCIP/I-2014","RAYA CIMINDI","Campaka","Andir"
"0031/KRK-DISTARCIP/I-2014","TERUSAN JAKARTA NO 175 A","Antapani Kulon","Antapani"
"0032/KRK-DISTARCIP/I-2014","DAGO POJOK NO. 59","Dago","Coblong"
"0033/KRK-DISTARCIP/I-2014","SALAM NO. 28","Cihapit","Bandung Wetan"
"0034/KRK-DISTARCIP/I-2014","MAKAM CARINGIN NO. 80","Margahayu Utara","Babakan Ciparay"
"0035/KRK-DISTARCIP/I-2014","CIPAMOKOLAN","Cipamokolan","Rancasari"
"0036/KRK-DISTARCIP/I-2014","KUNINGAN RAYA NO. 76","Antapani Kidul","Antapani"
"0037/KRK-DISTARCIP/I-2014","RIUNG ARUM RAYA / RIUNG LANGGENG","Cisaranten Kidul","Gedebage"
"0038/KRK-DISTARCIP/I-2014","KIARASARI VI NO.18","Margasari","Buahbatu"
"0039/KRK-DISTARCIP/I-2014","SUKAJADI NO. 206","Pasteur","Sukajadi"
"0040/KRK-DISTARCIP/I-2014","KP. NEGLASARI / JL. PACUAN KUDA","Sukamiskin","Arcamanik"
"0041/KRK-DISTARCIP/I-2014","PALEM V NO:51","Rancabolang","Gedebage"
"0042/KRK-DISTARCIP/I-2014","GG. MALEER II","Maleer","Batununggal"
"0043/KRK-DISTARCIP/I-2014","KOMP.CIPAGANTI GRAHA II","Cigending","Ujungberung"
"0044/KRK-DISTARCIP/I-2014","KOMP. ISTANA ELOK","Jati Sari","Buahbatu"
"0045/KRK-DISTARCIP/I-2014","KEBON BIBIT NO. 8","Taman Sari","Bandung Wetan"
"0046/KRK-DISTARCIP/I-2014","TUBAGUS ISMAIL I NO. 3","Sekeloa","Coblong"
"0047/KRK-DISTARCIP/I-2014","KOMP. ANTABARU II BLOK. E NO. 4 (JL. ANTAKUMALA)","Cisaranten Kulon","Arcamanik"
"0048/KRK-DISTARCIP/I-2014","ASEP BERLIAN 247/143","Cikutra","Cibeunying Kidul"
"0049/KRK-DISTARCIP/I-2014","MEKARSARI 1 NO 60","Sukamiskin","Arcamanik"
"0050/KRK-DISTARCIP/I-2014","CIBADUYUT DALAM I","Kebon Lega","Bojongloa Kidul"
"0051/KRK-DISTARCIP/I-2014","SUKAASIH III NO. 36","Sindang Jaya","Mandalajati"
"0052/KRK-DISTARCIP/I-2014","PETA NO. 252 E","Suka Asih","Bojongloa Kaler"
"0053/KRK-DISTARCIP/I-2014","RANCABOLANG","Manjahlega","Rancasari"
"0054/KRK-DISTARCIP/I-2014","SRIMAHI III NO. 5","Ancol","Regol"
"0055/KRK-DISTARCIP/I-2014","CIMUNCANG NO. 26-26A","Padasuka","Cibeunying Kidul"
"0056/KRK-DISTARCIP/I-2014","GG. SEKELOA SELATAN NO. 103","Lebak Gede","Coblong"
"0057/KRK-DISTARCIP/I-2014","SASAK BATU","Pasirlayung","Cibeunying Kidul"
"0058/KRK-DISTARCIP/I-2014","TAMANSARI NO 88","Lebak Siliwangi","Coblong"
"0059/KRK-DISTARCIP/I-2014","TISNA SENJAYA NO. 6","Balong Gede","Regol"
"0060/KRK-DISTARCIP/I-2014","RAYA UJUNG BERUNG NO. 238","Cipadung Kulon","Panyileukan"
"0061/KRK-DISTARCIP/I-2014","BATA MERAH","Caringin","Bandung Kulon"
"0062/KRK-DISTARCIP/I-2014","SUKAATI PERMAI III NO. 10","Wates","Bandung Kidul"
"0063/KRK-DISTARCIP/I-2014","TANJUNGSARI ASRI RESIDENCE BLOK C NO 4","Antapani Wetan","Antapani"
"0064/KRK-DISTARCIP/I-2014","TANJUNGSARI ASRI RESIDENCE BLOK C NO 2","Antapani Wetan","Antapani"
"0065/KRK-DISTARCIP/I-2014","TANJUNGSARI ASRI RESIDENCE BLOK C NO 40","Antapani Wetan","Antapani"
"0066/KRK-DISTARCIP/I-2014","TANJUNGSARI ASRI RESIDENCE BLOK C NO 55","Antapani Wetan","Antapani"
"0067/KRK-DISTARCIP/I-2014","TANJUNGSARI ASRI RESIDENCE BLOK C NO 26","Antapani Wetan","Antapani"
"0068/KRK-DISTARCIP/I-2014","GG. JAKSA NO. 40","Pungkur","Regol"
"0069/KRK-DISTARCIP/I-2014","SATRIA RAYA I NO.4","Margahayu Utara","Babakan Ciparay"
"0070/KRK-DISTARCIP/I-2014","CINGISED RAYA KAV 19","Cisaranten Endah","Arcamanik"
"0071/KRK-DISTARCIP/I-2014","JL. TANJUNGSARI ASRI RAYA NO. 79","Antapani Wetan","Antapani"
"0072/KRK-DISTARCIP/I-2014","JL. RUMAH SAKIT","Sukamulya","Cinambo"
"0073/KRK-DISTARCIP/I-2014","PASIR LEUTIK","Sukapada","Cibeunying Kidul"
"0074/KRK-DISTARCIP/I-2014","BATU PERMATA II NO. 8","Cijaura","Buahbatu"
"0075/KRK-DISTARCIP/I-2014","ANGGREK NO. 61","Cihapit","Bandung Wetan"
"0076/KRK-DISTARCIP/I-2014","SEJUK NO. 22 KOMP. BELLISIMA ANTAPANI","Antapani Tengah","Antapani"
"0077/KRK-DISTARCIP/I-2014","SURYALAYA","Cijagra","Lengkong"
"0078/KRK-DISTARCIP/I-2014","CILENGKRANG I (KOMP. GRIYA SAKINAH)","Cisurupan","Cibiru"
"0079/KRK-DISTARCIP/I-2014","KP BONGKOR JL REREONGAN SARUPI","Ciumbuleuit","Cidadap"
"0080/KRK-DISTARCIP/I-2014","BATIK AYU NO. 16","Sukaluyu","Cibeunying Kaler"
"0081/KRK-DISTARCIP/I-2014","SATURNUS","Gumuruh","Batununggal"
"0082/KRK-DISTARCIP/I-2014","GG. H. HASAN NO. 68","Margasari","Buahbatu"
"0083/KRK-DISTARCIP/I-2014","RERENG ADUMANIS NO. 23","Sukaluyu","Cibeunying Kaler"
"0084/KRK-DISTARCIP/I-2014","BUDISARI VII","Hegarmanah","Cidadap"
"0085/KRK-DISTARCIP/I-2014","SINDANG BARANG","Antapani Kulon","Antapani"
"0086/KRK-DISTARCIP/I-2014","JEND. SUDIRMAN NO. 12","Kebon Jeruk","Andir"
"0087/KRK-DISTARCIP/I-2014","JL. GEGERKALONG HILIR NO. 47","Sukarasa","Sukasari"
"0088/KRK-DISTARCIP/I-2014","ASTANA ANYAR NO. 214","Nyengseret","Astanaanyar"
"0089/KRK-DISTARCIP/I-2014","H. SAODAH NO.133","Jatihandap","Mandalajati"
"0090/KRK-DISTARCIP/I-2014","MEKAR UTAMA","Mekar Wangi","Bojongloa Kidul"
"0091/KRK-DISTARCIP/I-2014","TITIRAN NO 26","Sadang Serang","Coblong"
"0092/KRK-DISTARCIP/I-2014","JL. ADIWINANGUN NO. 2 A","Cibangkong","Batununggal"
"0093/KRK-DISTARCIP/I-2014","PURNAWARMAN NO. 47","Taman Sari","Bandung Wetan"
"0094/KRK-DISTARCIP/I-2014","CIJEROKASO N0. 64/178A","Sarijadi","Sukasari"
"0095/KRK-DISTARCIP/I-2014","BLOK BODOGOL / JL. CIPTA KARYA","Margasari","Buahbatu"
"0096/KRK-DISTARCIP/I-2014","GEMINI NO.4","Gumuruh","Batununggal"
"0097/KRK-DISTARCIP/I-2014","KOMP. GRIYA KUNINGAN ASRI BLOK E NO. 34","Margasari","Buahbatu"
"0098/KRK-DISTARCIP/I-2014","RAYA CIBADUYUT NO. IIA","Kebon Lega","Bojongloa Kidul"
"0099/KRK-DISTARCIP/I-2014","GALUNGGUNG I NO.12","Lingkar Selatan","Lengkong"
"0100/KRK-DISTARCIP/I-2014","CIHAPIT NO 35","Cihapit","Bandung Wetan"
"0101/KRK-DISTARCIP/I-2014","KOMP. PERUMAHAN PASADENA KAV AA NO 19","Babakan Ciparay","Babakan Ciparay"
"0102/KRK-DISTARCIP/I-2014","JL. PANGKALAN","Margahayu Utara","Babakan Ciparay"
"0103/KRK-DISTARCIP/I-2014","CIPAGANTI NO. 86","Cipaganti","Coblong"
"0104/KRK-DISTARCIP/I-2014","PARAKAN SAAT","Cisaranten Endah","Arcamanik"
"0105/KRK-DISTARCIP/I-2014","CILENGKRANG 1","Cisurupan","Cibiru"
"0106/KRK-DISTARCIP/I-2014","W.R. SUPRATMAN NO. 66-68","Cihaurgeulis","Cibeunying Kaler"
"0107/KRK-DISTARCIP/I-2014","CARINGIN NO.182 A","Babakan Ciparay","Babakan Ciparay"
"0108/KRK-DISTARCIP/I-2014","SITUSARI WETAN","Cijagra","Lengkong"
"0109/KRK-DISTARCIP/I-2014","CITARIP BARAT","Kopo","Bojongloa Kaler"
"0110/KRK-DISTARCIP/I-2014","GEMPOL ASRI NO. 22 D","Cigondewah Kaler","Bandung Kulon"
"0111/KRK-DISTARCIP/I-2014","PERUMAHAN BUAH BATU REGENCY BLOK F3-17","Kujangsari","Bandung Kidul"
"0112/KRK-DISTARCIP/I-2014","OTO ISKANDARDINATA NO. 158","Kebon Jeruk","Andir"
"0113/KRK-DISTARCIP/I-2014","GG. ONONG NO. 16","Cibadak","Astanaanyar"
"0114/KRK-DISTARCIP/I-2014","CISITU LAMA NO. 4A","Dago","Coblong"
"0115/KRK-DISTARCIP/I-2014","BAHAGIA NO. 9","Sukamaju","Cibeunying Kidul"
"0116/KRK-DISTARCIP/I-2014","JL SUKALAKSANA III","Cicaheum","Kiaracondong"
"0117/KRK-DISTARCIP/I-2014","GG. SURYADI NO101A","Cibadak","Astanaanyar"
"0118/KRK-DISTARCIP/I-2014","KAWALUYAAN INDAH XI NO. 6","Jati Sari","Buahbatu"
"0119/KRK-DISTARCIP/I-2014","KOMP. BUMI ADIPURA JL. PINUS V NO. 26","Rancabolang","Gedebage"
"0120/KRK-DISTARCIP/I-2014","BALADEWA NO. 6","Pamoyanan","Cicendo"
"0121/KRK-DISTARCIP/I-2014","KOMP. BOUGENVILLE BLOK J-5","Antapani Kidul","Antapani"
"0122/KRK-DISTARCIP/I-2014","CIJAWURA GIRANG BLOK CIPAGALO","Margasari","Buahbatu"
"0123/KRK-DISTARCIP/I-2014","KOMP. SARIJADI BLOK 06 KAV 52 (JL. SARIMANAH NO. 76)","Sarijadi","Sukasari"
"0124/KRK-DISTARCIP/I-2014","CISITU LAMA NO. 4A","Dago","Coblong"
"0125/KRK-DISTARCIP/I-2014","BANTENG NO. 69","Turangga","Lengkong"
"0126/KRK-DISTARCIP/I-2014","KEBON GEDANG NO. 117","Maleer","Batununggal"
"0127/KRK-DISTARCIP/I-2014","PANYAWANGAN VI","Cipadung","Cibiru"
"0128/KRK-DISTARCIP/I-2014","SARIMADU","Sukawarna","Sukajadi"
"0129/KRK-DISTARCIP/I-2014","YUPITER BARAT VI KAV. 6","Sekejati","Buahbatu"
"0130/KRK-DISTARCIP/I-2014","A.H. NASUTION NO. 51","Cisaranten Bina Harapan","Arcamanik"
"0131/KRK-DISTARCIP/I-2014","CIUMBULEUIT NO. 108","Ciumbuleuit","Cidadap"
"0132/KRK-DISTARCIP/I-2014","SARIMADU","Sukawarna","Sukajadi"
"0133/KRK-DISTARCIP/I-2014","MEKAR LAKSANA","Mekar Wangi","Bojongloa Kidul"
"0134/KRK-DISTARCIP/I-2014","BATUNUNGGAL ASRI I NO. 6","Batununggal","Bandung Kidul"
"0135/KRK-DISTARCIP/I-2014","ARIA TIMUR I NO. 8","Cipamokolan","Rancasari"
"0136/KRK-DISTARCIP/I-2014","MEKAR LAKSANA","Mekar Wangi","Bojongloa Kidul"
"0137/KRK-DISTARCIP/I-2014","PASUNDAN NO. 92","Pungkur","Regol"
