nama_kecamatan,iud,mow,mop,kondom,implant,suntikan,pil
Sukasari,4,0,0,0,0,20,1
Coblong,14,0,0,0,0,3,0
Babakan Ciparay,2,0,0,0,0,11,2
Bojongloa Kaler,12,0,0,0,0,13,7
Andir,7,4,0,0,0,0,0
Cicendo,7,0,0,0,0,39,2
Sukajadi,0,0,0,0,0,0,0
Cidadap,0,0,0,0,0,0,0
Bandung Wetan,37,9,0,0,0,6,0
Astana Anyar,1,0,0,0,2,0,0
Regol,0,0,0,0,0,0,0
Batununggal,4,0,0,0,0,50,3
Lengkong,5,1,0,0,0,2,1
Cibeunying Kidul,0,0,0,0,0,0,0
Bandung Kulon,0,0,0,1,0,39,1
Kiaracondong,46,3,0,0,0,37,1
Bojongloa Kidul,33,8,0,0,0,13,3
Cibeunying Kaler,22,1,0,0,0,0,0
Sumur Bandung,6,2,0,0,0,2,0
Antapani,0,0,0,0,0,0,0
Bandung Kidul,7,0,0,72,0,21,2
Buahbatu,16,3,0,0,0,10,0
Rancasari,63,0,0,2,5,7,10
Arcamanik,0,0,0,0,0,0,0
Cibiru,6,1,0,0,0,0,0
Ujung Berung,0,0,0,0,0,0,0
Gedebage,0,0,0,0,0,0,0
Panyileukan,0,0,0,0,0,0,0
Cinambo,0,0,0,0,0,0,0
Mandalajati,0,0,0,0,0,0,0
