jenis_kelamin,asal_sekolah,kelas
Laki-laki,SD 8 Koba Bangka Tengah,I(satu)
Laki-laki,SDN 1 DIRGAHAYU Kab.Tasikmalaya,IV(empat)
Laki-laki,SD Kartika 1-9 Pekanbaru,II(dua)
Perempuan,SDN Godean 1 sleman,III(tiga)
Laki-laki,SDN Cibeureum 7 Kota Cimahi,III(tiga)
Laki-laki,SDN Jakapurwa 1,II(dua)
Laki-laki,SDN Mekarwangi,
Laki-laki,MI Nurul Iman Kota Cimahi,III(tiga)
Perempuan,SD Plus Syania,II(dua)
Laki-laki,SDN Gunung Bentang Kab.Bandung Barat,V(lima)
Perempuan,SDN Cijambe Kab. Garut,III(tiga)
Perempuan,SDN Cicalengka 10 Kab.Bandung,V(lima)
Laki-laki,SDN Cinta Asih 01 Kab. Bandung,V(lima)
Perempuan,SDN Jelegong 02 Kab.Bandung,V(lima)
Laki-laki,SDN Korpri 3 Baleendah Kab.Bdg,V(lima)
Laki-laki,SDN Hanjuang Sari Kb.Bdg barat,V(lima)
Laki-laki,SDN Baranang Siang Kab.Bandung,V(lima)
Perempuan,SDN Cibabat Mandiri I Kota Cimahi,V(lima)
Perempuan,SDN No.066653 Kota Medan,I(satu)
Laki-laki,SD Mutiara Parahyangan,VI(enam)
Perempuan,SDN Girimukti 1 Cikelet Kab.Garut,III(tiga)
Laki-laki,SDN Melong Mandiri 7 Kota Cimahi,IV(empat)
Perempuan,SDN Jatinegara Kaum 03 PG Jakarta Timur,I(satu)
Laki-laki,SDN Jatinegara Kaum 03 PG Jakarta Timur,V(lima)
Perempuan,SDIT Al-Kautsar Kota Bekasi,II(dua)
Perempuan,SDIT Al-Kautsar Kota Bekasi,V(lima)
Laki-laki,SDN Tambakprogaten Kab.Kebumen,III(tiga)
Laki-laki,SDN Nata Endah 01 Kab.Bandung,IV(empat)
Laki-laki,SDN Galunggung Kota Tasikmalaya,I(satu)
Perempuan,Al Hikmah Private School Iraq,IV(empat)
Laki-laki,SDN Pancasura 1 sungajaya Kab.Garut,V(lima)
Laki-laki,SDN Pancasura 01 Singajaya Kab. Garut,IV(empat)
Perempuan,SDN 1 Mekarmukti Kec. Cisaga Kab.Ciamis,V(lima)
Perempuan,SDN 4 Bojongkondang,III(tiga)
Laki-laki,SDN Magung 03 Ciparay Kab.Bandung,II(dua)
Perempuan,SDN 4 Rancairung Kab. Bandung Barat,V(lima)
Perempuan,SDN Cingambul 1 Kab.Majalengka,V(lima)
Laki-laki,SDN Pasirkaliki Mandiri 1,V(lima)
Perempuan,SDN 7 Lembang Kab. Bdg Barat,IV(empat)
Perempuan,SDN Tirtajaya Kab. Bandung Barat,V(lima)
Perempuan,SDN Neglasari Kab. Tasikmalaya,II(dua)
Laki-laki,SDN Manukan Kulon VI Kota Surabaya,III(tiga)
Laki-laki,SDN Cipeuyeum 04 Kab.Cianjur,V(lima)
Laki-laki,SDN Cipeuyeum 04 Kab.Cianjur,III(tiga)
Laki-laki,SDN Kordon 03 Kab. Bandung,V(lima)
Laki-laki,SDN Cangkuang III Rancaekek Bandung,III(tiga)
Perempuan,SDN Lebak Muncang I Kec.Ciwidey Kab.Bandung,IV(empat)
Perempuan,SDN Panaikang 1 Kota Makasar,II(dua)
Laki-laki,SDN 3 Busungbiu Kab.Buleleng,IV(empat)
Perempuan,MI Al Manar Kab.Cianjur,V(lima)
Perempuan,SDN Indihiang Kota Tasikmalaya,III(tiga)
Perempuan,SDN Indihiang Kota Tasikmalaya,II(dua)
Laki-laki,SDN Baru 07 PG,V(lima)
Laki-laki,SDN 7 Ciamis, Kab.Ciamis,II(dua)
Perempuan,SDN Karapiak 2,IV(empat)
Perempuan,SDI Tirtayasa Serang,IV(empat)
Perempuan,SDN  Karapiak 02 Rancaekek Kab.Bandung,III(tiga)
Laki-laki,MI Mazro'atul Ulum Kota Tangerang,III(tiga)
Laki-laki,MI Mazro'atul Ulum Kota Tangerang,VI(enam)
Laki-laki,SD Muhammadiyah 6 Kota Palembang,IV(empat)
Perempuan,SDN Sukanampa Kota Cimahi,III(tiga)
Laki-laki,SDN 1 Ciburuy Kab.Banndung Barat,III(tiga)
Laki-laki,SDN Dadaha 1 Kota Tasikamalaya,V(lima)
Perempuan,SDN pasirkaliki 1 Kota Cimahi,V(lima)
Laki-laki,SDN dampak 2 Ke.Kramat Kab.Tegal,V(lima)
Perempuan,SDN Melong Mandiri 2,V(lima)
Laki-laki,SDN Cimahi Mandiri 1,III(tiga)
Laki-laki,SD Lebak Gede Kab.Bandung Barat,IV(empat)
Laki-laki,SDN Rancaekek 4,V(lima)
Laki-laki,SDN Margahayu XIII,III(tiga)
Perempuan,SDN PareangPintu Kab.Bandung Barat,II(dua)
Laki-laki,SDN Ranjikulon Kab.Majalengka,VI(enam)
Laki-laki,SDN Babakan pari Kab.Bandung Barat,IV(empat)
Perempuan,SDN 7 Batujajar Kab. Bandung Barat,V (Lima)
Perempuan,SDN Cipinang Melayu 08 Pg Jakarta Timur,II(dua)
Perempuan,SDN Cipinang Melayu 08 Pg Jakarta Timur,V(lima)
Laki-laki,SDN 4 Banjarharja Kab.Pangandaran,III(tiga)
Perempuan,SDN 1 Sukarame Kab.Bandung Barat,III(tiga)
Perempuan,SDN Pasanggrahan Kab.Bandung,III(tiga)
Laki-laki,SDN teluk pucung III Kota Bekasi,IV(empat)
Perempuan,SDN Cijati 2 Kab.Bandung,II(dua)
Perempuan,SDN NO.001 Kota Balikpapan,IV(empat)
Laki-laki,SDN Mekarsari Kab.Sumedang,V(lima)
Perempuan,SDN Cangkuang 2 Kab.Bandung,II(dua)
Laki-laki,SDN 10 Selupu Rejang,II(dua)
Perempuan,SDN Jatiluhur 1,II(dua)
Laki-laki,SDN GBI,III(tiga)
Laki-laki,SDN Bhaktiwinaya 1 Kab.Bandung,V(lima)
Perempuan,SDN Bhaktiwinaya 1 Kab.Bandung,II(dua)
Laki-laki,SDN ADETEX Kab.Bandung,III(tiga)
