kecamatan,pernah_diberi_asi,jenis_kelamin,jumlah
Bandung Kulon,Ya,Laki-laki,8855
Babakan Ciparay,Ya,Laki-laki,3816
Bojongloa Kaler,Ya,Laki-laki,2910
Bojongloa Kidul,Ya,Laki-laki,5066
Astana Anyar,Ya,Laki-laki,946
Regol,Ya,Laki-laki,2544
Lengkong,Ya,Laki-laki,1850
Bandung Kidul,Ya,Laki-laki,1274
Buah Batu,Ya,Laki-laki,2347
Rancasari,Ya,Laki-laki,2890
Gedebage,Ya,Laki-laki,1293
Cibiru,Ya,Laki-laki,2169
Panyileukan,Ya,Laki-laki,660
Ujung Berung,Ya,Laki-laki,2499
Cinambo,Ya,Laki-laki,448
Arcamanik,Ya,Laki-laki,1690
Antapani,Ya,Laki-laki,1186
Mandalajati,Ya,Laki-laki,1969
Kiara Condong,Ya,Laki-laki,2177
Batununggal,Ya,Laki-laki,2313
Sumur Bandung,Ya,Laki-laki,537
Andir,Ya,Laki-laki,4762
Cicendo,Ya,Laki-laki,1727
Bandung Wetan,Ya,Laki-laki,319
Cibeunying Kidul,Ya,Laki-laki,2234
Cibeunying Kaler,Ya,Laki-laki,458
Coblong,Ya,Laki-laki,6744
Sukajadi,Ya,Laki-laki,2545
Sukasari,Ya,Laki-laki,2375
Cidadap,Ya,Laki-laki,2299
Bandung Kulon,Tidak,Laki-laki,0
Babakan Ciparay,Tidak,Laki-laki,706
Bojongloa Kaler,Tidak,Laki-laki,0
Bojongloa Kidul,Tidak,Laki-laki,294
Astana Anyar,Tidak,Laki-laki,0
Regol,Tidak,Laki-laki,0
Lengkong,Tidak,Laki-laki,0
Bandung Kidul,Tidak,Laki-laki,251
Buah Batu,Tidak,Laki-laki,0
Rancasari,Tidak,Laki-laki,231
Gedebage,Tidak,Laki-laki,0
Cibiru,Tidak,Laki-laki,0
Panyileukan,Tidak,Laki-laki,0
Ujung Berung,Tidak,Laki-laki,407
Cinambo,Tidak,Laki-laki,0
Arcamanik,Tidak,Laki-laki,0
Antapani,Tidak,Laki-laki,394
Mandalajati,Tidak,Laki-laki,616
Kiara Condong,Tidak,Laki-laki,289
Batununggal,Tidak,Laki-laki,0
Sumur Bandung,Tidak,Laki-laki,0
Andir,Tidak,Laki-laki,0
Cicendo,Tidak,Laki-laki,373
Bandung Wetan,Tidak,Laki-laki,396
Cibeunying Kidul,Tidak,Laki-laki,0
Cibeunying Kaler,Tidak,Laki-laki,0
Coblong,Tidak,Laki-laki,942
Sukajadi,Tidak,Laki-laki,0
Sukasari,Tidak,Laki-laki,370
Cidadap,Tidak,Laki-laki,0
Bandung Kulon,Ya,Perempuan,4308
Babakan Ciparay,Ya,Perempuan,3663
Bojongloa Kaler,Ya,Perempuan,2221
Bojongloa Kidul,Ya,Perempuan,3011
Astana Anyar,Ya,Perempuan,1533
Regol,Ya,Perempuan,1276
Lengkong,Ya,Perempuan,2447
Bandung Kidul,Ya,Perempuan,841
Buah Batu,Ya,Perempuan,4552
Rancasari,Ya,Perempuan,2677
Gedebage,Ya,Perempuan,1123
Cibiru,Ya,Perempuan,1587
Panyileukan,Ya,Perempuan,837
Ujung Berung,Ya,Perempuan,2767
Cinambo,Ya,Perempuan,538
Arcamanik,Ya,Perempuan,2206
Antapani,Ya,Perempuan,2204
Mandalajati,Ya,Perempuan,1133
Kiara Condong,Ya,Perempuan,3186
Batununggal,Ya,Perempuan,1766
Sumur Bandung,Ya,Perempuan,652
Andir,Ya,Perempuan,2311
Cicendo,Ya,Perempuan,3669
Bandung Wetan,Ya,Perempuan,533
Cibeunying Kidul,Ya,Perempuan,2674
Cibeunying Kaler,Ya,Perempuan,960
Coblong,Ya,Perempuan,2695
Sukajadi,Ya,Perempuan,1084
Sukasari,Ya,Perempuan,1577
Cidadap,Ya,Perempuan,1793
Bandung Kulon,Tidak,Perempuan,561
Babakan Ciparay,Tidak,Perempuan,258
Bojongloa Kaler,Tidak,Perempuan,0
Bojongloa Kidul,Tidak,Perempuan,0
Astana Anyar,Tidak,Perempuan,0
Regol,Tidak,Perempuan,0
Lengkong,Tidak,Perempuan,246
Bandung Kidul,Tidak,Perempuan,172
Buah Batu,Tidak,Perempuan,455
Rancasari,Tidak,Perempuan,402
Gedebage,Tidak,Perempuan,0
Cibiru,Tidak,Perempuan,1999
Panyileukan,Tidak,Perempuan,0
Ujung Berung,Tidak,Perempuan,0
Cinambo,Tidak,Perempuan,0
Arcamanik,Tidak,Perempuan,0
Antapani,Tidak,Perempuan,724
Mandalajati,Tidak,Perempuan,0
Kiara Condong,Tidak,Perempuan,0
Batununggal,Tidak,Perempuan,132
Sumur Bandung,Tidak,Perempuan,0
Andir,Tidak,Perempuan,0
Cicendo,Tidak,Perempuan,0
Bandung Wetan,Tidak,Perempuan,0
Cibeunying Kidul,Tidak,Perempuan,0
Cibeunying Kaler,Tidak,Perempuan,0
Coblong,Tidak,Perempuan,0
Sukajadi,Tidak,Perempuan,0
Sukasari,Tidak,Perempuan,0
Cidadap,Tidak,Perempuan,0
