id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,nama_kegiatan,jenis_belanja,jenis_pengadaan,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,pemilihan_penyedia,awal_pemilihan,akhir_pemilihan,awal_pekerjaan,akhir_pekerjaan
726194,"belanja alat tulis kantor",60000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","SATUAN POLISI PAMONG PRAJA",2014,"penyediaan alat tulis kantor",Barang/jasa,Barang,"1 paket","kota bandung","pengadaan ATK",APBD," 60000000",5.2.2.01.01,"Pengadaan Langsung",17-03-2014,31-03-2014,01-04-2014,30-06-2014
727786,"belanja pembelian accu, ban",60500000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","SATUAN POLISI PAMONG PRAJA",2014,"pemeliharaan rutin/berkala kendaraan dinas/operasional",Barang/jasa,Barang,94,"kota bandung","belanja ban kendaraan R2 dan truck",APBD," 60500000",5.2.2.05.07,"Pengadaan Langsung",25-02-2014,07-03-2014,10-03-2014,31-12-2015
725354,"belanja modal pengadaan mesin genset",210000000,"Lelang Sederhana",N/A,"Pemerintah Kota Bandung","SATUAN POLISI PAMONG PRAJA",2014,"penyediaan jasa peralatan dan perlengkapan kantor",Modal,Barang,"1 unit","kota bandung","pengadaan mesin genset",APBD," 210000000",5.2.3.08.08,"Lelang Sederhana",01-04-2014,15-04-2014,01-05-2014,30-06-2014
737148,"belanja makan minum kegiatan",2928700000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","SATUAN POLISI PAMONG PRAJA",2014,"oprasi penertiban perda perwal",Barang/jasa,Barang,"1 paket","kota bandung","mamin giat",APBD," 2928700000",1.19.1.19.02.24.02,"Pengadaan Langsung",27-02-2014,21-03-2014,24-03-2014,31-12-2015
832904,"balanaj mamin kegiatan",75000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","SATUAN POLISI PAMONG PRAJA",2014,"sosialisasi/penyuluhan perda perwal trantib",Barang/jasa,Barang,"1 paket","kota bandung",mamin,APBD," 75000000",5.2.2.11.04,"Pengadaan Langsung",07-03-2014,14-03-2014,17-03-2014,31-12-2015
778876,"belanja hibah seragam tenaga kontrak",130000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","SATUAN POLISI PAMONG PRAJA",2014,"penyediaan jasa tenaga pendukung adm perkantoran",Barang/jasa,Barang,"1 paket","kota bandung","sergam honorer",APBD," 130000000",5.2.2.24.01,"Pengadaan Langsung",04-03-2014,28-03-2014,31-03-2014,31-12-2015
778118,"belanja cetak ",100000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","SATUAN POLISI PAMONG PRAJA",2014,"penertiban reklame ilegal",Barang/jasa,Barang,"1 paket","kota bandung",cetak,APBD," 100000000",5.2.2.06.01,"Pengadaan Langsung",03-03-2014,28-03-2014,31-03-2014,31-12-2015
725825,"belanja modal pengadaan radio/FM (handy talky)",21000000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","SATUAN POLISI PAMONG PRAJA",2014,"penyediaan jasa peralatan dan perlengkapan kantor",Modal,Barang,"6 unit","kota bandung","pengadaan handy talky",APBD," 21000000",5.2.3.17.04,"Pengadaan Langsung",24-03-2014,31-03-2014,01-04-2014,30-06-2014
726819,"pengadaan alat angkut darat bermotor truck",998950000,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","SATUAN POLISI PAMONG PRAJA",2014,"pengadaan kendaraan dinas/operasional",Modal,Barang,"1 paket","kota bandung","pengadaan truck satpol pp",APBD," 998950000",5.2.3.03.06,"Pengadaan Langsung",17-03-2014,31-03-2014,01-04-2014,30-06-2014
727485,"belanja STNK",70000000,"Penunjukan Langsung",N/A,"Pemerintah Kota Bandung","SATUAN POLISI PAMONG PRAJA",2014,"pemeliharaan rutin/berkala kendaraan dinas/operasional",Barang/jasa,"Jasa Lainnya","1 paket","kota bandung","perpanjangan pajak stnk kendaraan",APBD," 70000000",5.2.2.05.05,"Penunjukan Langsung",25-02-2014,07-03-2014,09-03-2014,31-12-2015
737871,"belanja makan minum kegiatan",748863500,"Pengadaan Langsung",N/A,"Pemerintah Kota Bandung","SATUAN POLISI PAMONG PRAJA",2014,"fasilitasi pelaksanaan kelancaran pemilu",Barang/jasa,Barang,"19451 HOK","kota bandung","giat selama 1 tahun",APBD," 748863500",5.2.2.11.04,"Pengadaan Langsung",27-02-2014,14-03-2014,17-03-2014,31-12-2015
