id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,nama_kegiatan,jenis_belanja,jenis_pengadaan,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,pemilihan_penyedia,awal_pemilihan,akhir_pemilihan,awal_pekerjaan,akhir_pekerjaan
6431246,"Belanja Modal Peralatan dan Mesin-Pengadaan Peralatan Jaringan ( Pengadaan Jaringan Internet ) Kel. Cipadung Wetan
",20000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN PANYILEUKAN",2016,"Pengadaan Perlengkapan Gedung Kantor ",Modal,Barang,"1 Paket","Kel. Cipadung Wetan","Terpeliharanya Sarana dan Prasarana Aparatur ",APBD," 20000000",1.20.1.20.37.02.07.5.2.3.29.06,"Pengadaan Langsung",01-03-2016,31-03-2016,01-04-2016,30-04-2016
6467321,"Belanja Bahan Baku Bangunan ( Kel. Cipadung kidul )
",20000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN PANYILEUKAN",2016,"Peningkatan Infrastruktur dan Lingkungan Hidup Tingkat Kecamatan dan Kelurahan dan Kelurahan ",Barang/jasa,Barang,"1 Paket","Kel. Cipadung kidul","Terpeliharanya Infrastruktur dan Lingkungan Hidup di Kel, Cipadung Kidul Kecamatan Panyileukan ",APBD," 20000000",1.20.1.20.37.30.03.5.2.2.02.01,"Pengadaan Langsung",01-06-2016,30-06-2016,01-07-2016,31-07-2016
6042267,"Belanja Cetak",62920000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN PANYILEUKAN",2016,"Fasilitasi Peningkatan Pemerintahan Umum Kecamatan dan Kelurahan ",Barang/jasa,Barang,"1 Paket","Kecamatan Panyilaeukan","Terpeliharanya Peningkatan Pemerintahan Umum",APBD," 62920000",1.20.1.20.37.30.05.5.2.2.06.01,"Pengadaan Langsung",01-03-2016,31-03-2016,01-04-2016,30-04-2016
7233057,"Belanja Modal Pengadaan Kursi Tunggu Pelayanan (Kel. Mekarmulya)",15000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN PANYILEUKAN",2016,"Penyediaan Peralatan dan Perlengkapan Kantor ",Modal,Barang,"1 Paket","Kel. Mekarmulya","Terciptanya Administrasi Perkantoran Kel. Mekarmulya Kecamatan Panyileukan ",APBD," 15000000",1.20.1.20.37.05.01.13.5.2.3.28.01,"Pengadaan Langsung",01-03-2016,31-03-2016,28-03-2016,12-04-2016
8435712,"Belanja Peralatan dan Mesin Serta Alat Olahraga yang tidak di Kapitalisasi (Kesekretariatan)",37500000,"Pengadaan Langsung",APBDP,"Pemerintah Daerah Kota Bandung","KECAMATAN PANYILEUKAN",2016,"Fasilitasi Peningkatan Kualitas Kehidupan Kemasyarakatan Kecamatan dan Kelurahan",Barang/jasa,Barang,"1(Satu) Paket","Kecamatan Panyileukan","Terpeliharanya Kualitas Kehidupan Kemasyarakatan di Kecamatan Panyileukan",APBDP," 37500000",1.20.1.20.37.01.30.02.5.2.2.31.01,"Pengadaan Langsung",01-11-2016,30-11-2016,01-12-2016,30-12-2016
6045739,"Belanja Dekorasi
",39000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN PANYILEUKAN",2016,"Fasilitasi Peningkatan Kualitas Kehidupan Kemasyarakatan Kecamatan dan Kelurahan ",Barang/jasa,Barang,"1 Paket","Kecamatan Panyileukan ","Terpeliharanya Kualitas Kehidupan Kemasyarakatan di Kecamatan Panyileukan ",APBD," 39000000",1.20.1.20.37.30.02.5.2.2.01.14,"Pengadaan Langsung",01-03-2016,31-03-2016,01-04-2016,30-04-2016
7116731,"Belanja Modal Pengadaan PC Tablet/Smartphone (Kel. Cipadung Kulon)",22000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN PANYILEUKAN",2016,"Penyediaan Peralatan dan Perlengkapan Kantor ",Modal,Barang,"1 Paket","Kel. Cipadung Kulon","Terciptanya Administrasi Perkantoran di Kel. Cipadung Kulon Kecamatan Panyileukan ",APBD," 22000000",1.20.1.20.37.02.01.13.5.2.3.29.02,"Pengadaan Langsung",01-03-2016,31-03-2016,01-03-2016,31-03-2016
7035435,"Belanja Modal Pengadaan Televisi",25000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN PANYILEUKAN",2016,"Penyediaan Peralatan dan Perlengkapan Kantor ",Modal,Barang,"1 Paket","Kecamatan Panyileukan","Terciptanya Administrasi Perkantoran Kecamatan Panyileukan ",APBD," 25000000",1.20.1.20.37.01.01.13.5.2.3.28.06,"Pengadaan Langsung",01-03-2016,31-03-2016,01-03-2016,31-03-2016
6429256,"Belanja Modal Peralatan dan Mesin-Pengadaan Mebalair ( Pengadaan Meja Posyandu ) Kel. Cipadung Wetan
",4000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN PANYILEUKAN",2016,"Fasilitasi Pemberdayaan Lingkup PKK ",Modal,Barang,"1 Paket","Kel. Cipadung Wetan","Tercapainya Program Inovasi Pembangunan dan Pemberdayaan Kewilayahan Lingkup PKK ",APBD," 4000000",1.22.1.20.37.22.02.5.2.3.28.01,"Pengadaan Langsung",01-03-2016,31-03-2016,01-04-2016,30-04-2016
6428548,"Belanja Modal Peralatan dan Mesin-Pengadaan Bidang Pendidikan/Keterampiilan Lainnya ( Belanja Modal Pengadaan APE Pos Yandu ) Kel. Cipadung Wetan
",9000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN PANYILEUKAN",2016,"Fasilitasi Pemberdayaan Lingkup PKK ",Modal,Barang,"1 Paket","Kel. Cipadung Wetan","Tercapainya Program Inovasi Pembangunan dan Pemberdayaan Kewilayahan Lingkup PKK ",APBD," 9000000",1.22.1.20.37.22.02.5.2.3.37.13,"Pengadaan Langsung",01-03-2016,31-03-2016,01-04-2016,30-04-2016
