id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,nama_kegiatan,jenis_belanja,jenis_pengadaan,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,pemilihan_penyedia,awal_pemilihan,akhir_pemilihan,awal_pekerjaan,akhir_pekerjaan
6143223,"Belanja Perjalanan Dinas Luar Daerah",50000000,"Penunjukan Langsung",APBD,"Pemerintah Daerah Kota Bandung","BADAN KESATUAN BANGSA DAN PEMBERDAYAAN MASYARAKAT",2016,"Fasilitasi Pemenuhan Kebutuhan Dasar Masyarakat Miskin",Barang/jasa,"Jasa Lainnya","1 Paket","Kota Bandung",1.22.1.19.01.21.05,APBD," 50000000",1.22.1.19.01.21.05.5.2.2.15.02,"Penunjukan Langsung",25-05-2016,01-06-2016,01-06-2016,29-07-2016
6147916,"Belanja Makanan dan Minuman Kegiatan",33000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","BADAN KESATUAN BANGSA DAN PEMBERDAYAAN MASYARAKAT",2016,"Monitoring, evaluasi dan pelaporan",Barang/jasa,"Jasa Lainnya","1 Paket","Kota Bandung",1.19.1.19.01.21.05,APBD," 33000000",1.19.1.19.01.21.05.5.2.2.11.05,"Pengadaan Langsung",25-07-2016,01-08-2016,01-08-2016,31-08-2016
6124437,"Belanja Makanan dan Minuman Kegiatan",74400000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","BADAN KESATUAN BANGSA DAN PEMBERDAYAAN MASYARAKAT",2016,"PemasyarakatanTeknologi Tepat Guna",Barang/jasa,Barang,"1 Paket","Kota Bandung",1.22.1.19.01.20.07,APBD," 74400000",1.22.1.19.01.20.07.5.2.2.11.05,"Pengadaan Langsung",25-03-2016,01-04-2016,01-04-2016,31-05-2016
6123997,"Belanja Perjalanan Dinas Luar Daerah",63300000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","BADAN KESATUAN BANGSA DAN PEMBERDAYAAN MASYARAKAT",2016,"Koordinasi dan Fasilitasi Pengembangan Usaha Ekonomi Produktif dan Pemasaran",Barang/jasa,"Jasa Lainnya","1 Paket","Kota Bandung",1.22.1.19.01.20.06,APBD," 63300000",1.22.1.19.01.20.06.5.2.2.15.02,"Pengadaan Langsung",25-04-2016,02-05-2016,02-05-2016,30-09-2016
6609120,"Belanja jasa konsultasi pengembangan (website PKK)",40000000,"Penunjukan Langsung",APBD,"Pemerintah Daerah Kota Bandung","BADAN KESATUAN BANGSA DAN PEMBERDAYAAN MASYARAKAT",2016,"Penguatan Kelembagaan Masyarakat ",Barang/jasa,"Jasa Konsultansi","1 Paket","Kota Bandung",1.22.1.19.01.20.02,APBD," 40000000",1.22.1.19.01.20.02.5.2.2.21.04,"Penunjukan Langsung",17-02-2016,26-02-2016,26-02-2016,31-03-2016
6122548,"Belanja Makanan dan Minuman Kegiatan",155000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","BADAN KESATUAN BANGSA DAN PEMBERDAYAAN MASYARAKAT",2016,"Koordinasi dan Fasilitasi Pembangunan Masyarakat Kelurahan",Barang/jasa,Barang,"1 Paket","Kota Bandung",1.22.1.19.01.20.03,APBD," 155000000",1.22.1.19.01.20.03.5.2.2.11.05,"Pengadaan Langsung",23-02-2016,01-03-2016,01-03-2016,31-10-2016
6145520,"Belanja Perjalanan Dinas Luar Daerah",40000000,"Penunjukan Langsung",APBD,"Pemerintah Daerah Kota Bandung","BADAN KESATUAN BANGSA DAN PEMBERDAYAAN MASYARAKAT",2016,"Fasilitasi Gerakan Terpadu Pengentasan Kemiskinan (Gardu Taskin)",Barang/jasa,"Jasa Lainnya","1 Paket","Kota Bandung",1.22.1.19.01.21.08,APBD," 40000000",1.22.1.19.01.21.08.5.2.2.15.02,"Penunjukan Langsung",24-06-2016,01-07-2016,01-07-2016,29-07-2016
6122504,"Belanja Sewa Peralatan Panggung dan Upacara",70100000,"Penunjukan Langsung",APBD,"Pemerintah Daerah Kota Bandung","BADAN KESATUAN BANGSA DAN PEMBERDAYAAN MASYARAKAT",2016,"Koordinasi dan Fasilitasi Pembangunan Masyarakat Kelurahan",Barang/jasa,"Jasa Lainnya","1 Paket","Kota Bandung",1.22.1.19.01.20.03,APBD," 70100000",1.22.1.19.01.20.03.5.2.2.10.07,"Penunjukan Langsung",25-04-2016,02-05-2016,02-05-2016,31-10-2016
6121840,"Belanja Makanan dan Minuman Kegiatan",43000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","BADAN KESATUAN BANGSA DAN PEMBERDAYAAN MASYARAKAT",2016,"Inventarisasi dan Pengembangan Partisipasi Masyarakat",Barang/jasa,Barang,"1 Paket","Kota Bandung",1.22.1.19.01.20.01,APBD," 43000000",1.22.1.19.01.20.01.5.2.2.11.05,"Pengadaan Langsung",23-02-2016,01-03-2016,01-03-2016,29-07-2016
6126984,"Belanja Makanan dan Minuman Kegiatan",80000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","BADAN KESATUAN BANGSA DAN PEMBERDAYAAN MASYARAKAT",2016,"Koordinasi Strategi Penanggulangan Kemiskinan dan Perencanaan Jangka Menengah Program Penanggulangan Kemiskinan Kota Bandung",Barang/jasa,"Jasa Lainnya","1 Paket","Kota Bandung",1.22.1.19.01.21.02,APBD," 80000000",1.22.1.19.01.21.02.5.2.2.11.05,"Pengadaan Langsung",23-02-2016,01-03-2016,01-03-2016,31-10-2016
