ID PKL,LOKASI USAHA,KOMODITI
PKL01SITU,Jl. Peta,Gorengan
PKL02SITU,Jl. Leuwipanjang,Kupat Tahu
PKL03SITU,Jl. Leuwipanjang,Onde-Onde
PKL04SITU,Jl. Peta,Roti Bakar
PKL05SITU,Jl. Leuwipanjang,Bubur Ayam
PKL06SITU,Jl. Peta,Gorengan
PKL07SITU,Jl. Peta,Nasi Rames
PKL08SITU,Jl. Leuwipanjang,Gorengan
PKL09SITU,Jl. Peta,Sate
PKL10SITU,Jl. Peta,Kios Rokok
PKL11SITU,Jl. Peta,Kios Pulsa
PKL12SITU,Jl. Peta,Tambal Ban
PKL13SITU,Jl. Peta,Gorengan
PKL14SITU,Jl. Peta,Selontongan
PKL15SITU,Jl. Leuwipanjang,Kue Balok
PKL16SITU,Jl. Leuwipanjang,Gorengan
PKL17SITU,Jl. Leuwipanjang,Selontongan
PKL18SITU,Jl. Leuwipanjang,Selontongan
PKL19SITU,Jl. Leuwipanjang,Batagor
PKL20SITU,Jl. Leuwipanjang,Buah-buahan
PKL21SITU,Jl. Leuwipanjang,Sate / Lontong
PKL22SITU,Jl. Leuwipanjang,Kaset VCD/DVD
PKL23SITU,Jl. Leuwipanjang,Rokok
PKL24SITU,Jl. Leuwipanjang,Buah-buahan
PKL25SITU,Jl. Leuwipanjang,Balon/plastik
PKL26SITU,Jl. Leuwipanjang,Scotlite Motor
PKL27SITU,Jl. Leuwipanjang,Nasi Kuning / Rokok
PKL28SITU,Jl. Leuwipanjang,Kopi / Susu / Rokok
PKL29SITU,Jl. Leuwipanjang,Sarung Tangan/Jas Hujan
PKL30SITU,Jl. Leuwipanjang,Nasi Uduk
PKL31SITU,Jl. Leuwipanjang,Kios Pulsa
PKL32SITU,Jl. Leuwipanjang,Sirup Buah
PKL33SITU,Jl. Leuwipanjang,Nasi / Gado-gado
PKL34SITU,Jl. Leuwipanjang,Selontongan
PKL35SITU,Jl. Leuwipanjang,Koran
PKL36SITU,Jl. Leuwipanjang,Mie Ayam
PKL37SITU,Jl. Leuwipanjang,Es Krim
PKL38SITU,Jl. Leuwipanjang,Gorengan
PKL39SITU,Jl. Soekarno Hatta,Rokok / Gorengan
PKL40SITU,Jl. Soekarno Hatta,Sate + Gule
PKL41SITU,Jl. Soekarno Hatta,Batagor
PKL42SITU,Jl. Leuwipanjang,Baso / Mie Kocok
PKL43SITU,Jl. Soekarno Hatta,Kios Kopi
PKL44SITU,Jl. Soekarno Hatta,Bubur Ayam
PKL45SITU,Jl. Leuwipanjang,Gorengan
PKL46SITU,Jl. Leuwipanjang,Nasi Uduk/Ayam Goreng
PKL47SITU,Jl. Leuwipanjang,Sate Madura
PKL48SITU,Jl. Leuwipanjang,Roti Bakar
PKL49SITU,Jl. Leuwipanjang,Siput
PKL50SITU,Jl. Kopo,Warung Minuman
PKL51SITU,Jl. Kopo,Kripik Goreng
PKL52SITU,Jl. Kopo,Warung Kopi
PKL53SITU,Jl. Kopo,Kupat Tahu
PKL54SITU,Jl. Kopo,Nasi Kuning
PKL55SITU,Jl. Kopo,Nasi Rames
PKL56SITU,Jl. Kopo,Kopi
PKL57SITU,Jl. Kopo,Nasi Rames
PKL58SITU,Jl. Kopo,Mie Kocok
PKL59SITU,Jl. Kopo,Kopi
PKL60SITU,Jl. Kopo,Kopi
PKL61SITU,Jl. Kopo,Kopi
PKL62SITU,Jl. Kopo,Nasi Kuning
PKL63SITU,Jl. Kopo,Mie Bakso
PKL64SITU,Jl. Kopo,Nasi Kuning
PKL65SITU,Jl. Kopo,Kopi
PKL66SITU,Jl. Kopo,Kopi
PKL67SITU,Jl. Kopo,Mie Bakso
PKL68SITU,Jl. Soekarno Hatta,Warung Nasi/Tambal Ban
PKL69SITU,Jl. Kopo,Gorengan
PKL70SITU,Jl. Kopo,Kopi/Pulsa
PKL71SITU,Jl. Kopo,Bengkel/Tambal Ban
PKL72SITU,Jl. Kopo,Bengkel Motor
PKL73SITU,Jl. Kopo,Warung Nasi
PKL74SITU,Jl. Kopo,Kopi/Rokok
PKL75SITU,Jl. Kopo,Warung Nasi
PKL76SITU,Jl. Kopo,Rokok/Kopi/Mie
PKL77SITU,Jl. Kopo,Kupat Tahu
PKL78SITU,Jl. Kopo,Nasi Kuning/Gorengan
PKL79SITU,Jl. Kopo,Bengkel/Tambal Ban
PKL80SITU,Jl. Kopo,Nasi Kuning/Bubur Ayam
PKL81SITU,Jl. Kopo,Kopi/Rokok/Gorengan
PKL82SITU,Jl. Kopo,Nasi Goreng
PKL83SITU,Jl. Kopo,Bubur Ayam
PKL84SITU,Jl. Kopo,Kios
PKL85SITU,Jl. Kopo,Sate Ayam
PKL86SITU,Jl. Kopo,Batagor
PKL87SITU,Jl. Kopo,Goreng Ayam
PKL88SITU,Jl. Kopo,Mie Bakso
PKL89SITU,Jl. Kopo,Mie Bakso/Batagor
PKL90SITU,Jl. Kopo,Roti Bakar
PKL91SITU,Jl. Kopo,Nasi Goreng
PKL92SITU,Jl. Kopo,Soto Ayam Madura
PKL93SITU,Jl. Peta ,Kios Rokok
