lokasi,nama_komoditas,2014-09-01,2014-09-02,2014-09-03,2014-09-04,2014-09-05,2014-09-06,2014-09-07,2014-09-08,2014-09-09,2014-09-10,2014-09-11,2014-09-12,2014-09-13,2014-09-14,2014-09-15,2014-09-16,2014-09-17,2014-09-18,2014-09-19,2014-09-20,2014-09-21,2014-09-22,2014-09-23,2014-09-24,2014-09-25,2014-09-26,2014-09-27,2014-09-28,2014-09-29,2014-09-30
"Pasar Kosambi","Beras Medium",0,0,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500
"Pasar Kosambi","Cabe Merah",0,0,35000,50000,50000,24000,30000,60000,60000,60000,60000,60000,40000,40000,55000,55000,55000,55000,45000,40000,40000,42000,42000,42000,42000,42000,32000,32000,50000,50000
"Pasar Kosambi","Bawang Merah",0,0,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,20000,20000,20000,20000,20000,16000,16000,20000,20000,20000,20000,20000,16000,16000,18000,18000
"Pasar Kosambi","Daging Ayam Ras",0,0,33000,32000,32000,38000,38000,30000,30000,30000,30000,30000,36000,37000,28000,28000,28000,28000,28000,37000,37000,28000,28000,28000,28000,28000,33000,33000,28000,28000
"Pasar Kosambi","Telur Ayam Ras",0,0,18000,18000,18000,19500,19500,18000,18000,18000,18000,18000,18500,18500,17500,17500,17500,17500,17500,18500,18500,17000,17000,17000,17000,17000,18000,18000,17500,17500
"Pasar Kosambi","Daging Sapi",0,0,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
"Pasar Kosambi","Minyak Goreng",0,0,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000
"Pasar Kosambi","Gula Pasir",0,0,11500,11500,11500,11500,11500,11500,11500,11500,11500,11500,11500,11500,11500,11500,11500,11500,11500,11500,11500,11500,11500,11500,11500,11500,11500,11500,11500,11500
"Pasar Kosambi",Kentang,0,0,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000
"Pasar Kosambi",Kedelai,0,0,10000,10000,10000,10000,10000,12000,12000,12000,12000,12000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
"Pasar Kosambi","Tepung Terigu",0,0,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500
"Pasar Kosambi","Bawang Putih",0,0,16000,16000,16000,18000,18000,16000,16000,16000,16000,16000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,16000,16000,18000,18000
"Pasar Kosambi","Cabe Keriting",0,0,25000,40000,40000,15000,15000,40000,40000,40000,40000,40000,25000,25000,35000,35000,35000,35000,35000,25000,25000,30000,30000,30000,30000,30000,25000,25000,30000,30000
"Pasar Kosambi","Cabe Rawit",0,0,20000,20000,20000,25000,25000,20000,20000,20000,20000,20000,25000,25000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,25000,25000
"Pasar Kosambi","Kacang Tanah",0,0,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000
"Pasar Kosambi","Ubi Kayu",0,0,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
"Pasar Kosambi","Ubi Jalar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Kosambi",Jagung,0,0,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000
"Pasar Kosambi","Ikan Olahan",0,0,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000
"Pasar Kosambi","Beras Premium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Kosambi","Minyak Goreng Curah",0,0,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500,10500
"Pasar Kosambi","Daging Ayam Kampung",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Kosambi","Telur Ayam Kampung",0,0,40000,40000,40000,40000,40000,40000,40000,50000,50000,50000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000
"Pasar Kosambi","Susu Kental Manis Merk Bendera",0,0,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
"Pasar Kosambi","Susu Kental Manis Merk Indomilk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Kosambi","Garam Beryodium Bata",0,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
"Pasar Kosambi","Garam Beryodium Halus",0,0,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
"Pasar Kosambi","Tepung Terigu Cakra Kembar",0,0,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500
"Pasar Kosambi","Tepung Terigu Kunci",0,0,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000
"Pasar Kosambi","Mie Instan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Kosambi","Cabe Rawit Hijau",0,0,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,30000,30000,30000,30000,30000,20000,20000,30000,30000,30000,30000,30000,20000,20000,30000,30000
"Pasar Kosambi","Kacang Hijau",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Kosambi","Susu Bubuk Dancow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
