id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,nama_kegiatan,jenis_belanja,jenis_pengadaan,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,pemilihan_penyedia,awal_pemilihan,akhir_pemilihan,awal_pekerjaan,akhir_pekerjaan
3470719,Pembuatan instalasi gas medis,50000000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,RUMAH SAKIT KHUSUS GIGI DAN MULUT,2015,Pembangunan rumah sakit,Modal,Pekerjaan Konstruksi,1 paket,Jalan LL RE Martadinata 45 Bandung,Pembuatan instalasi gas medis,APBD,50000000,1.02.04.26.01.5.2.3.49.01,Pengadaan Langsung,03/04/2015,13/04/2015,13/04/2015,30/04/2015
3489817,Pengadaan perlengkapan keselamatan kerja dan pasien,40000000,Pengadaan Langsung,BLUD,Pemerintah Daerah Kota Bandung,RUMAH SAKIT KHUSUS GIGI DAN MULUT,2015,Pelayanan,Modal,Barang,1 paket,Jalan LL RE Martadinata 45 Bandung,Pengadaan perlengkapan keselamatan kerja dan pasien,BLUD,40000000,1.02.04.33.01.5.2.3.34.01,Pengadaan Langsung,07/09/2015,17/09/2015,17/09/2015,16/10/2015
3461907,"Pengadaan pakaian kerja lapangan, pakaian batik",137325000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,RUMAH SAKIT KHUSUS GIGI DAN MULUT,2015,Pengadaan pakaian dinas beserta perlengkapannya,Barang/jasa,Barang,1 paket,Jalan LL RE Martadinata 45 Bandung,"Pengadaan pakaian kerja lapangan, pakaian batik",APBD,137325000,1.02.04.03.02..5.2.,Pengadaan Langsung,23/03/2015,01/04/2015,01/04/2015,14/04/2015
3488113,Pengadaan obat oral,135000000,e-Purchasing,BLUD,Pemerintah Daerah Kota Bandung,RUMAH SAKIT KHUSUS GIGI DAN MULUT,2015,Pelayanan,Barang/jasa,Barang,1 paket,Jalan LL RE Martadinata 45 Bandung,Pengadaan obat oral,BLUD,135000000,1.02.04.33.01.5.2.2.26.01,E-Purchasing,09/03/2015,16/03/2015,16/03/2015,30/03/2015
3470814,Pengadaan alat rumah tangga,185375000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,RUMAH SAKIT KHUSUS GIGI DAN MULUT,2015,Pengadaan perlengkapan rumah tangga rumah sakit,Modal,Barang,1 paket,Jalan LL RE Martadinata 45 Bandung,Pengadaan alat rumah tangga,APBD,185375000,1.02.04.26.22.5.2.,Pengadaan Langsung,01/04/2015,10/04/2015,10/04/2015,08/05/2015
3460812,Pengadaan jasa konsultansi pengawasan,172552000,Seleksi Sederhana,APBD,Pemerintah Daerah Kota Bandung,RUMAH SAKIT KHUSUS GIGI DAN MULUT,2015,Pembangunan rumah sakit,Modal,Jasa Konsultansi,1 paket,Jalan LL RE Martadinata 45 Bandung,Pengadaan jasa konsultansi pengawasan,APBD,172552000,1.02.04.26.01.5.2.3.49.01.,Seleksi Sederhana,23/03/2015,22/04/2015,22/04/2015,02/12/2015
3488414,Pengadaan cetakan administrasi rumah sakit dan kantor,100000000,Pengadaan Langsung,BLUD,Pemerintah Daerah Kota Bandung,RUMAH SAKIT KHUSUS GIGI DAN MULUT,2015,Pelayanan,Barang/jasa,Barang,1 paket,Jalan LL RE Martadinata 45 Bandung,Pengadaan cetakan administrasi rumah sakit dan kantor,BLUD,100000000,1.02.04.33.01.5.2.2.26.01,Pengadaan Langsung,16/03/2015,24/03/2015,24/03/2015,24/04/2015
3488333,Pengadaan suku cadang peralatan medis,40000000,Pengadaan Langsung,BLUD,Pemerintah Daerah Kota Bandung,RUMAH SAKIT KHUSUS GIGI DAN MULUT,2015,Pelayanan,Barang/jasa,Barang,1 paket,Jalan LL RE Martadinata 45 Bandung,Pengadaan suku cadang peralatan medis,BLUD,40000000,1.02.04.33.01.5.2.2.26.01,Pengadaan Langsung,04/05/2015,09/05/2015,11/05/2015,30/05/2015
3488578,Penyediaan Jasa Pembinaan Kapasitas Aparatur,108000000,Pengadaan Langsung,BLUD,Pemerintah Daerah Kota Bandung,RUMAH SAKIT KHUSUS GIGI DAN MULUT,2015,Pelayanan,Barang/jasa,Jasa Lainnya,1 paket,jl.L.L.R.E. Martadinata No.45 Bandung,Penyediaan Jasa Pembinaan Kapasitas Aparatur,BLUD,108000000,1.02.04.33.01.5.2.2.26.01,Pengadaan Langsung,27/07/2015,05/08/2015,05/08/2015,05/09/2015
3461109,Pengadaan alat-alat kedokteran gigi,862900000,Lelang Umum,APBD,Pemerintah Daerah Kota Bandung,RUMAH SAKIT KHUSUS GIGI DAN MULUT,2015,Pengadaan alat-alat kesehatan rumah sakit,Modal,Barang,1 paket,Jalan LL RE Martadinata 45 Bandung,Pengadaan alat-alat kedokteran gigi,APBD,862900000,1.02.04.26.18.5.2.3.34.02.,Lelang Umum,22/03/2015,22/04/2015,22/04/2015,06/07/2015
3461946,Penataan command center RSKGM,20850000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,RUMAH SAKIT KHUSUS GIGI DAN MULUT,2015,Pembangunan rumah sakit,Modal,Jasa Lainnya,1 paket,Jalan LL RE Martadinata 45 Bandung,Penataan command center RSKGM,APBD,20850000,1.02.04.26.01.5.2.3.49.01,Pengadaan Langsung,30/03/2015,06/04/2015,06/04/2015,24/04/2015
3470745,Pengadaan obat kedokteran gigi secara penunjukan langsung,85627300,Penunjukan Langsung,APBD,Pemerintah Daerah Kota Bandung,RUMAH SAKIT KHUSUS GIGI DAN MULUT,2015,Pengadaan obat-obatan rumah sakit,Barang/jasa,Barang,1 paket,Jalan LL RE Martadinata 45 Bandung,Pengadaan obat kedokteran gigi secara penunjukan langsung,APBD,85627300,1.02.04.26.19.5.2.2.02.04.,Penunjukan Langsung,06/06/2015,16/06/2015,16/06/2015,30/06/2015
3460947,Pembangunan gedung,4974325086,Lelang Umum,APBD,Pemerintah Daerah Kota Bandung,RUMAH SAKIT KHUSUS GIGI DAN MULUT,2015,Pembangunan rumah sakit,Modal,Pekerjaan Konstruksi,1 unit,Jalan LL RE Martadinata 45 Bandung,Pembangunan gedung,APBD,4974325086,1.02.04.26.01.5.2.3.49.01.,Lelang Umum,08/06/2015,08/07/2015,08/07/2015,08/12/2015
3470854,Pengadaan alat pemadam kebakaran,39000000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,RUMAH SAKIT KHUSUS GIGI DAN MULUT,2015,Pengadaan perlengkapan rumah tangga rumah sakit,Modal,Barang,1 paket,Jalan LL RE Martadinata 45 Bandung,Pengadaan alat pemadam kebakaran,APBD,39000000,1.02.04.26.22.5.2.3.28.07,Pengadaan Langsung,27/04/2015,05/05/2015,05/05/2015,19/05/2015
3461472,Belanja ATK,97325000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,RUMAH SAKIT KHUSUS GIGI DAN MULUT,2015,Penyediaan alat tulis kantor,Barang/jasa,Barang,1 paket,Jalan LL RE Martadinata 45 Bandung,Belanja ATK,APBD,97325000,1.02.04.01.10..5.2.2.01.01.,Pengadaan Langsung,12/03/2015,26/03/2015,26/03/2015,17/04/2015
3461741,Pengadaan mesin absensi,20000000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,RUMAH SAKIT KHUSUS GIGI DAN MULUT,2015,Pengadaan perlengkapan peralatan aparatur,Modal,Barang,1 paket,Jalan LL RE Martadinata 45 Bandung,Pengadaan mesin absensi,APBD,20000000,1.02.04.02.12.5.2.3.27.05.,Pengadaan Langsung,05/05/2015,12/05/2015,12/05/2015,26/05/2015
3461332,Pengadaan mobil ambulance,242100000,Penunjukan Langsung,APBD,Pemerintah Daerah Kota Bandung,RUMAH SAKIT KHUSUS GIGI DAN MULUT,2015,Pengadaan ambulance/mobil jenazah,Modal,Barang,1 unit,Jalan LL RE Martadinata 45 Bandung,Pengadaan mobil ambulance,APBD,242100000,1.02.04.26.20..5.2.3.17.04.,Penunjukan Langsung,20/04/2015,28/04/2015,28/04/2015,28/05/2015
3471797,Pengadaan jasa konsultansi perencanaan,245400000,Seleksi Umum,APBD,Pemerintah Daerah Kota Bandung,RUMAH SAKIT KHUSUS GIGI DAN MULUT,2015,Pembangunan rumah sakit,Modal,Jasa Konsultansi,1 paket,Jalan LL RE Martadinata 45 Bandung,dilaksanakan melalui situs LPSE,APBD,245400000,1.02.04.26.01.5.2.3.49.01,Seleksi Umum,03/03/2015,09/04/2015,09/04/2015,24/05/2015
3488194,Pengadaan bahan dan alat kebersihan rumah sakit,30000000,Pengadaan Langsung,BLUD,Pemerintah Daerah Kota Bandung,RUMAH SAKIT KHUSUS GIGI DAN MULUT,2015,Pelayanan,Barang/jasa,Barang,1 paket,Jalan LL RE Martadinata 45 Bandung,Pengadaan bahan dan alat kebersihan rumah sakit,BLUD,30000000,1.02.04.33.01.5.2.2.26.01,Pengadaan Langsung,06/04/2015,14/04/2015,14/04/2015,05/05/2015
3470669,Penyediaan kantor sementara,197400000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,RUMAH SAKIT KHUSUS GIGI DAN MULUT,2015,Pembangunan rumah sakit,Modal,Pekerjaan Konstruksi,1 paket,Jalan LL RE Martadinata 45 Bandung,Penyediaan kantor sementara,APBD,197400000,1.02.04.26.01.5.2.3.49.01,Pengadaan Langsung,23/03/2015,01/04/2015,01/04/2015,01/05/2015
3461688,Pengadaan anjungan informasi,71800000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,RUMAH SAKIT KHUSUS GIGI DAN MULUT,2015,Pengadaan perlengkapan peralatan aparatur,Modal,Barang,1 paket,Jalan LL RE Martadinata 45 Bandung,Pengadaan anjungan informasi,APBD,71800000,1.02.04.02.12.5.2.3.27.05.,Pengadaan Langsung,27/04/2015,04/05/2015,04/05/2015,25/05/2015
3461215,Pengadaan obat/bahan kedokteran gigi,1182747700,Lelang Umum,APBD,Pemerintah Daerah Kota Bandung,RUMAH SAKIT KHUSUS GIGI DAN MULUT,2015,Pengadaan obat-obatan rumah sakit,Barang/jasa,Barang,1 paket,Jalan LL RE Martadinata 45 Bandung,Pengadaan obat/bahan kedokteran gigi,APBD,1182747700,1.02.04.26.19..5.2.2.02.04.,Lelang Umum,04/03/2015,01/04/2015,01/04/2015,15/06/2015
3470697,Penataan tempat pelayanan,200000000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,RUMAH SAKIT KHUSUS GIGI DAN MULUT,2015,Pembangunan rumah sakit,Modal,Barang,1 paket,Jalan LL RE Martadinata 45 Bandung,Penataan tempat pelayanan,APBD,200000000,1.02.04.26.01.5.2.3.49.01,Pengadaan Langsung,16/03/2015,26/03/2015,26/03/2015,23/04/2015
3461841,Pengadaan peralatan dan perlengkapan kantor,94375000,Pengadaan Langsung,APBD,Pemerintah Daerah Kota Bandung,RUMAH SAKIT KHUSUS GIGI DAN MULUT,2015,Penyediaan peralatan dan perlengkapan kantor,Modal,Barang,1 paket,Jalan LL RE Martadinata 45 Bandung,Pengadaan peralatan dan perlengkapan kantor,APBD,94375000,1.02.04.01.13..5.2.,Pengadaan Langsung,22/04/2015,06/05/2015,06/05/2015,29/05/2015
