kecamatan,2011,2012,2013,2014,2015
ANDIR,5,2,1,5,2
ANTAPANI,0,1,1,0,1
ARCAMANIK,1,0,0,0,0
ASTANA ANYAR,0,0,0,0,1
BABAKAN CIPARAY,3,0,1,0,1
BANDUNG KIDUL,0,0,0,0,0
BANDUNG KULON,3,0,0,2,1
BANDUNG WETAN,4,2,2,5,5
BATUNUNGGAL,0,2,0,0,0
BOJONGLOA KALER,0,0,0,2,1
BOJONGLOA KIDUL,0,0,0,1,1
BUAHBATU,0,1,0,0,0
CIBEUNYING KALER,2,0,0,0,0
CIBEUNYING KIDUL,1,2,2,1,1
CIBIRU,0,1,0,0,0
CICENDO,8,2,7,4,4
CIDADAP,4,0,4,1,7
CINAMBO,4,3,2,5,7
COBLONG,6,2,1,4,2
GEDEBAGE,1,0,0,0,0
KIARACONDONG,2,1,1,3,2
LENGKONG,4,1,1,1,0
MANDALAJATI,2,1,3,1,1
PANYILEUKAN,1,0,3,1,1
RANCASARI,0,1,1,2,0
REGOL,0,0,1,2,0
SUKAJADI,4,2,2,2,1
SUKASARI,1,1,0,1,0
SUMUR BANDUNG,0,2,1,5,0
UJUNGBERUNG,0,0,0,0,0
