NO,NAMA PERUSAHAAN,ALAMAT,JENIS USAHA,JUMLAH KARYAWAN,KELURAHAN,TAHUN BERDIRI
1,-,Jl. Pasirluyu Rw 04,Bawang Goreng,4 Orang,Pasirluyu,1995
2,MEKARSARI,Jl. Pasirluyu Rw 04,Bawang Goreng,4 Orang,Pasirluyu,1998
3,PUTRA MEKARSARI,Jl. Pasirluyu Rw 04,Bawang Goreng,4 Orang,Pasirluyu,1992
4,MEKAR WANGI,Jl. Pasirluyu Rw 04,Bawang Goreng,5 Orang,Pasirluyu,1996
5,MEKAR WANGI,Jl. Pasirluyu Rw 04,Bawang Goreng,4 Orang,Pasirluyu,2000
6,MEKAR WANGI,Jl. Pasirluyu Rw 04,Bawang Goreng,4 orang,Pasirluyu,2001
7,TAHU SUKAATI,Jl. Sukaati Rw 07,Tahu Sumedang,3 Orang,Pasirluyu,1990
8,SONYA ART SHOP,Jl. Mengger Girang Rt 03 Rw 08,Miniatur Gitar,3 Orang,Pasirluyu,2010
9,-,Jl. Pasirluyu Rt 03 Rw 01,Pakaian Muslim,4 Orang,Pasirluyu,2010
10,-,Jl. Pasirluyu Rt 02 Rw 04,Bawang Goreng,4 Orang,Pasirluyu,2000
11,-,Jl. Pasirluyu Rt 01 Rw 02,Produksi Makanan,3 Orang,Pasirluyu,2005
12,-,Jl. Pasirluyu Rt 02 Rw 02,Produksi Sepatu,4 Orang,Pasirluyu,2000
13,-,Jl. Pasirluyu Rt 03 Rw 04,Produkksi Pakaian,5 Orang,Pasirluyu,2010
14,-,Jl. Pasirluyu Rt 03 Rw 04,Produksi Pakaian,5 Orang,Pasirluyu,2008
15,CAHAYA COLLECTION,Jl. Pasirluyu Rt 01 05,Produksi Pakaian,5 Orang,Pasirluyu,2005
16,-,Jl. Pasirluyu Rt 01 Rw 05,Sablon,5 Orang,Pasirluyu,2002
17,-,Jl. Pasirluyu Rt 03 Rw 05,Budidaya Kenari,3 Orang,Pasirluyu,2000
18,-,Jl. Pasirluyu Rt 03 Rw 05,Sablon,4 Orang,Pasirluyu,2000
19,-,Jl. Pasirluyu Rt 02 Rw 05,Produksi Bakso Tahu,5 Orang,Pasirluyu,2003
20,-,Jl. Pasirluyu Rt 08 Rw 03,Produkksi Pakaian,5 Orang,Pairluyu,2005
21,-,Jl. Pasirluyu Rt 01 Rw 05,Mie Bakso,4 Orang,Pasirluyu,2010
22,-,Jl. Pasirluyu Rt 03 Rw 01,Produksi Sweater,5 Orang,Pasirluyu,2005
23,-,Jl. Pasirluyu Rt 05 Rw 02,Bingkai Gambar,3 Orang,Pasirluyu,2004
24,-,Jl. Pasirluyu Rt 05 Rw 02,Gambar Islami,3 Orang,Pasirluyu,2004
25,-,Jl. Pasirluyu Rt 03 Rw 02,Produksi alat-alat fitnes,5 Orang,Pasirluyu,2005
26,CAPUNG ART,Jl. Pasirluyu Rt 01 Rw 02,Lampu  hias,3 Orang,Pasirluyu,2006
27,-,Jl. Pasirluyu Rt 03 Rw 05,Tas,5 Orang,Pasirluyu,2001
28,-,Jl. Menmgger Girang Rw 08,Sweater,5 Orang,Pasirluyu,2002
29,FANY SHOE,Jl. Pasirluyu Rt 02 Rw 04,Sepatu,4 Orang,Pasirluyu,2004
30,LINA COLLECTION,Jl. Pasirluyu No. 250/205 A,Busana Muslim,4 Orang,Pasirluyu,2005
31,-,Jl. Pasirluyu Rt 02 Rw 04,Dompet,5 Orang,Pasirluyu,2006
32,-,Jl. Pasir salam Rw 09,Tas,3 Orang,Pasirluyu,2001
33,-,Jl. Pasirluyu Rw 09,Gesper,4 Orang,Pasirluyu,2002
34,AHMAD AW/  MIMITRAN,Jl. Srimahi Baru No. 9 RT.02 RW.10,Furniture,5 Orang,Cigereleng,2004
35,ERVINA/ TJAP ENAK,Jl. Kembar Baru Utara No. 5 RT.04 RW.11,Makanan,8 Orang,Cigereleng,2005
36,M. TARYO/  SOTO BANDUNG,Jl. Moch. Ramdhan RT.01 RW.02,Makanan,5 Orang,Cigereleng,1980
37,AMIR/ JASA BORDIR,Jl. BKR Gg. Moch. Ramdhan RT.02 RW.04,Pakaian/ Konveksi,3 Orang,Cigereleng,1990
38,EUIS KOMARIAH B/ MUTIARA COLLECTION,Jl. Moch. Toha No. 121 RT.02 RW.04,Tas,10 Orang,Cigereleng,1983
39,YUSNIBAR,Jl. Kembar Baru Utara IV No. 152,Sembako,2 Orang,Cigereleng,1982
40,MOMY MAEMUNAH/ KHOIRUN NISA COLLECT,Jl. SriwijayaVI No. 10 RT.05 RW.02,Pakaian Jadi, Konfeksi,6 Orang,Cigereleng,2004
41,ALI MASKURIN/ KONFEKSI,Jl. BKR gg. Moch. Ramdhan II No. 17 RT.03 RW.09,Baju Seragam,5 Orang,Cigereleng,1995
42,E. SUHERMAN/ SAUNG ANGKLUNG MAYANG SARI,Jl. Madurasa Selatan RT.02 RW.07 ,Gamelan, Degung, Angklung, Kelapa,3 Orang,Cigereleng,1964
43,YAKUB S/ MIE AKUP,Jl. BKR Gg. Moch. Ramdhan II 180/97 RT.03 RW.09,Mie Bakso,12 Orang,Cigereleng,1987
44,SURTAM PURNOMO/ PENJAHIT PURNOMO,Jl. BKR Gg. Moch. Ramdhan II No. 36 RT.05 RW.09,Jas Safari,3 Orang,Cigereleng,2004
45,RUDY TJAHYADI,Jl. Sriwijaya No. 41,Produk Makanan,3 Orang,Cigereleng,2003
,,,,,,
46,IR. H. ZULKARNAEN,Jl. Kembar Baru No. 42,Produk Busana Muslim,5 Orang,Cigereleng,1995
47,MOMISYA,Jl. Sriwijaya VI No. 103 Rt 05 Rw 02,Produksi Jaket Kulit,5 Orang,Cigereleng,1998
48,SINDRA HAMBALILIE,Jl. Kembar VIII No. 3/Jl. Sriwijaya No. 110,Produksi Pakaian,5 Orang,Cigereleng,2000
49,FREDY TAN ARIFIN,Jl. Kembar V No.5,Konveksi,4 Orang,Cigereleng,2000
,,,,,,
50,ADI WIJAYA,Jl. Kembar Timur No. 42,konveksi,4 orang,Cigereleng,2000
51,BETTY NURJANAH,Jl. Mohamad Ramdhan V/14,Produk Makanan,6 Orang,Cigereleng,1998
52,HJ. MEITY SALAMAH ,Jl. Srigalih I No. 2,Boutique,5 Orang,Cigereleng,2000
,,,,,,
