indikator,kecamatan,kelurahan_desa,tidak_punyaijazah,sd_sederajat,smp_sederajat,sma_sederajat,d1__d3,d4_s1,s2__s3,total_krt
"Ijazah Tertinggi","BANDUNG KULON","GEMPOL SARI",104,299,128,99,2,1,0,645
"Ijazah Tertinggi","BANDUNG KULON","CIGONDEWAH KALER",310,898,198,128,1,2,0,1548
"Ijazah Tertinggi","BANDUNG KULON","CIGONDEWAH KIDUL",152,226,35,8,0,1,0,422
"Ijazah Tertinggi","BANDUNG KULON","CIGONDEWAH RAHAYU",283,275,62,15,0,0,0,638
"Ijazah Tertinggi","BANDUNG KULON",CARINGIN,102,84,35,26,0,0,0,248
"Ijazah Tertinggi","BANDUNG KULON","WARUNG MUNCANG",319,796,320,282,2,2,0,1756
"Ijazah Tertinggi","BANDUNG KULON",CIBUNTU,112,409,185,148,1,3,0,866
"Ijazah Tertinggi","BANDUNG KULON",CIJERAH,306,566,314,217,2,1,0,1420
"Ijazah Tertinggi","BABAKAN CIPARAY",MARGASUKA,173,280,98,71,3,1,0,662
"Ijazah Tertinggi","BABAKAN CIPARAY",CIRANGRANG,243,235,109,45,1,1,0,650
"Ijazah Tertinggi","BABAKAN CIPARAY","MARGAHAYU UTARA",339,461,174,122,1,2,0,1125
"Ijazah Tertinggi","BABAKAN CIPARAY","BABAKAN CIPARAY",413,962,283,213,1,4,0,1885
"Ijazah Tertinggi","BABAKAN CIPARAY",BABAKAN,641,935,369,189,6,2,0,2162
"Ijazah Tertinggi","BABAKAN CIPARAY",SUKAHAJI,440,962,405,286,5,2,0,2120
"Ijazah Tertinggi","BOJONGLOA KALER",KOPO,89,958,432,334,2,1,0,1828
"Ijazah Tertinggi","BOJONGLOA KALER","SUKA ASIH",199,826,386,397,9,11,0,1835
"Ijazah Tertinggi","BOJONGLOA KALER","BABAKAN ASIH",220,568,293,313,6,13,0,1421
"Ijazah Tertinggi","BOJONGLOA KALER","BABAKAN TAROGONG",264,1178,490,501,7,2,0,2448
"Ijazah Tertinggi","BOJONGLOA KALER",JAMIKA,270,1164,527,529,8,4,0,2523
"Ijazah Tertinggi","BOJONGLOA KIDUL","CIBADUYUT KIDUL",172,326,80,47,1,0,0,627
"Ijazah Tertinggi","BOJONGLOA KIDUL","CIBADUYUT WETAN",37,291,59,40,1,1,0,431
"Ijazah Tertinggi","BOJONGLOA KIDUL","MEKAR WANGI",162,362,154,115,4,0,0,804
"Ijazah Tertinggi","BOJONGLOA KIDUL",CIBADUYUT,111,548,142,105,4,1,0,921
"Ijazah Tertinggi","BOJONGLOA KIDUL","KEBON LEGA",120,574,230,190,4,1,0,1150
"Ijazah Tertinggi","BOJONGLOA KIDUL",SITUSAEUR,175,538,235,241,4,1,0,1203
"Ijazah Tertinggi",ASTANAANYAR,KARASAK,13,216,75,129,1,1,0,442
"Ijazah Tertinggi",ASTANAANYAR,"PELINDUNG HEWAN",10,439,221,185,1,3,0,860
"Ijazah Tertinggi",ASTANAANYAR,NYENGSERET,96,251,132,127,2,0,0,615
"Ijazah Tertinggi",ASTANAANYAR,PANJUNAN,39,208,86,86,1,1,0,425
"Ijazah Tertinggi",ASTANAANYAR,CIBADAK,23,293,114,148,3,1,0,583
"Ijazah Tertinggi",ASTANAANYAR,"KARANG ANYAR",25,68,46,29,0,1,0,176
"Ijazah Tertinggi",REGOL,CISEUREUH,189,350,186,177,2,2,0,918
"Ijazah Tertinggi",REGOL,PASIRLUYU,205,456,175,180,0,1,0,1038
"Ijazah Tertinggi",REGOL,ANCOL,52,201,97,123,0,3,0,477
"Ijazah Tertinggi",REGOL,CIGERELENG,52,105,97,107,5,2,0,371
