NO,NAMA PERUSAHAAN,ALAMAT,KELURAHAN,TIPE PERUSAHAAN
1,PT.KOMAR LARUBAN NARGARI,Jl. Cibeunying permai No.25 Rt05/11,Cigadung,Jasa & Perdagangan Umum
2,PT. AGRO PARAHIANGAN PERKASA,Jl. Terusan Ekologi No.78 Rt05/08,Cigadung,Jasa & Perdagangan Umum
3,PT.GUNA RAHAYU BAROKAH,Jl.Cibeunying permai No.20,Cigadung,Perdagangan
4,PT.TERALAGA,Jl. Biologi Rt 03/07,Cigadung,Konsultan
5,PT.TERAS NUSANTARA,Jl. Cigadung Raya Barat No.2 Rt 01/03,Cigadung,Jasa & Perdagangan Umum
6,PT.PUTRI BENSILT,Bojong Kaler Rt 03/12,Cigadung,Jasa & Perdagangan Umum
7,PT.KENANGA USAHA MANDIRI,Jl. Rancakendal No 161 Rt02/05,Cigadung,Jasa & Perdagangan Umum
8,PT.ARUMI,Jl. Arumanis No.10,Cigadung,Jasa & Perdagangan Umum
9,PT.MATRIKS INDO,Jl. Cigadung Kav III,Cigadung,Kontraktor
10,PT.QIWARI TEKNO REKA CIPTA,Jl. Cigadung Raya barat RT 01/03,Cigadung,Jasa
11,PT.QIWARI WANA NUSANTARA,Jl. Cigadung Raya barat RT 01/04,Cigadung,Jasa & Konsultan
12,PT.QIWARI SULUSPINANSIAHA,Jl. Cigadung Raya barat RT 01/05,Cigadung,Jasa
13,PT.QIWARI INOVASI TEKNOLOGI,Jl. Cigadung Raya barat RT 01/06,Cigadung,jasa 
14,PT.QIWARI BUMI PROPERTI,Jl. Cigadung Raya barat RT 01/07,Cigadung,Jasa
15,PT.ARMONIA LINTANG,Cigadung Raya Barat No.149,Cigadung,Jasa & Perdagangan Umum
16,PT.AL HAFIDZ INSAN MADANI,Cigadung Raya tengah No.34,Cigadung,Jasa Pariwisata Tour
17,PT.HARJA GUNATAMA LESTARI (BORMA),JL. Cikutra barat No.66 Bandung,Cigadung,Perdagangan (Toserba)
18,PT.BAHTERA TUJUH SAMUDRA,JL. Cigadung Raya Barat No.6A RT02/4,Cigadung,Perdagangan Umum
19,PT.SAMOS PARTOGI NAJEGES,Jl. Cukang Kawung RT 05/12,Cigadung,Perdagangan Umum dan Jasa
20,PT.HANAGI LANGGENG MANDIRI,Cipaheut RT 01/03,Cigadung,Perdagangan
21,PT INSAN INDONESIA,Jl. Ekologi 33 Rt 01/07,Cigadung,Perdagangan Umum dan Jasa
22,PT. REKADAYA INDONESIA,Cibeunying Permai III No.8 Rt 06/11,Cigadung,Jasa
23,PT.DIANARA CINTAWISATA INTERNASIONAL,Jl. Omega RT 02/05,Cigadung,Perdagangan Umum dan Jasa
24,PT.PORTAL MEDIKA MULTI INDONESIA,Mitra Dago Parahyangan H-4 Rt 04/11,Cigadung,Alat Medis
25,PT.IKHWALJAYA ENERGI,Jl. Cigadung Raya Barat NO.43 Rt 03/03,Cigadung,Jasa
26,PT.KASAM,Jl. Cigadung Raya Barat No. 21,Cigadung,Jasa
27,PT.BANDHAWA GIRI (AKA BUMI BANDHAWA HOTEL,Jl. Konstitusi I. No 16 Cigadung,Cigadung,Hotel
28,PT.DAGO ENDAH (DAGO GOLF COURSE),Jl. Lapangan Golf Dago Atas No.78,Cigadung,Garment
29,PT.CALADI LIMA SEMBILAN,Jl. Cigadung Raya Timur 107,Cigadung,Jasa Lapangan Golf (Olahraga)
30,PT.URBANE INDONESIA,Jl. Cigadung Raya Barat,Cigadung,Konsultan Arsitek
