daerah_irigasi,nama_sungai,lokasi,luas,panjang,fungsi_saluran
Ciwaru I ,Ciwaru ,Ujungberung ,57,1.00,Irigasi
Ciwaru II ,Ciwaru ,Ujungberung ,34,1.00,Irigasi
Ciwaru III ,Ciwaru ,Ujungberung ,10,0.50,Irigasi
Ciporeat I ,Ciporeat ,Ujungberung ,40,0.50,Irigasi
Ciporeat II ,Ciporeat ,Ujungberung ,7,1.50,Irigasi
Tagog ,,Arcamanik ,110,1.00,Irigasi
Cipagalo ,,Arcamanik ,60,2.00,Irigasi
Bojong Awi ,,Arcamanik ,20,0.40,Irigasi
Gandol ,,Cibiru ,45,2.00,Irigasi
Cisempur ,,Cibiru ,115,1.00,Irigasi
Cisurupan ,,Cibiru ,2,2.00,Irigasi
Seke Honje ,,Cibiru ,68,3.00,Irigasi
Cigalumpit ,,Cibiru ,15,1.50,Irigasi
Pangaritan ,,Cibiru ,110,1.50,Irigasi
Sindang Sari ,,Cibiru ,5,0.50,Irigasi
Babakan Desa ,,Cicadas ,30,1.25,Irigasi dan Penggelontoran
Sayang Kaak ,,Cicadas ,3,0.50,Irigasi dan Penggelontoran
Nangka ,Cidurian ,Kiaracondong ,35,2.50,Irigasi dan Penggelontoran
Simpang Sari ,,Cicadas ,1,2.00,Irigasi dan Penggelontoran
Cicendo ,,Cicadas ,50,0.80,Irigasi dan Penggelontoran
Ciputat ,,Cicadas ,4,0.40,Irigasi dan Penggelontoran
Bangkonol ,,Cicadas ,30,0.50,Irigasi dan Penggelontora
Cihaur Kuku ,Cikiley ,Cicadas ,3,0.50,Irigasi dan Penggelontora
Cibodas ,,Cicadas ,2,0.50,Irigasi dan Penggelontora
Seke Kuda ,,Margacinta ,25,0.50,Irigasi dan Penggelontora
Rancasawo ,,Margacinta ,18,0.80,Irigasi dan Penggelontora
Rancabolang ,,Margacinta ,12,0.50,Irigasi dan Penggelontora
Rancanumpang ,,Rancasari ,30,0.50,Irigasi dan Penggelontora
Cimuncang ,,Rancasari ,60,0.30,Irigasi dan Penggelontora
Cilameta ,Cilameta ,Margacinta ,150,0.50,Irigasi
Ranca Kamurang,,Margacinta ,43,0.50,Irigasi
Ranca Bolang ,,Margacinta ,15,0.50,Irigasi
Dam Saud ,,Rancasari ,6,0.70,Irigasi
Tegal Lebu ,,Rancasari ,40,2.25,Irigasi
Babakan Sari ,,Kiaracondong ,15,1.00,Irigasi
Ranca Kasumba II,,Rancasari ,362,1.50,Irigasi
Nyalindung ,,Rancasari ,146,1.00,Irigasi
Dam Batu ,,Ujungberung ,100,2.50,Irigasi
Sekemala ,,Ujungberung ,9,0.50,Irigasi
Ranca Kasumba I,,Ujungberung ,75,1.50,Irigasi
Pasir Kunci ,,Ujungberung ,26,1.20,Irigasi
Palasari ,,Ujungberung ,20,0.50,Irigasi
Cinangka/Ciseupan ,,Ujungberung ,40,"0,40 ",Irigasi
Pasir Kunci II ,,Ujungberung ,7,"0,50 ",Irigasi
Pasir Jeruk ,,Ujungberung ,5,"0,40 ",Irigasi
Cionyan ,,Ujungberung ,9,"0,80 ",Irigasi
Dawuan ,,Ujung Berung ,11,"1,50 ",Irigasi
Sekehandalam ,,Ujung Berung ,70,"1,00 ",Irigasi
Campurit ,,Uung Berung ,5,"1,00 ",Irigasi
Buka Tanah I ,,Ujung Berung ,5,"0,50 ",Penggelontoran
Buka Tanah II ,,Ujung Berung ,10,"1,00 ",Penggelontoran
Ciwarga ,,Cicendo ,0,"1,00 ",Irigasi dan Penggelontoran
Cijagra ,,Lengkong ,2,"2,00 ",Penggelontoran
Mande ,,Cicadas ,5,"2,00 ",Irigasi
Jati Handap ,,Cibeunying Kidul ,5,"2,00 ",Irigasi
Cirateun ,,Sukasari ,20,"2,00 ",Irigasi dan Penggelontoran
Cisurupan ,,Cibiru ,5,"2,00 ",Irigasi dan Penggelontoran
Cidadap Girang ,,Cidadap ,5,"2,00 ",Irigasi dan Penggelontoran
