No,Nama Koperasi,Badan Hukum,Tahun Berdiri,Alamat,Kelurahan,Kecamatan,Keterangan
1,Kopkar Kantor PLN Unit Pengatur Perum Lisnuci,8531/BH/KWK-1021,11/12/1986,Jl. Moch.Tohha Km. 4 Komp.PLN/GI,Cibaduyut Wetan,Bojongloa Kidul,Tidak Aktif
2,Kopeg. TVRI Stasiun Bandung,9075/BH/KWK-10/21,01/07/1989,Jl. Cibaduyut,Cibaduyut Wetan,Bojongloa Kidul,Tidak Aktif
3,KSU. Kel. Kebonlega,5709A/BH/KWK.10/21,11/03/1991,Jl. Cibaduyut Lama N0. 70A,Kel. Kebonlega,Bojongloa Kidul,Tidak Aktif
4,KOPSI,4844A/BH/KWK.10/21,06/08/1991,Jl. Cibaduyut NO. 130,Cibaduyut Wetan,Bojongloa Kidul,Aktif
5,Kop.Pengayoman Dep.Kehakiman LP.Kls.II A Banceuy,9752/BH/KWK.10/21,21/11/1991,Jl. Soekarno Hatta No. 187A,Kel. Kebonlega,Bojongloa Kidul,Tidak Aktif
6,Kopkar PT.Cahaya Murni Bumi Parahyangan Bandung,378/BH/KWK.10/IX/1996,24/10/1996,Jl. Cibaduyut,Kel. Cibaduyut,Bojongloa Kidul,Aktif
7,KSU. Kel. Kebonlega KPBK,5709/BH/PAD/KWK.10/IX/1996,09/09/1997,Jl. Cibaduyut Lama N0. 70A,Kel. Kebonlega,Bojongloa Kidul,Tidak Aktif
8,Kop. Kemitraan,156/Bh/Kdk-10.21/IV/1999,13/04/1999,Jl. Sauyunan Kawu No. 19,Kel. Kebonlega,Bojongloa Kidul,Tidak Aktif
9,Kop. Pengrajin Sepatu,286/Bh/Kdk-10.21/VI/1999,10/06/1999,Jl. Raya Cibaduyut 134,Kel. Cibaduyut,Bojongloa Kidul,Tidak Aktif
10,Kop. Pengusaha Penggandaan dan Kontruksi,406?Bh/Kdk-10.21/IX/1999,22/09/1999,Jl. Mekar Agung No. 30,Kel. Mekarwangi,Bojongloa Kidul,Tidak Aktif
11,Kop. Pondok Pesantren Aroja,84/BH/KDK.10.21/VIII/1998,15/08/1998,Jl. Kopo Gg. Parasdi Dlm I No. 8,Kel. Situsaeur,Bojongloa Kidul,Tidak Aktif
12,Kop. Pedagang Pasar Kembar Mas,10386/BH/KWK.10/21,18/08/1992,Jl. Moch Toha 231-233,Kel. Kebonlega,Bojongloa Kidul,Tidak Aktif
13,KOPAGA Situsaeur,32/BH/KDK.10.21/VII/1998,30/07/1998,Jl. Leuwianyar IV RT 9 RW 04,Kel. Situsaeur,Bojongloa Kidul,Tidak Aktif
14,Kopkar Bina Emerald Abadi,02/Bh/Kdk.10.21/I/2000,04/01/2000,Jl. Kopo No. 93,Kel. Situsaeur,Bojongloa Kidul,Tidak Aktif
15,KOPKAR ALFA,259/BH/KDK.10.21/IX/1998,06/11/1998,Jl. Soekarno Hatta No. 230,Kel. Kebonlega,Bojongloa Kidul,Tidak Aktif
16,Kopeg. Dinas P&K/ Depdikbud Kec. Bojongloa Kidul,10359/BH/KWK.10/21,11/07/1992,Jl. Cibaduyut 142/199C,Kel. Cibaduyut,Bojongloa Kidul,Tidak Aktif
17,Koppontren Al-Huda,10684/BH/KWK.1021,01/05/1993,Jl. Kebonlega Gg. Mesjid Al-Huda,Kel. Kebonlega,Bojongloa Kidul,Tidak Aktif
18,KSU Hikmah,518/BH.47-DISKOP/2001,08/03/2001,Jl. Karasak Blok Desa 25,Kel. Kebonlega,Bojongloa Kidul,Aktif
19,Kop. Guna Balarea,518/BH.05-DISKOP/2003,23/01/2003,Jl. Inhoftank Blok Desa VII RT 05/04,Kel. Kebonlega,Bojongloa Kidul,Aktif
20,KSU Karsak Mandiri,518/BH.13-DISKOP/2003,17/02/2003,Jl. Karasak Lama No. 36,Kel. Kebonlega,Bojongloa Kidul,Aktif
21,KSP Mitra Pratama,518/BH.11-DISKOP/2004,24/02/2004,Jl. Leuwipanjang,Kel. Situsaeur,Bojongloa Kidul,Aktif
22,Kop. Usaha Kecil Ind.Kota Bandung,518/BH.25-DISKOP/2004,27/05/2004,Jl. Leuwipanjang Gg. Ibu Enem 15,Kel. Situsaeur,Bojongloa Kidul,Aktif
23,"Kopeg. Dishub Kota Bandung""Pelangi""",518/BH.48-DISKOP/2004,20/09/2004,Jl. Soekarno Hatta No. 205,Kel. Situsaeur,Bojongloa Kidul,Aktif
24,Kop. Niaga Sejahtera Abadi,518/BH.04-DISKOP/2005,31/01/2005,Jl. Peta No. 87,Kel. Situsaeur,Bojongloa Kidul,Aktif
25,KSP Tambah Terang,518/BH.18-DISKOP/2005,29/04/2005,Jl. Sauyunan I No. 12,Kel. Kebonlega,Bojongloa Kidul,Aktif
26,Kojamas Nurul Jannah,518/BH.24-DIDKOP/2005,06/08/2005,Jl. Leuwi Utara RT. 03/04 No. 53,Kel. Situsaeur,Bojongloa Kidul,Aktif
27,KSPO Mitra Karya Usaha,518/BH.39-DISKOP/2005,13/09/2005,Jl. Cibaduyut Raya No. 30,Kel. Kebonlega,Bojongloa Kidul,Aktif
