bidang_urusan,tahun,total_usulan,urusan_wajib,urusan_pilihan,jml_program,jml_kegiatan,jml_diakomodir,jml_tdk_diakomodir,jml_dana_usulan
Pendidikan,2015,458,458,0,15,91,193,265,40563750000
Kesehatan,2015,521,521,0,11,50,258,263,60012183853
Pekerjaan umum,2015,3034,3032,2,24,73,201,2833,1000322838090
Perumahan,2015,476,476,0,13,25,354,122,41981202245
Penataan Ruang,2015,67,67,0,15,24,2,65,6602298200
Perencanaan pembangunan,2015,2,2,0,2,2,0,2,74000000
Perhubungan,2015,103,103,0,3,14,25,78,11709030000
Lingkungan Hidup,2015,474,474,0,17,51,234,240,48011085000
Pertanahan,2015,91,91,0,3,19,49,42,264542000000
Kependudukan dan catatan sipil,2015,17,17,0,4,9,14,3,404000000
Pemberdayaan perempuan dan perlindungan anak,2015,9,9,0,7,9,7,2,352675000
Keluarga berencana dan keluarga sejahtera,2015,32,32,0,8,12,22,10,3215100000
Sosial,2015,96,96,0,18,32,22,74,5926990000
Ketenagakerjaan,2015,167,167,0,7,20,45,122,8384850000
Koperasi dan usaha kecil dan menengah,2015,120,119,1,9,28,49,71,8993950000
Penanaman modal,2015,6,6,0,6,6,1,5,1122850000
Kebudayaan,2015,242,242,0,3,9,0,242,4925220000
Kepemudaan dan olah raga,2015,227,227,0,3,9,56,171,15771820000
Kesatuan bangsa dan politik dalam negeri,2015,68,68,0,9,14,47,21,59165775000
"Otonomi daerah, pemerintahan umum, administrasi keuangan, perangkat daerah, kepegawaian dan persandian",2015,213,213,0,22,45,21,192,21278365000
Ketahanan pangan,2015,14,14,0,4,7,4,10,474520000
Pemberdayaan masyarakat dan desa,2015,231,231,0,10,16,3,228,17557305000
Kearsipan,2015,3,3,0,1,1,0,3,15400000
Komunikasi dan informatika,2015,17,17,0,3,7,3,14,955500000
Perpustakaan,2015,9,9,0,3,4,1,8,356500000
Pertanian,2015,74,0,74,2,6,72,2,3711000000
Kehutanan,2015,1,0,1,1,1,0,1,85000000
Energi dan sumber daya mineral,2015,6,0,6,3,3,0,6,945500000
Pariwisata,2015,3,0,3,2,3,0,3,930000000
Kelautan dan Perikanan,2015,11,0,11,1,1,10,1,405000000
Perdagangan,2015,4,1,3,4,4,2,2,663500000
Industri,2015,2,0,2,2,2,2,0,20000000
