indikator,kecamatan,kelurahan_desa,emas_min.10_gram,nomor_hpaktif,televisi,teleponrumah,komputer,"tabung_gasmin._5,5_kg",kulkas,pemanas_air,ac,total_krt
"Aset Barang","BANDUNG KULON","GEMPOL SARI",4,503,518,0,3,0,26,0,0,645
"Aset Barang","BANDUNG KULON","CIGONDEWAH KALER",99,1215,1276,0,8,5,185,1,0,1548
"Aset Barang","BANDUNG KULON","CIGONDEWAH KIDUL",0,335,387,1,3,1,15,0,0,422
"Aset Barang","BANDUNG KULON","CIGONDEWAH RAHAYU",7,534,578,1,3,1,118,0,0,638
"Aset Barang","BANDUNG KULON",CARINGIN,10,197,222,2,5,0,60,0,0,248
"Aset Barang","BANDUNG KULON","WARUNG MUNCANG",94,1295,1341,1,27,3,297,7,0,1756
"Aset Barang","BANDUNG KULON",CIBUNTU,43,678,456,1,3,0,239,0,0,866
"Aset Barang","BANDUNG KULON",CIJERAH,44,1029,1170,1,8,0,210,0,0,1420
"Aset Barang","BABAKAN CIPARAY",MARGASUKA,7,529,596,0,9,1,164,0,0,662
"Aset Barang","BABAKAN CIPARAY",CIRANGRANG,31,502,584,0,2,1,136,0,0,650
"Aset Barang","BABAKAN CIPARAY","MARGAHAYU UTARA",61,888,945,0,3,2,225,2,0,1125
"Aset Barang","BABAKAN CIPARAY","BABAKAN CIPARAY",39,1456,1662,0,6,3,420,0,0,1885
"Aset Barang","BABAKAN CIPARAY",BABAKAN,70,1726,1955,0,31,2,597,1,0,2162
"Aset Barang","BABAKAN CIPARAY",SUKAHAJI,36,1626,1862,6,27,3,561,0,0,2120
"Aset Barang","BOJONGLOA KALER",KOPO,60,1614,1728,1,35,4,380,1,0,1828
"Aset Barang","BOJONGLOA KALER","SUKA ASIH",71,1419,1599,0,42,3,473,10,0,1835
"Aset Barang","BOJONGLOA KALER","BABAKAN ASIH",52,1171,1275,1,31,1,380,0,0,1421
"Aset Barang","BOJONGLOA KALER","BABAKAN TAROGONG",111,2002,2160,2,55,5,590,8,0,2448
"Aset Barang","BOJONGLOA KALER",JAMIKA,55,1814,2089,1,26,5,482,4,0,2523
"Aset Barang","BOJONGLOA KIDUL","CIBADUYUT KIDUL",33,463,578,0,8,2,119,0,0,627
"Aset Barang","BOJONGLOA KIDUL","CIBADUYUT WETAN",27,379,392,0,9,1,59,1,0,431
"Aset Barang","BOJONGLOA KIDUL","MEKAR WANGI",35,683,703,0,15,2,285,0,0,804
"Aset Barang","BOJONGLOA KIDUL",CIBADUYUT,2,793,849,1,8,87,155,2,0,921
"Aset Barang","BOJONGLOA KIDUL","KEBON LEGA",35,952,545,2,17,2,317,0,0,1150
"Aset Barang","BOJONGLOA KIDUL",SITUSAEUR,8,967,1039,0,6,2,298,0,0,1203
"Aset Barang",ASTANAANYAR,KARASAK,4,319,296,18,4,2,127,0,0,442
"Aset Barang",ASTANAANYAR,"PELINDUNG HEWAN",4,675,784,0,12,7,287,5,0,860
"Aset Barang",ASTANAANYAR,NYENGSERET,17,516,523,1,7,8,182,0,0,615
"Aset Barang",ASTANAANYAR,PANJUNAN,22,367,389,1,7,3,77,7,0,425
"Aset Barang",ASTANAANYAR,CIBADAK,5,438,534,0,3,1,123,0,0,583
"Aset Barang",ASTANAANYAR,"KARANG ANYAR",5,132,155,3,3,0,57,0,0,176
"Aset Barang",REGOL,CISEUREUH,33,728,765,0,8,3,248,11,0,918
"Aset Barang",REGOL,PASIRLUYU,4,482,570,2,19,1,84,0,0,1038
"Aset Barang",REGOL,ANCOL,2,403,425,0,6,1,96,0,0,477
"Aset Barang",REGOL,CIGERELENG,16,272,294,5,9,14,96,0,0,371
"Aset Barang",REGOL,CIATEUL,5,174,159,1,14,0,85,0,0,211
"Aset Barang",REGOL,PUNGKUR,1,184,189,1,5,4,58,1,0,233
"Aset Barang",REGOL,"BALONG GEDE",0,186,211,1,5,1,98,0,0,231
"Aset Barang",LENGKONG,CIJAGRA,6,229,243,0,14,1,143,0,0,256
"Aset Barang",LENGKONG,TURANGGA,9,146,144,0,3,1,75,0,0,163
"Aset Barang",LENGKONG,"LINGKAR SELATAN",1,93,97,0,1,6,54,0,0,113
"Aset Barang",LENGKONG,MALABAR,12,254,269,0,6,3,109,0,0,309
"Aset Barang",LENGKONG,BURANGRANG,11,425,434,0,2,3,160,0,0,459
"Aset Barang",LENGKONG,CIKAWAO,14,300,298,2,2,0,105,0,0,354
"Aset Barang",LENGKONG,PALEDANG,10,224,227,0,6,5,115,0,0,250
"Aset Barang","BANDUNG KIDUL",WATES,7,604,617,0,3,1,112,0,0,671
"Aset Barang","BANDUNG KIDUL",MENGGER,0,323,421,0,5,2,83,9,0,465
"Aset Barang","BANDUNG KIDUL",BATUNUNGGAL,24,756,910,2,9,3,291,37,0,1130
"Aset Barang","BANDUNG KIDUL",KUJANGSARI,40,881,1020,2,4,1,332,0,0,1126
"Aset Barang",BUAHBATU,CIJAURA,225,1098,1302,1,1,2,398,1,0,1424
"Aset Barang",BUAHBATU,MARGASARI,122,1456,1764,4,43,12,548,0,0,1938
"Aset Barang",BUAHBATU,SEKEJATI,78,732,772,0,30,3,269,1,0,893
"Aset Barang",BUAHBATU,"JATI SARI",7,259,273,0,6,0,68,0,0,296
"Aset Barang",RANCASARI,DERWATI,27,695,920,0,2,3,70,0,0,1129
"Aset Barang",RANCASARI,CIPAMOKOLAN,25,561,592,2,4,3,169,0,0,657
"Aset Barang",RANCASARI,MANJAHLEGA,1,247,338,1,2,1,86,0,0,388
"Aset Barang",RANCASARI,MEKARJAYA,17,453,572,0,3,3,174,0,0,660
"Aset Barang",GEDEBAGE,RANCABOLANG,12,288,329,0,8,1,129,0,0,355
"Aset Barang",GEDEBAGE,RANCANUMPANG,14,99,112,0,5,3,50,0,0,124
"Aset Barang",GEDEBAGE,"CISARANTEN KIDUL",43,622,744,1,13,8,273,1,0,818
"Aset Barang",GEDEBAGE,CIMINCRANG,10,156,215,1,6,12,77,2,0,249
"Aset Barang",CIBIRU,"PASIR BIRU",31,678,741,0,8,3,305,2,0,970
"Aset Barang",CIBIRU,CIPADUNG,11,974,843,1,21,4,337,0,0,1140
"Aset Barang",CIBIRU,PALASARI,3,620,697,12,14,1,249,24,0,851
"Aset Barang",CIBIRU,CISURUPAN,14,652,431,0,10,1,162,2,0,891
"Aset Barang",PANYILEUKAN,"MEKAR MULYA",11,99,98,0,0,0,36,0,0,109
"Aset Barang",PANYILEUKAN,"CIPADUNG KIDUL",5,144,148,0,8,3,69,0,0,175
"Aset Barang",PANYILEUKAN,"CIPADUNG WETAN",6,256,308,0,2,0,62,0,0,348
"Aset Barang",PANYILEUKAN,"CIPADUNG KULON",3,516,588,1,5,0,191,2,0,653
"Aset Barang","UJUNG BERUNG",PASANGGRAHAN,15,939,1131,1,16,3,271,0,0,1286
"Aset Barang","UJUNG BERUNG",PASIRJATI,13,823,887,0,10,0,174,2,0,1104
"Aset Barang","UJUNG BERUNG","PASIR WANGI",75,817,933,0,7,223,309,0,0,1143
"Aset Barang","UJUNG BERUNG",CIGENDING,18,730,754,1,15,3,302,0,0,914
"Aset Barang","UJUNG BERUNG","PASIR ENDAH",4,254,311,0,5,283,77,0,0,366
"Aset Barang",CINAMBO,"CISARANTEN WETAN",1,270,305,0,2,0,104,0,0,325
"Aset Barang",CINAMBO,"BABAKAN PENGHULU",12,307,330,0,3,2,137,1,0,414
"Aset Barang",CINAMBO,PAKEMITAN,2,172,182,1,6,2,37,7,0,191
"Aset Barang",CINAMBO,SUKAMULYA,24,290,298,0,4,0,143,0,0,360
"Aset Barang",ARCAMANIK,"CISARANTEN KULON",44,865,959,1,14,3,348,1,0,1061
"Aset Barang",ARCAMANIK,"CISARANTEN BINA HARAPAN",11,617,801,0,3,0,87,1,0,926
"Aset Barang",ARCAMANIK,SUKAMISKIN,33,595,626,1,26,6,231,4,0,697
"Aset Barang",ARCAMANIK,"CISARANTEN ENDAH",31,612,689,0,18,6,293,0,0,831
"Aset Barang",ANTAPANI,"ANTAPANI KIDUL",2,266,285,1,13,5,167,0,0,307
"Aset Barang",ANTAPANI,"ANTAPANI TENGAH",4,604,607,0,15,3,305,4,0,749
"Aset Barang",ANTAPANI,"ANTAPANI WETAN",4,560,646,1,4,0,70,0,0,761
"Aset Barang",ANTAPANI,"ANTAPANI KULON",3,170,460,0,1,0,45,0,0,483
"Aset Barang",MANDALAJATI,JATIHANDAP,14,932,1178,1,10,5,353,1,0,1276
"Aset Barang",MANDALAJATI,"KARANG PAMULANG",25,831,940,2,10,1,346,1,0,1105
"Aset Barang",MANDALAJATI,"SINDANG JAYA",6,449,497,0,9,2,221,0,0,561
"Aset Barang",MANDALAJATI,"PASIR IMPUN",21,284,338,0,11,1,125,0,0,396
"Aset Barang",KIARACONDONG,"KEBON KANGKUNG",35,616,710,0,20,49,242,1,0,768
"Aset Barang",KIARACONDONG,SUKAPURA,40,1473,1637,0,22,100,272,0,0,1792
"Aset Barang",KIARACONDONG,"KEBUN JAYANTI",8,766,766,0,16,8,212,0,0,904
"Aset Barang",KIARACONDONG,"BABAKAN SARI",70,1402,1500,3,42,4,573,1,0,1634
"Aset Barang",KIARACONDONG,"BABAKAN SURABAYA",69,836,928,0,17,12,284,2,0,1039
"Aset Barang",KIARACONDONG,CICAHEUM,16,714,821,3,8,1,301,0,0,905
"Aset Barang",BATUNUNGGAL,GUMURUH,19,613,721,1,12,3,263,5,0,823
"Aset Barang",BATUNUNGGAL,BINONG,10,819,921,0,9,1,159,0,0,1020
"Aset Barang",BATUNUNGGAL,"KEBON GEDANG",0,477,520,0,5,0,111,0,0,586
"Aset Barang",BATUNUNGGAL,MALEER,13,971,1291,0,6,1,223,1,0,1423
"Aset Barang",BATUNUNGGAL,CIBANGKONG,20,650,821,4,26,6,247,8,0,1020
"Aset Barang",BATUNUNGGAL,SAMOJA,42,820,855,0,10,5,350,0,0,1019
"Aset Barang",BATUNUNGGAL,KACAPIRING,8,358,381,2,14,5,167,0,0,456
"Aset Barang",BATUNUNGGAL,"KEBON WARU",7,696,785,1,6,2,125,1,0,841
"Aset Barang","SUMUR BANDUNG",BRAGA,9,165,174,0,1,0,72,0,0,189
"Aset Barang","SUMUR BANDUNG","KEBON PISANG",2,254,261,0,12,3,95,0,0,296
"Aset Barang","SUMUR BANDUNG",MERDEKA,0,42,49,0,2,0,17,0,0,53
"Aset Barang","SUMUR BANDUNG","BABAKAN CIAMIS",1,156,146,1,1,2,49,0,0,181
"Aset Barang",ANDIR,CAMPAKA,27,655,784,0,11,9,222,1,0,866
"Aset Barang",ANDIR,MALEBER,28,601,662,2,28,11,208,0,0,732
"Aset Barang",ANDIR,GARUDA,11,414,426,3,21,3,128,0,0,506
"Aset Barang",ANDIR,"DUNGUS CARIANG",28,653,667,4,21,4,186,1,0,784
"Aset Barang",ANDIR,CIROYOM,17,865,941,5,11,1,277,2,0,1109
"Aset Barang",ANDIR,"KEBON JERUK",23,422,451,1,5,14,150,0,0,518
"Aset Barang",CICENDO,ARJUNA,2,80,131,0,2,0,15,1,0,204
"Aset Barang",CICENDO,PASIRKALIKI,5,234,261,0,2,0,108,0,0,300
"Aset Barang",CICENDO,PAMOYANAN,7,153,161,2,31,2,90,0,0,182
"Aset Barang",CICENDO,PAJAJARAN,21,827,1021,0,8,2,276,0,0,1175
"Aset Barang",CICENDO,"HUSEN SASTRANEGARA",15,566,729,0,7,3,207,0,0,859
"Aset Barang",CICENDO,SUKARAJA,2,473,53,1,1,0,120,0,0,815
"Aset Barang","BANDUNG WETAN","TAMAN SARI",4,431,565,0,3,4,189,0,0,786
"Aset Barang","BANDUNG WETAN",CITARUM,1,11,18,0,1,0,5,0,0,25
"Aset Barang","BANDUNG WETAN",CIHAPIT,0,22,27,0,0,0,1,0,0,34
"Aset Barang","CIBEUNYING KIDUL",SUKAMAJU,9,324,337,0,6,1,118,0,0,421
"Aset Barang","CIBEUNYING KIDUL",CICADAS,19,458,526,1,8,1,256,0,0,587
"Aset Barang","CIBEUNYING KIDUL",CIKUTRA,10,777,884,1,18,2,280,0,0,1025
"Aset Barang","CIBEUNYING KIDUL",PADASUKA,18,662,701,0,11,2,184,0,0,918
"Aset Barang","CIBEUNYING KIDUL",PASIRLAYUNG,15,798,673,1,3,7,248,1,0,1066
"Aset Barang","CIBEUNYING KIDUL",SUKAPADA,7,922,573,0,12,0,274,0,0,1244
"Aset Barang","CIBEUNYING KALER",CIHAURGEULIS,10,375,334,1,1,7,55,1,0,482
"Aset Barang","CIBEUNYING KALER",SUKALUYU,0,343,374,1,6,1,112,0,0,497
"Aset Barang","CIBEUNYING KALER",NEGLASARI,6,315,342,0,5,2,31,0,0,386
"Aset Barang","CIBEUNYING KALER",CIGADUNG,44,889,953,2,20,9,370,5,0,1057
"Aset Barang",COBLONG,CIPAGANTI,14,574,583,0,15,2,263,0,0,694
"Aset Barang",COBLONG,"LEBAK SILIWANGI",1,149,242,0,3,1,87,0,0,269
