NO,A. HU/SKH,B. SKM/SKU,C. TABLOID,D. MAJALAH
1,HU BANDUNG,BANDUNG BARAT POS,BERITA INVESTIGASI NASIONAL,FABEL
2,HU GALAMEDIA,BANDUNG RAYA,CORONG,LENTERA JABAR
3,HU INILAH KORAN,BERITA KRIMINAL,FENOMENA,
4,HU PIKIRAN RAKYAT,BERITA METRO,INDONESIA-INDONESIA,
5,HU RADAR BANDUNG,BOM,OTORITAS,
6,HU REPUBLIKA,BUSER NEWS,TINTA,
7,HU SEPUTAR INDONESIA,CAKRAWALA,WARTA PASUNDAN,
8,HU TRIBUN JABAR,CAKRAWALA NUSANTARA,WARTA POLISI,
9,KORAN TEMPO,DIALOG,WARTA WALUYA,
10,KORAN TERBIT TOP,DETAK JAKARTA,,
11,SKH FAKTA JABAR,DUTA PRIANGAN,,
12,SKH PAKUAN ,GEMA JABAR NEWS,,
13,SKH PELITA,GLOBAL POST,,
14,SKH PERJUANGAN BARU,INTERAKSI RAKYAT,,
15,REAKSI NASIONAL,INTI MEDIA,,
16,,JURNALIS INDONESIA,,
17,,KABAR NUSANTARA,,
18,,KORAN SAWALA,,
19,,LENSA INDONESIA,,
20,,LENSA PENDIDIKAN,,
21,,MEDIA FAKTA,,
22,,MERDEKA NEWS,,
23,,MITRA JABAR,,
24,,NEO JABAR POS,,
25,,PATROLI JAKARTA,,
26,,PEDULI RAKYAT,,
27,,PELITA INDONESIA,,
28,,PELITA RAKYAT,,
29,,PI NEWS,,
30,,PROGRESIF,,
31,,PROGRESIF JAYA,,
32,,PURNA YUDHA,,
33,,SEPUTAR HUKUM & KRIMINAL,,
34,,SEPUTAR JABAR,,
35,,SILIWANGI POST,,
36,,SINAR BERITA,,
37,,SINAR PAGI,,
"38,,SINAR PAGI ""BARU"",,"
39,,SINAR SURYA,,
40,,SUARA KEADILAN,,
41,,SUARA METRO INDONESIA,,
42,,SWARA JABAR,,
43,,SWARA WANITA,,
44,,TOP NEWS,,
45,,UNGKAP NEWS,,
46,,TUNAS BANGSA,,
47,,WACANA BANDUNG,,
48,,WARTA BERITA NASIONAL,,
49,,WARTA JABAR,,
50,,WARTA NUSANTARA,,
