id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,nama_kegiatan,jenis_belanja,jenis_pengadaan,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,pemilihan_penyedia,awal_pemilihan,akhir_pemilihan,awal_pekerjaan,akhir_pekerjaan
7385650,"Belanja modal peralatan dan mesin-pengadaan meja dan kursi kerja/rapat pejabat Kelurahan Cipadung",45000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CIBIRU",2016,"Fasilitasi pemberdayaan lingkup RW",Modal,Barang,"1 tahun","Kelurahan Cipadung","Belanja meja, kursi, dan lemari",APBD," 45000000",1.22.1.20.31.03.22.01.5.2.3.30.01,"Pengadaan Langsung",10-05-2016,30-12-2016,10-05-2016,30-12-2016
7427986,"Belanja Modal Peralatan dan Mesin-Pengadaan Alat Studio Kelurahan Cisurupan",120000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CIBIRU",2016,"Fasilitasi Pemberdayaan Lingkup RW",Modal,Barang,"10 unit","Kelurahan Cisurupan","belanja kamera dan sound system",APBD," 120000000",1.22.1.20.31.05.22.1.5.2.3.31.01,"Pengadaan Langsung",10-05-2016,30-12-2016,10-05-2016,30-12-2016
7385536,"Belanja modal peralatan dan mesin-pengadaan personal komputer Kelurahan Palasari",10000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CIBIRU",2016,"Fasilitasi pemberdayaan lingkup LPM",Modal,Barang,"1 unit","Kelurahan Palasari","Belanja PC Komputer dan Printer",APBD," 10000000",1.22.1.20.31.02.22.04.5.2.3.29.02,"Pengadaan Langsung",10-05-2016,30-12-2016,10-05-2016,30-12-2016
7397337,"Belanja Souvenir",15000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CIBIRU",2016,"Penyediaan peralatan rumah tangga",Barang/jasa,Barang,"1 Tahun","Kecamatan Cibiru","Belanja souvenir",APBD," 15000000",1.20.1.20.31.01.01.14.5.2.2.01.11,"Pengadaan Langsung",10-05-2016,30-12-2016,10-05-2016,30-12-2016
7397624,"Belanja pakaian dinas harian (PDH)",59000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CIBIRU",2016,"Pengadaan pakaian khusus hari-hari tertentu",Barang/jasa,Barang,"59 stel","Kecamatan Cibiru","Belanja pakaian hitam putih dan pakaian Linmas",APBD," 59000000",1.20.1.20.31.01.03.05.5.2.2.14.05,"Pengadaan Langsung",10-05-2016,30-12-2016,10-05-2016,30-12-2016
7385573,"Belanja modal peralatan dan mesin-pengadaan alat kantor lainnya Kelurahan Cipadung",12500000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CIBIRU",2016,"Penyediaan peralatan dan perlengkapan kantor",Modal,Barang,"1 paket","Kelurahan Cipadung","Belanja PC komputer dan Printer",APBD," 12500000",1.20.1.20.31.03.01.13.5.2.3.27.05,"Pengadaan Langsung",10-05-2016,30-12-2016,10-05-2016,30-12-2016
7427898,"Belanja Modal Peralatan dan Mesin-Pengadaan alat Kantor Kelurahan Cisurupan",12500000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CIBIRU",2016,"Penyediaan Peralatan dan Perlengkapan Kantor",Modal,Barang,"1 paket","Kelurahan Cisurupan","Belanja PC Komputer dan Printer",APBD," 12500000",1.20.1.20.31.05.01.13.5.2.3.27.05,"Pengadaan Langsung",10-05-2016,30-12-2016,10-05-2016,30-12-2016
7397063,"Belanja Modal Peralatan dan Mesin - Pengadaan Komputer Kelurahan Pasirbiru",12500000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CIBIRU",2016,"Fasilitasi Pemberdayaan Lingkup LPM",Modal,Barang,"1 Tahun","Kelurahan Pasir Biru","Belanja PC Komputer, Printer dan Kamera",APBD," 12500000",1.22.1.20.31.04.22.04.5.2.3.29.02,"Pengadaan Langsung",10-05-2016,30-12-2016,10-05-2016,30-12-2016
7385449,"Belanja modal peralatan dan mesin-pengadaan personal komputer Kelurahan Palasari",10250000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CIBIRU",2016,"Fasilitasi pemberdayaan lingkup PKK",Modal,Barang,"1 unit","Kelurahan Palasari","Belanja PC komputer dan Printer",APBD," 10250000",1.22.1.20.31.02.22.02.5.2.3.29.02,"Pengadaan Langsung",10-05-2016,30-12-2016,10-05-2016,30-12-2016
7397351,"Belanja dekorasi",20000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CIBIRU",2016,"Penyediaan peralatan rumah tangga",Barang/jasa,Barang,"1 paket","Kecamatan cibiru","Belanja dekorasi",APBD," 20000000",1.20.1.20.31.01.01.14.5.2.2.01.14,"Pengadaan Langsung",04-01-2016,30-12-2016,04-01-2016,30-12-2016
7385225,"Belanja Modal peralatan dan mesin-pengadaan alat kantor lainnya Kelurahan Palasari",12500000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CIBIRU",2016,"Penyediaan peralatan dan perlengkapan kantor",Modal,Barang,"1 paket","Kelurahan Palasari","belanja PC komputer dan Printer",APBD," 12500000",1.20.1.20.31.02.01.13,"Pengadaan Langsung",10-05-2016,30-12-2016,10-05-2016,30-12-2016
7377847,"Belanja modal peralatan dan mesin-pengadaan alat kantor lainnya",69410000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CIBIRU",2016,"Penyediaan Peralatan dan Perlengkapan Kantor",Modal,Barang,"1 paket","Kecamatan Cibiru","Belanja modal peralatan dan mesin-pengadaan alat kantor lainnya",APBD," 69410000",1.20.1.20.31.01.01.13.5.2.3.27.05,"Pengadaan Langsung",10-05-2016,30-12-2016,10-05-2016,30-12-2016
7397426,"Belanja pemeliharaan jalan",60000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN CIBIRU",2016,"Peningkatan Infrastruktur dan lingkungan hidup tingkat kecamatan dan kelurahan",Barang/jasa,Barang,"1 Tahun","Kecamatan Cibiru","Belanja pengecatan kerb",APBD," 60000000",1.20.1.20.31.01.30.03.5.2.2.20.01,"Pengadaan Langsung",10-05-2016,30-12-2016,10-05-2016,30-12-2016
