id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,nama_kegiatan,jenis_belanja,jenis_pengadaan,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,pemilihan_penyedia,awal_pemilihan,akhir_pemilihan,awal_pekerjaan,akhir_pekerjaan
3632490,"Rehab rumah dinas",25000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN ARCAMANIK",2015,"Pemeliharaan rutin/berkala rumah dinas",Modal,"Pekerjaan Konstruksi","1 paket","Kecamatan Arcamanik",-,APBD," 25000000",1.20.1.20.30.02.21.5.2.3.49.01,"Pengadaan Langsung",22-06-2015,30-06-2015,01-07-2015,31-07-2015
3632444,"Belanja modal pengadaan komputer mainframe command center",110000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN ARCAMANIK",2015,"Pengadaan perlengkapan peralatan aparatur",Modal,Barang,"1 paket","Kecamatan Arcamanik",-,APBD," 110000000",1.20.1.20.30.02.12.5.2.3.29.03,"Pengadaan Langsung",25-05-2015,29-05-2015,02-06-2015,15-06-2015
3632767,"Belanja pakaian dinas harian (PDH)",25000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN ARCAMANIK",2015,"Pengadaan pakaian dinas beserta perlengkapannya",Barang/jasa,Barang,"50 stel","Kecamatan Arcamanik",-,APBD," 25000000",1.20.1.20.30.03.02.5.2.2.12.04,"Pengadaan Langsung",25-05-2015,29-05-2015,01-06-2015,30-06-2015
3633064,"Belanja pemeliharaan jalan",50000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN ARCAMANIK",2015,"Peningkatan infrastruktur dan lingkungan hidup tingkat kecamatan dan kelurahan",Barang/jasa,"Pekerjaan Konstruksi","1 paket","Kecamatan Arcamanik",-,APBD," 50000000",1.20.1.20.30.30.03.5.2.2.20.01,"Pengadaan Langsung",22-06-2015,30-06-2015,01-07-2015,31-07-2015
4815172,"Pengadaan kendaraan bermotor roda tiga penyiram tanaman",201800000,"Penunjukan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN ARCAMANIK",2015,"pengadaan Kendaraan dinas/operasional",Modal,Barang,"4 unit","Kecamatan Arcamanik",-,APBD," 201800000",1.20.1.20.30.01.02.05.5.2.3.17.06,"Penunjukan Langsung",09-11-2015,11-11-2015,12-11-2015,21-12-2015
3633878,"Belanja modal pengadaan mesin potong rumput dan gergaji mesin",13000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN ARCAMANIK",2015,"Penyediaan peralatan dan perlengkapan kantor",Modal,Barang,"2 unit","Kelurahan Cisaranten Kulon",-,APBD," 13000000",1.20.1.20.30.01.13.5.2.3.26.01,"Pengadaan Langsung",25-05-2015,29-05-2015,02-06-2015,08-06-2015
3632586,"Belanja jasa service",7500000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN ARCAMANIK",2015,"Pemeliharaan rutin/berkala kendaraan dinas/operasional",Barang/jasa,"Jasa Lainnya","1 tahun","Kecamatan Arcamanik",-,APBD," 7500000",1.20.1.20.30.02.24.5.2.2.05.01,"Pengadaan Langsung",22-06-2015,30-06-2015,01-07-2015,31-07-2015
3633948,"Belanja modal pengadaan komputer/PC",10000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN ARCAMANIK",2015,"Penyediaan peralatan dan perlengkapan kantor",Modal,Barang,"1 unit","Kelurahan Cisaranten Endah",-,APBD," 10000000",1.20.1.20.30.01.13.5.2.3.29.02,"Pengadaan Langsung",25-05-2015,29-05-2015,02-06-2015,08-06-2015
3631896,"Belanja modal pengadaan meja kerja",12500000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN ARCAMANIK",2015,"Penyediaan peralatan dan perlengkapan kantor",Modal,Barang,"5 unit","Kecamatan Arcamanik",-,APBD," 12500000",1.20.1.20.30.01.13.5.2.3.30.01,"Pengadaan Langsung",23-03-2015,27-03-2015,01-04-2015,14-04-2015
3633912,"Belanja modal pengadaan kendaraan bermotor beroda tiga",385000000,"Penunjukan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN ARCAMANIK",2015,"Fasilitasi pemberdayaan lingkup RW",Modal,Barang,"11 unit","Kelurahan Cisaranten Kulon",-,APBD," 385000000",1.20.1.20.30.22.01.5.2.3.17.6,"Penunjukan Langsung",18-05-2015,29-05-2015,01-06-2015,30-06-2015
3633887,"Belanja modal pengadaan komputer/PC",10000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN ARCAMANIK",2015,"Penyediaan peralatan dan perlengkapan kantor",Modal,Barang,"1 unit","Kelurahan Cisaranten Kulon",-,APBD," 10000000",1.20.1.20.30.01.13.5.2.3.29.02,"Pengadaan Langsung",25-05-2015,29-05-2015,02-06-2015,08-06-2015
3633569,"Pengadaan mesin potong rumput dan gergaji mesin",13000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN ARCAMANIK",2015,"Penyediaan peralatan dan perlengkapan kantor",Modal,Barang,"2 unit","Kelurahan Sukamiskin",-,APBD," 13000000",1.20.1.20.30.01.13.5.2.3.26.01,"Pengadaan Langsung",25-05-2015,29-05-2015,02-06-2015,08-06-2015
3633757,"Belanja jasa cleaning service",24000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN ARCAMANIK",2015,"Penyediaan jasa kebersihan kantor",Barang/jasa,"Jasa Lainnya","12 bulan","Kelurahan Cisaranten Binaharapan",-,APBD," 24000000",1.20.1.20.30.01.08.5.2.2.03.15,"Pengadaan Langsung",22-12-2014,31-12-2015,01-01-2015,31-12-2016
3632385,"Belanja modal pengadaan touch screan",100000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN ARCAMANIK",2015,"Pengadaan perlengkapan peralatan aparatur",Modal,Barang,"1 paket","Kecamatan Arcamanik",-,APBD," 100000000",1.20.1.20.30.02.12.5.2.3.29.02,"Pengadaan Langsung",25-05-2015,29-05-2015,02-06-2015,15-06-2015
3632656,"Rehab ruang dapur dan WC Kelurahan Cisaranten Binaharapan",150000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN ARCAMANIK",2015,"Rehabilitasi sedang/berat gedung kantor",Modal,"Pekerjaan Konstruksi","1 paket","Kelurahan Cisaranten Binaharapan",-,APBD," 150000000",1.20.1.20.30.02.42.5.2.3.49.01,"Pengadaan Langsung",25-05-2015,29-05-2015,01-06-2015,30-06-2015
3633941,"Belanja modal pengadaan mesin potong rumput dan gergaji mesin",13000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN ARCAMANIK",2015,"Penyediaan peralatan dan perlengkapan kantor",Modal,Barang,"2 unit","Kelurahan Cisaranten Endah",-,APBD," 13000000",1.20.1.20.30.01.13.5.2.3.26.01,"Pengadaan Langsung",25-05-2015,29-05-2015,02-06-2015,08-06-2015
3633977,"Belanja modal pengadaan kendaraan bermotor beroda tiga",280000000,"Penunjukan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN ARCAMANIK",2015,"Fasilitasi pemberdayaan lingkup RW",Modal,Barang,"8 unit","Kelurahan Cisaranten Endah",-,APBD," 280000000",1.20.1.20.30.22.01.5.2.3.17.06,"Penunjukan Langsung",18-05-2015,29-05-2015,01-06-2015,30-06-2015
4881456,"Pemasangan Paving Block",150000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN ARCAMANIK",2015,"Rehabilitasi sedang/berat gedung kantor",Barang/jasa,"Pekerjaan Konstruksi","1 lokasi","Halaman Kantor Camat Arcamanik",-,APBD," 150000000",1.20.1.20.30.01.02.42.5.2.3.49.01,"Pengadaan Langsung",18-11-2015,20-11-2015,23-11-2015,15-12-2015
3633173,"Belanja jasa cleaning service",24000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN ARCAMANIK",2015,"Penyediaan jasa kebersihan kantor",Barang/jasa,"Jasa Lainnya","12 bulan","Kelurahan Sukamiskin",-,APBD," 24000000",1.20.1.20.30.01.08.5.2.2.03.15,"Pengadaan Langsung",22-12-2014,31-12-2015,01-01-2015,31-12-2016
3633804,"Belanja modal pengadaan komputer/PC",10000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN ARCAMANIK",2015,"Penyediaan peralatan dan perlengkapan kantor",Modal,Barang,"1 unit","Kelurahan Cisaranten Binaharapan",-,APBD," 10000000",1.20.1.20.30.01.13.5.2.3.29.02,"Pengadaan Langsung",25-05-2015,29-05-2015,02-06-2015,08-06-2015
3633776,"Belanja modal pengadaan gergaji mesin dan mesin potong rumput",13000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN ARCAMANIK",2015,"Penyediaan peralatan dan perlengkapan kantor",Modal,Barang,"2 unit","Kelurahan Cisaranten Binaharapan",-,APBD," 13000000",1.20.1.20.30.01.13.5.2.3.26.01,"Pengadaan Langsung",25-05-2015,29-05-2015,02-06-2015,08-06-2015
3633588,"Belanja modal pengadaan komputer/PC",10000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN ARCAMANIK",2015,"Penyediaan peralatan dan perlengkapan kantor",Modal,Barang,"1 unit","Kelurahan Sukamiskin",-,APBD," 10000000",1.20.1.20.30.01.13.5.2.3.29.02,"Pengadaan Langsung",25-05-2015,29-05-2015,02-06-2015,08-06-2015
3631777,"Belanja modal pengadaan alat pendingin ruangan",36000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN ARCAMANIK",2015,"Penyediaan peralatan dan perlengkapan kantor",Modal,Barang,"9 unit","Kecamatan Arcamanik",-,APBD," 36000000",1.20.1.20.30.01.13.5.2.3.28.04,"Pengadaan Langsung",23-03-2015,27-03-2015,01-04-2015,07-04-2015
3633847,"Belanja modal pengadaan kendaraan bermotor beroda tiga",385000000,"Penunjukan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN ARCAMANIK",2015,"Fasilitasi pemberdayaan lingkup RW",Modal,Barang,"11 unit","Kelurahan Cisaranten Binaharapan",-,APBD," 385000000",1.20.1.20.30.22.01.5.2.3.17.06,"Penunjukan Langsung",18-05-2015,29-05-2015,01-06-2015,30-06-2015
3632811,"Belanja pakaian batik tradisional",25000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","KECAMATAN ARCAMANIK",2015,"Pengadaan pakaian khusus hari-hari tertentu",Barang/jasa,Barang,"50 stel","Kecamatan Arcamanik",-,APBD," 25000000",1.20.1.20.30.03.05.5.2.2.14.03,"Pengadaan Langsung",25-05-2015,29-05-2015,01-06-2015,30-06-2015
