NO.,PENDIDIKAN UMUM DAN MATA PENCAHARIAN,WNI PRIA,WNI WANITA,WNA PRIA,WNA WANITA
A.,PENDIDIKAN,,,,
1,Tidak/belum Sekolah,13241,13621,0,0
2,Tidak tamat SD,2667,2896,0,0
3,Belum tamat SD,8792,8720,0,0
4,Tamat SD,8487,8176,0,0
5,SLTP,10977,10830,0,0
6,SLTA,12001,11405,0,0
7,Akademi/Sarjana Muda,2608,2669,0,0
8,Sarjana,2208,2275,0,0
JUMLAH,,60981,60592,0,0
B.,MATA PENCAHARIAN,,,,
1,Pegawai Negeri,2143,1763,0,0
2,TNI,818,821,0,0
3,Pegawai Swasta,7922,7465,0,0
4,Tani,371,260,0,0
5,Dagang,11386,9935,0,0
6,Pelajar,16804,18325,0,0
7,Mahasiswa,3195,2659,0,0
8,Pensiunan,2677,1907,0,0
9,Lain-lain,15665,17457,0,0
JUMLAH,,60981,60592,0,0
