RUAS JALAN,KELURAHAN,KECAMATAN,WILAYAH,JUMLAH
Jl. Amir Mahmud,Campaka,Andir,Bojonagara,15
Jl. Cilember,Campaka,Andir,Bojonagara,14
Jl. Katalina,Campaka,Andir,Bojonagara,24
Jl. tamanmediteraan,Campaka,Andir,Bojonagara,20
Jl. Arjuna,Ciroyom,Andir,Bojonagara,9
Jl. Ciroyom,Ciroyom,Andir,Bojonagara,24
Jl. Kebon Jati,Ciroyom,Andir,Bojonagara,25
Jl. Kelenteng,Ciroyom,Andir,Bojonagara,7
Jl. Pasar Ciroyom,Ciroyom,Andir,Bojonagara,6
Jl. Pasirkaliki,Ciroyom,Andir,Bojonagara,2
Jl. Rajawali Timur,Ciroyom,Andir,Bojonagara,30
Jl. Waringin,Ciroyom,Andir,Bojonagara,8
Jl. kakap,Ciroyom,Andir,Bojonagara,1
Jl. klenteng,Ciroyom,Andir,Bojonagara,1
Jl. pasarandir,Ciroyom,Andir,Bojonagara,12
Komp. Srigunting,Ciroyom,Andir,Bojonagara,20
Jl. Andir,Dungus Cariang,Andir,Bojonagara,4
Jl. Nurtanio,Dungus Cariang,Andir,Bojonagara,24
Jl. halteu utara,Dungus Cariang,Andir,Bojonagara,1
Jl. suparmin,Dungus Cariang,Andir,Bojonagara,11
Jl. Dadali,Garuda,Andir,Bojonagara,6
Jl. Elang,Garuda,Andir,Bojonagara,9
Jl. Elang II,Garuda,Andir,Bojonagara,14
Jl. Flaminggo,Garuda,Andir,Bojonagara,2
Jl. H Alpi,Garuda,Andir,Bojonagara,2
Jl. Maleber Utara,Garuda,Andir,Bojonagara,3
Jl. Penguin,Garuda,Andir,Bojonagara,4
Jl. Rajawali Barat,Garuda,Andir,Bojonagara,27
Jl. Sudirman,Garuda,Andir,Bojonagara,37
Jl. bangau,Garuda,Andir,Bojonagara,1
Jl. hasanali,Garuda,Andir,Bojonagara,1
Jl. kaswari,Garuda,Andir,Bojonagara,3
Jl. pelikan,Garuda,Andir,Bojonagara,6
Jl. pinqquin,Garuda,Andir,Bojonagara,4
Jl. setra murnitengah2,Garuda,Andir,Bojonagara,1
Jl. tirta sari,Garuda,Andir,Bojonagara,11
Jl. trselangraya,Garuda,Andir,Bojonagara,3
Jl. walet,Garuda,Andir,Bojonagara,1
Jl. Babatan,Kebon Jeruk,Andir,Bojonagara,5
Jl. Belakang Pasar,Kebon Jeruk,Andir,Bojonagara,2
Jl. Dulatip,Kebon Jeruk,Andir,Bojonagara,13
Jl. Gardujati,Kebon Jeruk,Andir,Bojonagara,7
Jl. Kebon Tangkil,Kebon Jeruk,Andir,Bojonagara,7
Jl. Oto Iskandardinata,Kebon Jeruk,Andir,Bojonagara,2
Jl. Pasar Baru Barat,Kebon Jeruk,Andir,Bojonagara,11
Jl. Pasar Selatan,Kebon Jeruk,Andir,Bojonagara,5
Jl. Pasar Utara,Kebon Jeruk,Andir,Bojonagara,5
Jl. Saritem,Kebon Jeruk,Andir,Bojonagara,7
