indikator,kecamatan,kelurahan_desa,kks__kps,kip__bsm,pkh,raskin,kur,total_krt
"Program Bantuan","BANDUNG KULON","GEMPOL SARI",279,23,18,417,0,645
"Program Bantuan","BANDUNG KULON","CIGONDEWAH KALER",413,115,285,1168,0,1548
"Program Bantuan","BANDUNG KULON","CIGONDEWAH KIDUL",80,2,0,407,0,422
"Program Bantuan","BANDUNG KULON","CIGONDEWAH RAHAYU",462,8,40,606,0,638
"Program Bantuan","BANDUNG KULON",CARINGIN,20,3,1,235,0,248
"Program Bantuan","BANDUNG KULON","WARUNG MUNCANG",743,163,53,1490,0,1756
"Program Bantuan","BANDUNG KULON",CIBUNTU,110,19,2,544,0,866
"Program Bantuan","BANDUNG KULON",CIJERAH,464,113,10,1175,0,1420
"Program Bantuan","BABAKAN CIPARAY",MARGASUKA,266,41,29,589,0,662
"Program Bantuan","BABAKAN CIPARAY",CIRANGRANG,288,59,58,551,0,650
"Program Bantuan","BABAKAN CIPARAY","MARGAHAYU UTARA",358,9,36,875,0,1125
"Program Bantuan","BABAKAN CIPARAY","BABAKAN CIPARAY",781,30,69,1662,0,1885
"Program Bantuan","BABAKAN CIPARAY",BABAKAN,834,69,41,1985,0,2162
"Program Bantuan","BABAKAN CIPARAY",SUKAHAJI,942,173,297,1905,0,2120
"Program Bantuan","BOJONGLOA KALER",KOPO,736,301,58,1507,0,1828
"Program Bantuan","BOJONGLOA KALER","SUKA ASIH",602,134,74,1691,0,1835
"Program Bantuan","BOJONGLOA KALER","BABAKAN ASIH",453,13,26,1035,0,1421
"Program Bantuan","BOJONGLOA KALER","BABAKAN TAROGONG",990,67,114,1683,0,2448
"Program Bantuan","BOJONGLOA KALER",JAMIKA,985,56,87,1983,0,2523
"Program Bantuan","BOJONGLOA KIDUL","CIBADUYUT KIDUL",389,8,56,456,0,627
"Program Bantuan","BOJONGLOA KIDUL","CIBADUYUT WETAN",213,1,91,376,0,431
"Program Bantuan","BOJONGLOA KIDUL","MEKAR WANGI",398,155,68,744,0,804
"Program Bantuan","BOJONGLOA KIDUL",CIBADUYUT,272,78,48,826,0,921
"Program Bantuan","BOJONGLOA KIDUL","KEBON LEGA",273,23,35,980,0,1150
"Program Bantuan","BOJONGLOA KIDUL",SITUSAEUR,435,100,59,1077,0,1203
"Program Bantuan",ASTANAANYAR,KARASAK,83,18,6,328,0,442
"Program Bantuan",ASTANAANYAR,"PELINDUNG HEWAN",423,35,39,738,0,860
"Program Bantuan",ASTANAANYAR,NYENGSERET,269,67,40,511,0,615
"Program Bantuan",ASTANAANYAR,PANJUNAN,168,38,18,271,0,425
"Program Bantuan",ASTANAANYAR,CIBADAK,199,4,33,493,0,583
"Program Bantuan",ASTANAANYAR,"KARANG ANYAR",17,2,0,84,0,176
"Program Bantuan",REGOL,CISEUREUH,524,100,188,806,0,918
"Program Bantuan",REGOL,PASIRLUYU,276,31,18,885,0,1038
"Program Bantuan",REGOL,ANCOL,125,0,0,385,0,477
"Program Bantuan",REGOL,CIGERELENG,69,23,14,215,0,371
"Program Bantuan",REGOL,CIATEUL,32,2,3,162,0,211
"Program Bantuan",REGOL,PUNGKUR,35,54,12,149,0,233
"Program Bantuan",REGOL,"BALONG GEDE",64,4,2,197,0,231
"Program Bantuan",LENGKONG,CIJAGRA,63,35,1,240,0,256
"Program Bantuan",LENGKONG,TURANGGA,52,0,11,151,0,163
"Program Bantuan",LENGKONG,"LINGKAR SELATAN",0,0,1,85,0,113
"Program Bantuan",LENGKONG,MALABAR,160,54,71,267,0,309
"Program Bantuan",LENGKONG,BURANGRANG,177,12,28,347,0,459
"Program Bantuan",LENGKONG,CIKAWAO,135,2,33,288,0,354
"Program Bantuan",LENGKONG,PALEDANG,86,10,24,205,0,250
"Program Bantuan","BANDUNG KIDUL",WATES,174,2,4,597,0,671
"Program Bantuan","BANDUNG KIDUL",MENGGER,15,1,0,339,0,465
