nama_kecamatan,iud_sisa_bulan_lalu,kondom_sisa_bulan_lalu,implant_sisa_bulan_lalu,suntikan_sisa_bulan_lalu,pil_sisa_bulan_lalu,iud_diterima_bulan_ini,kondom_diterima_bulan_ini,implant_diterima_bulan_ini,suntikan_diterima_bulan_ini,pil_diterima_bulan_ini,iud_diterima_bulan_ini,kondom_diterima_bulan_ini,implant_diterima_bulan_ini,suntikan_diterima_bulan_ini,pil_diterima_bulan_ini,iud_sisa_akhir_bulan_ini,kondom_sisa_akhir_bulan_ini,implant_sisa_akhir_bulan_ini,suntikan_sisa_akhir_bulan_ini,pil_sisa_akhir_bulan_ini
Sukasari,112,235,50,227,477,0,24,0,140,100,8,32,19,80,79,104,227,31,287,498
Coblong,58,123,27,80,440,0,36,0,220,400,9,21,5,160,91,49,138,22,140,749
Babakan Ciparay,84,84,7,123,284,70,12,13,20,0,73,4,14,53,19,81,92,6,90,265
Bojongloa Kaler,64,66,30,93,215,0,24,0,180,200,12,13,0,171,65,52,77,30,102,350
Andir,137,102,22,152,183,0,0,0,0,0,14,8,1,83,1,123,94,21,69,182
Cicendo,17,269,0,37,209,12,0,0,60,0,11,24,0,61,8,18,245,0,36,201
Sukajadi,47,14,0,17,237,150,24,0,776,300,134,23,0,786,426,63,15,0,7,111
Cidadap,140,141,28,165,459,0,12,0,20,100,6,4,0,60,31,134,149,28,125,528
Bandung Wetan,55,107,52,107,624,0,24,0,80,200,4,1,1,88,15,51,130,51,99,809
Astana Anyar,84,100,15,464,718,72,34,12,500,400,89,7,10,269,149,67,127,17,695,969
Regol,100,131,19,235,420,50,36,0,300,200,26,15,2,144,55,124,152,17,391,565
Batununggal,58,62,14,85,427,0,48,0,240,300,15,36,0,220,63,43,74,14,105,664
Lengkong,84,265,43,187,666,0,0,5,280,0,4,20,1,205,39,80,245,47,262,627
Cibeunying Kidul,49,25,17,28,427,25,12,0,120,300,9,14,0,118,59,65,23,17,30,668
Bandung Kulon,118,108,15,70,608,0,36,0,245,300,49,14,3,151,49,69,130,12,164,859
Kiaracondong,33,25,19,95,333,0,24,0,140,200,5,19,0,89,38,28,30,19,146,495
Bojongloa Kidul,5,17,0,94,47,25,12,10,0,100,4,1,0,5,6,26,28,10,89,141
Cibeunying Kaler,30,4,20,0,53,0,12,0,60,200,1,6,0,20,30,29,10,20,40,223
Sumur Bandung,23,14,9,54,410,0,12,0,100,0,18,4,0,49,13,5,22,9,105,397
Antapani,69,109,2,85,602,0,36,0,80,300,1,10,0,137,101,68,135,2,28,801
Bandung Kidul,125,284,50,99,453,0,0,0,211,300,7,26,1,182,108,118,258,49,128,645
Buahbatu,47,37,15,80,364,0,24,0,140,200,10,27,0,181,36,37,34,15,39,528
Rancasari,28,75,19,0,172,0,24,0,140,200,5,3,0,120,58,23,96,19,20,314
Arcamanik,167,198,8,90,199,0,19,0,140,100,14,72,1,99,21,153,145,7,131,278
Cibiru,112,200,57,163,328,20,0,10,322,100,25,15,16,332,110,107,185,51,153,318
Ujung Berung,42,31,17,41,65,0,0,0,0,0,6,11,2,35,17,36,20,15,6,48
Gedebage,55,51,7,86,383,0,24,0,80,200,11,39,0,71,171,44,36,7,95,412
Panyileukan,27,6,7,192,157,48,0,15,20,0,29,5,11,92,1,46,1,11,120,156
Cinambo,201,170,75,153,295,0,12,0,54,100,71,10,3,60,114,130,172,72,147,281
Mandalajati,156,231,8,182,560,57,0,0,100,200,26,8,0,136,97,187,223,8,146,663
