NO,PENDIDIKAN UMUM DAN MATA PENCAHARIAN TETAP,WNI PRIA,WNI WANITA,WNI  KETURUNAN PRIA,WNI KETURUNAN WANITA,WNA PRIA,WNA WANITA,KELURAHAN
A,PENDIDIKAN,,,,,,,
1,Tidak / belum sekolah,268,283,0,0,0,0,CIGONDEWAH RAHAYU
2,Tidak tamat SD,244,135,0,0,0,0,CIGONDEWAH RAHAYU
3,Belum tamat SD,1125,500,0,0,0,0,CIGONDEWAH RAHAYU
4,Tamat  SD,1049,600,0,0,0,0,CIGONDEWAH RAHAYU
5,S  L  P,900,1044,0,0,0,0,CIGONDEWAH RAHAYU
6,S  L  A,1328,1316,0,0,0,0,CIGONDEWAH RAHAYU
7,Akademi / Sarjana Muda,149,79,0,0,0,0,CIGONDEWAH RAHAYU
8,Sarjana,145,251,0,0,0,0,CIGONDEWAH RAHAYU
B,MATA  PENCAHARIAN,,,,,,,
1,Pegawai Negeri,48,8,0,0,0,0,CIGONDEWAH RAHAYU
2,A. B. R. I.,12,0,0,0,0,0,CIGONDEWAH RAHAYU
3,Pegawai Swasta,903,376,0,0,0,0,CIGONDEWAH RAHAYU
4,Tani,500,750,0,0,0,0,CIGONDEWAH RAHAYU
5,Dagang,548,611,0,0,0,0,CIGONDEWAH RAHAYU
6,Pelajar,900,600,0,0,0,0,CIGONDEWAH RAHAYU
7,Mahasiswa,155,124,0,0,0,0,CIGONDEWAH RAHAYU
8,Pensiunan,13,0,0,0,0,0,CIGONDEWAH RAHAYU
9,Lain-lain,1568,2300,0,0,0,0,CIGONDEWAH RAHAYU
