id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,awal_pekerjaan,akhir_pekerjaan
2669845,"SEKRETARIAT DAERAH (NON BAGIAN)","Belanja Pengadaan ",25000000,APBD,"Pemerintah Daerah Kota Bandung","SEKRETARIAT DAERAH (NON BAGIAN)",2015,1,"Sekretariat daerah Non Bagian ","Belanja Pengadaan ",APBD," 25000000",1.20.1.20.03.01.11.5.2.2.06.02,09-02-2015,10-12-2015
3313091,"SEKRETARIAT DAERAH (NON BAGIAN)","Uang Lembur PNS ",308000000,APBD,"Pemerintah Daerah Kota Bandung","SEKRETARIAT DAERAH (NON BAGIAN)",2015,1,"Sekretariat daerah ","Uang Lembur PNS ",APBD," 308000000",1.20.1.20.03.20.03.5.2.1.03.01,24-02-2015,30-12-2016
2665832,"SEKRETARIAT DAERAH (NON BAGIAN)","Belanja Internet ",400000000,APBD,"Pemerintah Daerah Kota Bandung","SEKRETARIAT DAERAH (NON BAGIAN)",2015,1,"Sekretariat Daerah Non Bagian","Belanja Internet ",APBD," 400000000",1.20.1.20.03.01.02.5.2.2.03.06,26-01-2015,31-12-2016
2725293,"SEKRETARIAT DAERAH (NON BAGIAN)","Belanja Sewa Sarana Mobilitas Darat",150000000,APBD,"Pemerintah Daerah Kota Bandung","SEKRETARIAT DAERAH (NON BAGIAN)",2015,1,"Sekretariat Daerah Non Bagian ","Belanja Sewa Sarana Mobilitas Darat",APBD," 150000000",1.20.1.20.03.20.03.5.2.2.08.01,02-02-2015,20-12-2015
2665235,"SEKRETARIAT DAERAH (NON BAGIAN)","Belanja Telepon ",1200000000,APBD,"Pemerintah Daerah Kota Bandung","SEKRETARIAT DAERAH (NON BAGIAN)",2015,1,"Sekretariat Daerah Non Bagian","Belanja Telepon ",APBD," 1200000000",1.20.1.20.03.01.02.5.2.2.03.01,27-01-2015,31-12-2016
3313362,"SEKRETARIAT DAERAH (NON BAGIAN)","Honorarium Tim Pengadaan Barang Dan Jasa ",9600000,APBD,"Pemerintah Daerah Kota Bandung","SEKRETARIAT DAERAH (NON BAGIAN)",2015,1,"Sekretariat Daerah Kota Bandung ","Honorarium Tim Pengadaan Barang Dan Jasa ",APBD," 9600000",1.20.1.20.03.01.10.5.2.1.01.02,24-02-2015,30-12-2016
3313468,"SEKRETARIAT DAERAH (NON BAGIAN)","Honorarium Tim Pengadaan Barang Dan Jasa ",4800000,APBD,"Pemerintah Daerah Kota Bandung","SEKRETARIAT DAERAH (NON BAGIAN)",2015,1,"Sekretariat daerah","Honorarium Tim Pengadaan Barang Dan Jasa ",APBD," 4800000",1.20.1.20.03.01.12.5.2.1.01.02,24-02-2015,30-12-2016
3313598,"SEKRETARIAT DAERAH (NON BAGIAN)","Honorarium Tim Pengadaan Barang Dan Jasa ",14400000,APBD,"Pemerintah Daerah Kota Bandung","SEKRETARIAT DAERAH (NON BAGIAN)",2015,1,"Sekretariat daerah","Honorarium Tim Pengadaan Barang Dan Jasa ",APBD," 14400000",1.20.1.20.03.01.17.5.2.1.01.02,24-02-2015,30-12-2016
2668068,"SEKRETARIAT DAERAH (NON BAGIAN)","Belanja Perangko, Materai Dan Benda Pos Lainnya",12600000,APBD,"Pemerintah Daerah Kota Bandung","SEKRETARIAT DAERAH (NON BAGIAN)",2015,1,"Sekretariat daerah Kota Bandung","Belanja Perangko, Materai Dan Benda Pos Lainnya",APBD," 12600000",1.20.1.20.03.01.10.5.2.2.01.04,02-02-2015,30-11-2015
2765992,"SEKRETARIAT DAERAH (NON BAGIAN)","Belanja Pengadaan Penyusunan Pelaporan Prognosis Realisasi Anggaran ",3000000,APBD,"Pemerintah Daerah Kota Bandung","SEKRETARIAT DAERAH (NON BAGIAN)",2015,2,"Sekretariat daerah Non Bagian ","Belanja Pengadaan ",APBD," 3000000",1.20.1.20.03.06.03.5.2.2.06.02,03-06-2015,31-08-2015
2665426,"SEKRETARIAT DAERAH (NON BAGIAN)","Belanja Air",1300000000,APBD,"Pemerintah Daerah Kota Bandung","SEKRETARIAT DAERAH (NON BAGIAN)",2015,1,"Sekretariat daerah Non Bagian ","Belanja Air",APBD," 1300000000",1.20.1.20.03.01.02.5.2.2.03.02,26-01-2015,30-11-2015
