lokasi,nama_komoditas,2016-04-01,2016-04-08,2016-04-15,2016-04-22,2016-04-29,2016-04-04,2016-04-05,2016-04-06,2016-04-07,2016-04-11,2016-04-12,2016-04-13,2016-04-14,2016-04-18,2016-04-19,2016-04-20,2016-04-21,2016-04-25,2016-04-26,2016-04-27,2016-04-28,2016-04-02
Pasar Baru,Beras Medium,10000,10000,10000,10000,0,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0
Pasar Baru,Cabe Merah,40000,45000,35000,30000,0,35000,40000,45000,45000,35000,35000,35000,35000,30000,30000,30000,30000,0,23000,23000,23000,35000
Pasar Baru,Bawang Merah,55000,50000,38000,38000,0,45000,45000,50000,50000,7000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000
Pasar Baru,Daging Ayam Ras,30000,30000,30000,0,0,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,0
Pasar Baru,Telur Ayam Ras,18500,18500,20000,20000,0,18000,18000,30000,18500,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
Pasar Baru,Daging Sapi,120000,120000,120000,120000,0,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,120000,0
Pasar Baru,Minyak Goreng,13000,14000,14000,14000,0,13000,13000,13000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000
Pasar Baru,Gula Pasir,11000,13000,13000,13000,0,11000,11000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000
Pasar Baru,Kentang,9000,12000,12000,12000,0,12000,12000,12000,12000,1500,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000
Pasar Baru,Kedelai,10000,11000,11000,11000,0,10000,10000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,0,0,0,11000,11000
Pasar Baru,Tepung Terigu,7000,7500,7500,7500,0,7000,7000,7000,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,0
Pasar Baru,Bawang Putih,40000,40000,38000,38000,0,35000,35000,40000,40000,38000,38000,38000,38000,38000,38000,0,38000,38000,38000,38000,38000,38000
Pasar Baru,Cabe Keriting,40000,40000,35000,28000,0,35000,35000,40000,40000,35000,35000,35000,35000,28000,28000,28000,28000,23000,23000,23000,23000,35000
Pasar Baru,Cabe Rawit,45000,40000,45000,40000,0,45000,60000,40000,40000,45000,45000,45000,45000,40000,40000,40000,40000,25000,25000,25000,25000,45000
Pasar Baru,Kacang Tanah,24000,27000,27000,27000,0,24000,24000,22000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000
Pasar Baru,Ubi Kayu,5000,3000,3000,3000,0,5000,5000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
Pasar Baru,Ubi Jalar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pasar Baru,Jagung,8000,7000,7000,9000,0,8000,8000,7000,7000,7000,7000,7000,7000,9000,9000,9000,9000,9000,9000,9000,9000,7000
Pasar Baru,Ikan Olahan,60000,60000,60000,60000,0,60000,60000,60000,60000,38000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
Pasar Baru,Beras Premium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pasar Baru,Minyak Goreng Curah,11000,11000,12000,12000,0,11000,11000,11000,11000,11000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000
Pasar Baru,Daging Ayam Kampung,65000,65000,65000,65000,0,65000,65000,65000,65000,65000,65000,65000,65000,65000,0,65000,65000,65000,65000,65000,65000,0
Pasar Baru,Telur Ayam Kampung,45000,45000,45000,45000,0,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000
Pasar Baru,Susu Kental Manis Merk Bendera,11000,11000,11000,11000,0,11000,11000,11000,11000,22000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
