lokasi,nama_komoditas,2015-06-01,2015-06-02,2015-06-03,2015-06-04,2015-06-05,2015-06-06,2015-06-07,2015-06-08,2015-06-09,2015-06-10,2015-06-11,2015-06-12,2015-06-13,2015-06-14,2015-06-15,2015-06-16,2015-06-17,2015-06-18,2015-06-19,2015-06-20,2015-06-21,2015-06-22,2015-06-23,2015-06-24,2015-06-25,2015-06-26,2015-06-27,2015-06-28,2015-06-29,2015-06-30
"Pasar Kiaracondong","Beras Medium",9000,0,9000,9000,9000,0,0,9000,9000,9000,9000,9000,0,0,9000,9000,9000,9000,9000,0,0,9500,9500,9500,9500,9500,0,0,9500,0
"Pasar Kiaracondong","Cabe Merah",40000,0,40000,40000,40000,0,0,40000,40000,40000,40000,40000,0,0,50000,50000,60000,50000,50000,0,0,44000,44000,44000,44000,35000,0,0,35000,0
"Pasar Kiaracondong","Bawang Merah",35000,0,35000,34000,34000,0,0,35000,35000,35000,32000,32000,0,0,30000,30000,30000,30000,30000,0,0,30000,30000,30000,30000,30000,0,0,30000,0
"Pasar Kiaracondong","Daging Ayam Ras",32000,0,32000,32000,32000,0,0,32000,32000,32000,34000,34000,0,0,31000,31000,31000,34000,34000,0,0,34000,34000,34000,34000,32000,0,0,32000,0
"Pasar Kiaracondong","Telur Ayam Ras",22000,0,22000,22000,22000,0,0,22000,22000,22000,22000,22000,0,0,22500,22500,22500,22000,22000,0,0,22000,22000,22000,22000,21000,0,0,21000,0
"Pasar Kiaracondong","Daging Sapi",96000,0,96000,96000,96000,0,0,96000,96000,96000,98000,98000,0,0,98000,98000,105000,120000,120000,0,0,105000,105000,105000,105000,100000,0,0,100000,0
"Pasar Kiaracondong","Minyak Goreng",15000,0,15000,15000,15000,0,0,15000,15000,15000,15000,15000,0,0,15000,15000,15000,15000,15000,0,0,15000,15000,15000,15000,15000,0,0,15000,0
"Pasar Kiaracondong","Gula Pasir",12500,0,12500,12500,12500,0,0,12500,12500,12500,13000,13000,0,0,13000,13000,13000,13000,13000,0,0,13000,13000,13000,13000,13000,0,0,13000,0
"Pasar Kiaracondong",Kentang,8000,0,8000,8000,8000,0,0,8000,8000,8000,8000,8000,0,0,10000,10000,10000,10000,10000,0,0,9000,9000,9000,9000,9000,0,0,10000,0
"Pasar Kiaracondong",Kedelai,12000,0,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,0
"Pasar Kiaracondong","Tepung Terigu",7000,0,7000,7000,7000,0,0,7000,7000,7000,7000,7000,0,0,7000,7000,7000,7000,7000,0,0,7000,7000,7000,7000,7000,0,0,7000,0
"Pasar Kiaracondong","Bawang Putih",20000,0,20000,20000,20000,0,0,20000,20000,20000,20000,20000,0,0,20000,20000,20000,20000,20000,0,0,20000,20000,20000,20000,20000,0,0,20000,0
"Pasar Kiaracondong","Cabe Keriting",20000,0,20000,20000,20000,0,0,20000,20000,20000,30000,30000,0,0,35000,35000,35000,35000,35000,0,0,35000,35000,35000,35000,35000,0,0,30000,0
"Pasar Kiaracondong","Cabe Rawit",30000,0,30000,30000,30000,0,0,30000,30000,30000,30000,30000,0,0,30000,30000,30000,40000,40000,0,0,40000,40000,40000,40000,30000,0,0,30000,0
"Pasar Kiaracondong","Kacang Tanah",26000,0,26000,26000,26000,0,0,26000,26000,26000,28000,28000,0,0,28000,28000,28000,27000,27000,0,0,28000,28000,28000,28000,27000,0,0,28000,0
"Pasar Kiaracondong","Ubi Kayu",3000,0,3000,3000,3000,0,0,3000,3000,3000,3000,3000,0,0,3000,3000,3000,3000,3000,0,0,3000,3000,3000,3000,3000,0,0,3000,0
"Pasar Kiaracondong","Ubi Jalar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
