lokasi,nama_komoditas,2015-03-01,2015-03-02,2015-03-03,2015-03-04,2015-03-05,2015-03-06,2015-03-07,2015-03-08,2015-03-09,2015-03-10,2015-03-11,2015-03-12,2015-03-13,2015-03-14,2015-03-15,2015-03-16,2015-03-17,2015-03-18,2015-03-19,2015-03-20,2015-03-21,2015-03-22,2015-03-23,2015-03-24,2015-03-25,2015-03-26,2015-03-27,2015-03-28,2015-03-29,2015-03-30,2015-03-31
"Pasar Kiaracondong","Beras Medium",11000,12000,12000,12000,12000,0,0,0,12000,12000,12000,12000,12000,0,0,10500,10500,10500,0,10500,0,0,10500,10500,10500,10500,10500,0,0,10000,0
"Pasar Kiaracondong","Cabe Merah",0,35000,35000,35000,35000,0,0,0,35000,60000,60000,60000,60000,0,0,60000,60000,60000,0,60000,0,0,60000,0,60000,60000,60000,0,0,40000,0
"Pasar Kiaracondong","Bawang Merah",0,20000,20000,20000,20000,0,0,0,20000,24000,24000,24000,24000,0,0,28000,28000,28000,0,28000,0,0,32000,32000,32000,32000,32000,0,0,32000,0
"Pasar Kiaracondong","Daging Ayam Ras",32000,32000,32000,32000,32000,0,0,0,32000,30000,30000,30000,30000,0,0,28000,28000,28000,0,28000,0,0,28000,28000,28000,28000,28000,0,0,28000,0
"Pasar Kiaracondong","Telur Ayam Ras",20000,20000,20000,20000,20000,0,0,0,20000,18000,18000,18000,18000,0,0,18000,18000,18500,0,18500,0,0,18500,18500,18000,18000,17500,0,0,17000,0
"Pasar Kiaracondong","Daging Sapi",96000,96000,96000,96000,96000,0,0,0,96000,96000,96000,96000,96000,0,0,96000,96000,96000,96000,96000,0,0,96000,96000,96000,96000,96000,0,0,96000,0
"Pasar Kiaracondong","Minyak Goreng",15000,15000,15000,15000,15000,0,0,0,15000,15000,15000,15000,15000,0,0,15000,15000,15000,0,15000,0,0,15000,15000,15000,15000,15000,0,0,15000,0
"Pasar Kiaracondong","Gula Pasir",11000,11000,11000,11000,11000,0,0,0,11000,11000,11000,11000,11000,0,0,11000,11000,11000,0,11000,0,0,11000,11000,11000,11000,11000,0,0,11500,0
"Pasar Kiaracondong",Kentang,0,11000,11000,11000,11000,0,0,0,11000,10000,10000,10000,10000,0,0,11000,11000,11000,11000,11000,0,0,10000,10000,10000,10000,10000,0,0,10000,0
"Pasar Kiaracondong",Kedelai,0,12000,12000,12000,12000,0,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,0
"Pasar Kiaracondong","Tepung Terigu",0,7000,7000,7000,7000,0,0,0,7000,7000,7000,7000,7000,0,0,7000,7000,7000,0,7000,0,0,7000,7000,7000,7000,7000,0,0,7000,0
"Pasar Kiaracondong","Bawang Putih",0,15000,15000,15000,15000,0,0,0,15000,15000,15000,15000,15000,0,0,15000,15000,15000,0,15000,0,0,15000,15000,15000,15000,15000,0,0,0,0
"Pasar Kiaracondong","Cabe Keriting",0,20000,20000,20000,20000,0,0,0,20000,20000,20000,20000,20000,0,0,20000,20000,20000,0,20000,0,0,20000,20000,20000,0,20000,0,0,20000,0
"Pasar Kiaracondong","Cabe Rawit",0,30000,30000,30000,30000,0,0,0,30000,60000,60000,60000,60000,0,0,60000,60000,60000,0,60000,0,0,60000,60000,60000,60000,60000,0,0,40000,0
"Pasar Kiaracondong","Kacang Tanah",0,22000,22000,22000,22000,0,0,0,22000,22000,22000,22000,22000,0,0,22000,22000,22000,0,22000,0,0,22000,22000,22000,22000,22000,0,0,22000,0
"Pasar Kiaracondong","Ubi Kayu",0,3000,3000,3000,3000,0,0,0,3000,3000,3000,3000,3000,0,0,3000,3000,3000,3000,3000,0,0,3000,3000,3000,3000,3000,0,0,3000,0
"Pasar Kiaracondong","Ubi Jalar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Kiaracondong",Jagung,0,6000,6000,6000,6000,0,0,0,6000,6000,6000,6000,6000,0,0,6000,6000,6000,0,6000,0,0,7000,7000,7000,7000,7000,0,0,8000,0
"Pasar Kiaracondong","Ikan Olahan",0,50000,50000,50000,50000,0,0,0,50000,50000,50000,50000,50000,0,0,50000,50000,50000,0,50000,0,0,50000,50000,50000,50000,50000,0,0,50000,0
"Pasar Kiaracondong","Beras Premium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
