id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,nama_kegiatan,jenis_belanja,jenis_pengadaan,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,pemilihan_penyedia,awal_pemilihan,akhir_pemilihan,awal_pekerjaan,akhir_pekerjaan
4047563,"pengadaan mesin hitung",40000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS PERHUBUNGAN",2015,"Pengadaan perlengkapan peralatan aparatur",Modal,Barang,"1 paket","kota bandung","pengadaan mesin hitung",APBD," 40000000","1.07.01.02,12..5.2.3.27.02","Pengadaan Langsung",06-05-2015,20-05-2015,01-06-2015,30-06-2015
4051171,"pengadaan kotak obat P3K dan kelengkapannya",9000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS PERHUBUNGAN",2015,"pengadaan perlengkapan peralatan aparatur",Modal,Barang,"1 paket","kota bandung","pengadaan kotak obat P3K",APBD," 9000000","1.07.01.02,12..5.2.3.35.01","Pengadaan Langsung",06-05-2015,20-05-2015,01-06-2015,30-06-2015
4483702,"Pemeliharaan jaringan perangkat keras dan perangkat lunak",150000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS PERHUBUNGAN",2015,"Rehabilitasi pemeliharaan sarana alat pengujian kendaraan bermotor",Barang/jasa,"Jasa Lainnya","1 tahun","Kota Bandung","Pemeliharaan jaringan perangkat keras dan perangkat lunak",APBD," 150000000",1.07.1.07.01.16.01.5.2.2.20.06,"Pengadaan Langsung",16-09-2015,07-10-2015,07-10-2015,11-11-2015
4049091,"pengadaan personal komputer",163000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS PERHUBUNGAN",2015,"pengadaan perlengkapan peralatan aparatur",Modal,Barang,"1 paket","kota bandung","pengadaan personal komputer",APBD," 163000000","1.07.01.02,12..5.2.3.29.02","Pengadaan Langsung",06-05-2015,20-05-2015,01-06-2015,30-06-2015
4808188,"Pengadaan mobil Blind Van",230000000,e-Purchasing,APBD,"Pemerintah Daerah Kota Bandung","DINAS PERHUBUNGAN",2015,"Pengadaan Kendaraan dinas/operasional",Modal,Barang,"2 unit","Kota Bandung","Pengadaan mobil Blind Van",APBD," 230000000",1.07.1.07.01.01.02.05,E-Purchasing,09-11-2015,16-11-2015,16-11-2015,23-11-2015
2199663,"Belanja Modal Gedung dan Bangunan - Pengadaan Bangunan Gedung Tempat Kerja Lainnya",195000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS PERHUBUNGAN",2015,"Pembangunan Halte Bus, Taxi Gedung Terminal",Modal,Barang,"1 paket","Kota Bandung","belanja pengadaan dan pemasangan fasilitas pendukung shelter ",APBD," 195000000",1.07.1.07.1.18.02.5.2.3.49.27,"Pengadaan Langsung",04-01-2015,16-01-2015,16-01-2015,02-02-2015
4160510,"Outbond Sekertariat dan Bidang-Bidang",125000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS PERHUBUNGAN",2015,"Pendidikan dan Pelatihan Formal ",Barang/jasa,"Jasa Lainnya","1 kali","Kota Bandung","Outbond Sekertariat dan Bidang-Bidang",APBD," 125000000",1.07.1.07.01.05.01.5.2.2.17.01,"Pengadaan Langsung",25-05-2015,25-06-2015,25-06-2015,30-07-2015
2180498,"Pembangunan gedung kantor dinas",15000000000,"Lelang Umum",APBD,"Pemerintah Daerah Kota Bandung","DINAS PERHUBUNGAN",2015,"Pengadaan gedung kantor dinas",Modal,"Pekerjaan Konstruksi","1 paket","Kota Bandung","pembangunan gedung kantor dinas",APBD," 15000000000",1.07.1.07.01.02.03.5.2.3.49.01,"Lelang Umum",02-01-2015,23-01-2015,26-01-2015,22-06-2015
4549165,"Pengadaan kendaraan Derek",2004000000,e-Purchasing,APBD,"Pemerintah Daerah Kota Bandung","DINAS PERHUBUNGAN",2015,"Pengadaan kendaraan Dinas/operasional",Modal,Barang,"2 unit","Kota Bandung","Pengadaan kendaraan derek",APBD," 2004000000",1.07.1.07.01.01.02.05.5.2.3.17.04,E-Purchasing,28-09-2015,01-10-2015,01-10-2015,01-11-2015
4047960,"pengadaan TV",134000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS PERHUBUNGAN",2015,"Pengadaan perlengkapan peralatan aparatur",Modal,Barang,"1 paket","kota bandung","pengadaan TV",APBD," 134000000","1.07.01.02,12..5.2.3.27.05","Pengadaan Langsung",06-05-2015,20-05-2015,01-06-2015,30-06-2015
2194053,"Sticker ambang batas dan Surat keterangan nilai ambang batas",90000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS PERHUBUNGAN",2015,"Pelaksanaan Uji Petik Kendaraan Bermotor",Barang/jasa,Barang,"1 paket","Kota Bandung","Belanja Cetak",APBD," 90000000",1.07.1.07.1.20.03.5.2.2.06.01,"Pengadaan Langsung",03-01-2015,16-01-2015,16-01-2015,02-03-2015
2199667,"Belanja Modal Gedung dan Bangunan - Pengadaan Bangunan Gedung Tempat Kerja Lainnya",1350000000,"Lelang Umum",APBD,"Pemerintah Daerah Kota Bandung","DINAS PERHUBUNGAN",2015,"Pembangunan Halte Bus, Taxi Gedung Terminal",Modal,Barang,"1 paket","Kota Bandung","Pembangunan shelter TMB koridor 4",APBD," 1350000000",1.07.1.07.1.18.02.5.2.3.49.27,"Lelang Umum",04-01-2015,16-01-2015,16-01-2015,02-02-2015
4397819,"Perawatan dan pengoperasian bus TMB Koridor 3",1000000000,"Lelang Umum",APBD,"Pemerintah Daerah Kota Bandung","DINAS PERHUBUNGAN",2015,"Pengoperasian angkutan massal/bus line",Barang/jasa,"Jasa Lainnya","1 Koridor","Kota Bandung","Perawatan dan pengoperasian bus TMB Koridor 3",APBD," 1000000000",1.07.1.07.01.17.18.5.2.2.05.01,"Lelang Umum",19-08-2015,09-09-2015,09-09-2015,24-12-2015
2194161,"Belanja Cetak",1035000000,"Lelang Umum",APBD,"Pemerintah Daerah Kota Bandung","DINAS PERHUBUNGAN",2015,"Pengadaan Alat Pengujian Kendaraan Bermotor",Barang/jasa,Barang,"1 paket","Kota Bandung","Belanja Cetak Tanda Samping",APBD," 1035000000",1.07.1.07.1.20.02.5.2.2.06.01,"Lelang Umum",03-01-2015,16-01-2015,16-01-2015,02-02-2015
4657971,"pemeliharaan/pengembangan bangunan shelter TMB koridor 4",200000000,"Penunjukan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS PERHUBUNGAN",2015,"pembangunan halteu bus, taxi, gedung terminal",Barang/jasa,"Jasa Lainnya","1 tahun","kota bandung","pemeliharaan bangunan shelter TMB koridor 4",APBD," 200000000",1.07.1.07.01.17.18.5.2.2.20.05,"Penunjukan Langsung",19-10-2015,26-10-2015,26-10-2015,09-11-2015
2179463,"Pengadaan cetakan terminal",225000000,"Lelang Sederhana",APBD,"Pemerintah Daerah Kota Bandung","DINAS PERHUBUNGAN",2015,"Penyediaan barang cetakan dan penggandaan",Barang/jasa,Barang,"1 paket","Kota Bandung","Pengadaan cetakan terminal",APBD," 225000000",1.07.1.07.01.01.11.5.2.2.06.01,"Lelang Sederhana",02-02-2015,16-02-2015,16-02-2015,02-03-2015
2235174,"Belanja jasa konsultai perencanaan",50000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS PERHUBUNGAN",2015,"Pembangunan Halte Bus, Taxi Gedung Terminal",Barang/jasa,"Jasa Konsultansi","1 paket","Kota Bandung","konsultan perencana pemeliharaan bangunan halte/shelter",APBD," 50000000",1.07.1.07.1.18.02.5.2.2.21.02,"Pengadaan Langsung",06-01-2015,16-01-2015,16-01-2015,02-02-2015
4489758,"Rehabilitasi WC Terminal Leuwipanjang",180000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS PERHUBUNGAN",2015,"Rehabilitasi/pemeliharaan terminal/pelabuhan",Barang/jasa,"Pekerjaan Konstruksi","1 kali","Kota Bandung","Rehabilitasi WC Terminal Leuwipanjang",APBD," 180000000",1.07.1.07.01.16.04.5.2.2.20.05,"Pengadaan Langsung",16-09-2015,07-10-2015,07-10-2015,11-11-2015
4050809,"pengadaan wireless outdoor",150000000,"Pengadaan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS PERHUBUNGAN",2015,"pengadaan perlengkapan peralatan aparatur",Modal,Barang,"1 paket","kota bandung","pengadaan wireless outdoor",APBD," 150000000","1.07.01.02,12..5.2.3.32.03","Pengadaan Langsung",06-05-2015,20-05-2015,01-06-2015,30-06-2015
2180757,"Pengadaan sepeda motor besar 1200 cc",1800000000,"Penunjukan Langsung",APBD,"Pemerintah Daerah Kota Bandung","DINAS PERHUBUNGAN",2015,"Pengadaan kendaraan dinas operasional",Modal,Barang,"1 paket","Kota Bandung","Pengadaan sepeda motor besar 1200 cc",APBD," 1800000000",1.07.1.07.02.05..5.2.3.17.05,"Penunjukan Langsung",02-02-2015,16-02-2015,16-02-2015,02-03-2015
