KODE REKENING,URAIAN, JUMLAH 
1.20 . 1.20.08 . 00 . 00 . 4,PENDAPATAN,2186416770000
1.20 . 1.20.08 . 00 . 00 . 4 . 1,PENDAPATAN ASLI DAERAH,2186416770000
1.20 . 1.20.08 . 00 . 00 . 4 . 1 . 1,Pajak Daerah,2186416770000
1.20 . 1.20.08 . 00 . 00 . 5,BELANJA,133141781898
1.20 . 1.20.08 . 00 . 00 . 5 . 1,BELANJA TIDAK LANGSUNG,103552308472
1.20 . 1.20.08 . 00 . 00 . 5 . 1 . 1,Belanja Pegawai,103552308472
1.20 . 1.20.08 . 01 . 02 . 5 . 2,BELANJA LANGSUNG,29589473426
1.20 . 1.20.08 . 01,Program Pelayanan Administrasi Perkantoran,10156317426
1.20 . 1.20.08 . 01 . 02,Penyediaan jasa komunikas sumber daya air dan listrik,250000000
1.20 . 1.20.08 . 01 . 02 . 5 . 2 . 2,Belanja Barang dan Jasa,250000000
1.20 . 1.20.08 . 01 . 03,Penyediaan jasa peralatan dan perlengkapan kantor,89000000
1.20 . 1.20.08 . 01 . 03 . 5 . 2 . 1,Belanja Pegawai,4000000
1.20 . 1.20.08 . 01 . 03 . 5 . 2 . 2,Belanja Barang dan Jasa,85000000
1.20 . 1.20.08 . 01 . 06,Penyediaan jasa pemeliharaan dan perizinan kendaraan dinas/operasional,2409200000
1.20 . 1.20.08 . 01 . 06 . 5 . 2 . 1,Belanja Pegawai,34600000
1.20 . 1.20.08 . 01 . 06 . 5 . 2 . 2,Belanja Barang dan Jasa,2374600000
1.20 . 1.20.08 . 01 . 08,Penyediaan jasa kebersihan kantor,775000000
1.20 . 1.20.08 . 01 . 08 . 5 . 2 . 1,Belanja Pegawai,9250000
1.20 . 1.20.08 . 01 . 08 . 5 . 2 . 2,Belanja Barang dan Jasa,765750000
1.20 . 1.20.08 . 01 . 10,Penyediaan alat tulis kantor,200000000
1.20 . 1.20.08 . 01 . 10 . 5 . 2 . 1,Belanja Pegawai,1800000
1.20 . 1.20.08 . 01 . 10 . 5 . 2 . 2,Belanja Barang dan Jasa,198200000
1.20 . 1.20.08 . 01 . 11,Penyediaan barang cetakan dan penggandaan,210000000
1.20 . 1.20.08 . 01 . 11 . 5 . 2 . 1,Belanja Pegawai,1800000
1.20 . 1.20.08 . 01 . 11 . 5 . 2 . 2,Belanja Barang dan Jasa,208200000
1.20 . 1.20.08 . 01 . 12,Penyediaan komponen instalasi listrik/penerangan bangunan kantor,127900000
1.20 . 1.20.08 . 01 . 12 . 5 . 2 . 1,Belanja Pegawai,2900000
1.20 . 1.20.08 . 01 . 12 . 5 . 2 . 2,Belanja Barang dan Jasa,125000000
1.20 . 1.20.08 . 01 . 13,Penyediaan peralatan dan perlengkapan kantor,4825497426
1.20 . 1.20.08 . 01 . 13 . 5 . 2 . 3,Belanja Modal,4825497426
1.20 . 1.20.08 . 01 . 14,Penyediaan peralatan rumah tangga,252400000
1.20 . 1.20.08 . 01 . 14 . 5 . 2 . 1,Belanja Pegawai,4400000
1.20 . 1.20.08 . 01 . 14 . 5 . 2 . 2,Belanja Barang dan Jasa,198000000
1.20 . 1.20.08 . 01 . 14 . 5 . 2 . 3,Belanja Modal,50000000
1.20 . 1.20.08 . 01 . 15,Penyediaan bahan bacaan dan peraturan perundang-undangan,182000000
