NO, LAPORAN, JUMLAH PENYAPU, JUMLAH HARI KERJA (HARI), JUMLAH KANTONG (TRASHBAG) , JUMLAH SAMPAH (liter), JUMLAH SAMPAH (M³), JUMLAH SAMPAH (Ton)
1, LAPORAN BULAN 1 (2 FEB - 22 MAR),81,36,8.347,333.88,83.47,
2, LAPORAN BULAN 2 (23 MAR - 22 APR),77,28,7.184,287.36,287.36,71.84
3, LAPORAN BULAN 3 (23 APR - 22 MEI),81,25,6.198,247.92,247.92,61.98
4, LAPORAN BULAN 4 (23 MEI - 22 JUN),81,27,7.03,281.2,281.02,70.03
5, LAPORAN BULAN 5 (23 JUN - 22 JUL),81,25,6.28,251.2,251.02,62.08
6, LAPORAN BULAN 6 (23 JUL - 22 AUG),81,28,8.231,329.24,329.24,82.31
7, LAPORAN BULAN 7 (23 AUG - 22 SEP),81,29,8.562,342.48,342.48,85.62
8, LAPORAN BULAN 8 (23 SEP - 22 OCT),81,27,7.177,287.08,287.08,71.77
9, LAPORAN BULAN 9 (23 OCT - 22 NOV),81,31,6.739,269.56,67.39,
10, LAPORAN BULAN 10 (23 NOV - 22 DES),81,27,5.111,204.44,204.44,51.11
11, LAPORAN BULAN 11 (23 DES - 21 JAN 2016),81,31,5.979,239.16,59.79,
12, LAPORAN BULAN 12 (22 JAN 2016 - 21 FEB 2016),81,31,6.288,251.52,251.52,62.88
