komoditi,unit,sumbangan_thd_total_konsumsi
Beras lokal,Kg,7.25
Tepung terigu,Kg,0.1
Ketela pohon,Kg,0.22
Ikan tongkol/tuna/cakalan,Kg,0.5
Ikan teri,Ons,0.32
Daging sapi,Kg,0.78
Daging ayam kampung,Kg,0.65
Telur ayam,Butir,1.48
Susu kental manis,397 gram,0.48
Bayam,Kg,0.3
Kacang panjang,Kg,0.32
Kacang tanah,Kg,0.22
Tempe,Kg,0.79
Jeruk,Kg,0.39
Pepaya,Kg,0.18
Kelapa,Butir,0.56
Gula pasir,Ons,1.61
Kopi bubuk,Ons,0.6
Garam,Ons,0.15
Merica/lada,Ons,0.13
Mie instant,80 gram,0.79
Rokok kretek filter,10 batang,2.86
Listrik,Kwh,2.06
Air minum,m3,0.46
Bensin,Liter,1.02
Minyak tanah,Liter,1.74
Sewa rumah,Unit,11.56
