lokasi,nama_komoditas,2015-11-01,2015-11-02,2015-11-03,2015-11-04,2015-11-05,2015-11-06,2015-11-07,2015-11-08,2015-11-09,2015-11-10,2015-11-11,2015-11-12,2015-11-13,2015-11-14,2015-11-15,2015-11-16,2015-11-17,2015-11-18,2015-11-19,2015-11-20,2015-11-21,2015-11-22,2015-11-23,2015-11-24,2015-11-25,2015-11-26,2015-11-27,2015-11-28,2015-11-29,2015-11-30
"Pasar Kiaracondong","Beras Medium",0,10000,10000,10000,10000,10000,0,0,10000,10000,10000,10000,10000,0,0,10000,10000,10000,10000,10000,0,0,10000,10000,10000,10000,10000,0,0,10000
"Pasar Kiaracondong","Cabe Merah",0,14000,14000,12000,12000,12000,0,0,14000,14,14000,14000,14000,0,0,15000,15000,15000,15000,15000,0,0,25000,30000,30000,30000,30000,0,0,30000
"Pasar Kiaracondong","Bawang Merah",0,18000,18000,16000,16000,16000,0,0,16000,16000,16000,20000,20000,0,0,20000,20000,20000,20000,20000,0,0,20000,20000,20000,20000,20000,0,0,18000
"Pasar Kiaracondong","Daging Ayam Ras",0,33000,33000,32000,32000,32000,0,0,33000,0,33000,32500,32500,0,0,32500,32500,32500,32500,32500,0,0,32500,32500,32500,32500,32500,0,0,33000
"Pasar Kiaracondong","Telur Ayam Ras",0,18500,18500,18500,18500,18500,0,0,18500,18500,18500,18500,18500,0,0,20000,20000,20000,20000,20000,0,0,21000,22000,22000,22000,22000,0,0,22000
"Pasar Kiaracondong","Daging Sapi",0,110000,110000,110000,110000,110000,0,0,110000,110000,110000,110000,110000,0,0,110000,110000,110000,110000,110000,0,0,110000,110000,110000,110000,110000,0,0,110000
"Pasar Kiaracondong","Minyak Goreng",0,14000,14000,14000,14000,14000,0,0,14000,14000,14000,14000,14000,0,0,14000,14000,14000,14000,14000,0,0,14000,14000,14000,14000,14000,0,0,14000
"Pasar Kiaracondong","Gula Pasir",0,12500,12500,12500,12500,12500,0,0,12500,12500,12500,12500,12500,0,0,12500,12500,12500,12500,12500,0,0,12500,12500,12500,12500,12500,0,0,12500
"Pasar Kiaracondong",Kentang,0,10000,10000,10000,10000,10000,0,0,10000,10000,10000,10000,10000,0,0,10000,10000,10000,10000,10000,0,0,10000,10000,10000,10000,10000,0,0,10000
"Pasar Kiaracondong",Kedelai,0,0,0,11000,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,11000,11000,11000,11000,0,0,10000
"Pasar Kiaracondong","Tepung Terigu",0,7000,7000,7000,7000,7000,0,0,7000,7000,7000,7000,7000,0,0,7000,7000,7000,7000,7000,0,0,0,7000,7000,7000,7000,0,0,7000
"Pasar Kiaracondong","Bawang Putih",0,22000,22000,22000,22000,22000,0,0,22000,22000,22000,22000,22000,0,0,23000,23000,23000,23000,23000,0,0,23000,22000,22000,22000,22000,0,0,22000
"Pasar Kiaracondong","Cabe Keriting",0,15000,15000,15000,15000,15000,0,0,15000,15000,15000,15000,0,0,0,18000,18000,18000,18000,0,0,0,20000,25000,25000,25000,25000,0,0,35000
"Pasar Kiaracondong","Cabe Rawit",0,20000,20000,0,20000,20000,0,0,20000,20000,20000,20000,20000,0,0,20000,20000,20000,20000,20000,0,0,30000,25000,25000,25000,25000,0,0,30000
"Pasar Kiaracondong","Kacang Tanah",0,28000,28000,28000,28000,28000,0,0,28000,28000,28000,28000,28000,0,0,28000,28000,28000,28000,28000,0,0,28000,26000,26000,26000,26000,0,0,26000
"Pasar Kiaracondong","Ubi Kayu",0,5000,5000,5000,5000,0,0,0,5000,5000,5000,5000,5000,0,0,5000,5000,5000,5000,5000,0,0,5000,5000,5000,5000,5000,0,0,5000
"Pasar Kiaracondong","Ubi Jalar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Kiaracondong",Jagung,0,8000,8000,8000,8000,8000,0,0,8000,8000,8000,8000,8000,0,0,8000,8000,8000,8000,8000,0,0,8000,8000,8000,8000,8000,0,0,8000
"Pasar Kiaracondong","Ikan Olahan",0,50000,50000,50000,50000,50000,0,0,50000,50000,50000,50000,50000,0,0,50000,50000,50000,50000,50000,0,0,50000,50000,50000,50000,50000,0,0,50000
"Pasar Kiaracondong","Beras Premium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Kiaracondong","Minyak Goreng Curah",0,10000,10000,10000,10000,10000,0,0,0,0,10000,10000,10000,0,0,10000,10000,10000,10000,10000,0,0,10000,10000,10000,10000,10000,0,0,9500
"Pasar Kiaracondong","Daging Ayam Kampung",0,65000,65000,65000,65000,65000,0,0,65000,65000,65000,65000,65000,0,0,0,65000,65000,65000,65000,0,0,65000,65000,65000,65000,65000,0,0,65000
"Pasar Kiaracondong","Telur Ayam Kampung",0,45000,45000,45000,45000,45000,0,0,45000,45000,45000,45000,45000,0,0,45000,45000,45000,45000,45000,0,0,45000,45000,45000,45000,45000,0,0,45000
"Pasar Kiaracondong","Susu Kental Manis Merk Bendera",0,10000,10000,10000,10000,10000,0,0,10000,10000,10000,10000,10000,0,0,10000,10000,10000,10000,10000,0,0,10000,0,10000,10000,10000,0,0,10000
"Pasar Kiaracondong","Susu Kental Manis Merk Indomilk",0,9000,9000,9000,9000,9000,0,0,9000,0,9000,9000,9000,0,0,9000,9000,9000,9000,9000,0,0,9000,9000,9000,9000,9000,0,0,9000
"Pasar Kiaracondong","Garam Beryodium Bata",0,1000,1000,1000,1000,1000,0,0,1000,1000,1000,1000,1000,0,0,1000,1000,1000,1000,1000,0,0,1000,1000,1000,1000,1000,0,0,1000
"Pasar Kiaracondong","Garam Beryodium Halus",0,3300,3300,3300,3300,3300,0,0,3300,3300,3300,3300,3300,0,0,3300,3300,3300,0,3300,0,0,3300,3300,3300,3300,3300,0,0,3300
"Pasar Kiaracondong","Tepung Terigu Cakra Kembar",0,8000,8000,8000,8000,8000,0,0,8000,8000,8000,8000,8000,0,0,8000,0,8000,8000,8000,0,0,8000,8000,8000,8000,8000,0,0,8000
"Pasar Kiaracondong","Tepung Terigu Kunci",0,7500,7500,7500,7500,7500,0,0,7500,7500,7500,7500,7500,0,0,7500,7500,0,7500,7500,0,0,7500,7500,7500,7500,7500,0,0,7500
"Pasar Kiaracondong","Mie Instan",0,2500,2500,2500,2500,2500,0,0,2500,2500,25000,25000,25000,0,0,2500,2500,2500,2500,2500,0,0,2500,2500,2500,0,2500,0,0,2500
"Pasar Kiaracondong","Cabe Rawit Hijau",0,20000,20000,15000,15000,15000,0,0,20000,20000,20000,20000,20000,0,0,20000,20000,20000,20000,20000,0,0,25000,25000,25000,25000,0,0,0,0
"Pasar Kiaracondong","Kacang Hijau",0,24000,24000,24000,24000,24000,0,0,24000,24000,24000,24000,24000,0,0,24000,24000,24000,24000,24000,0,0,24000,24000,24000,24000,24000,0,0,24000
"Pasar Kiaracondong","Susu Bubuk Dancow",0,38300,38300,38300,38300,38300,0,0,38300,38300,38300,38300,38300,0,0,38300,38300,38300,38300,38300,0,0,38300,38300,38300,38300,38300,0,0,38300
"Pasar Kiaracondong","Susu Bubuk Indomilk",0,34950,34950,34950,34950,34950,0,0,34950,34950,34950,34950,34950,0,0,34950,34950,34950,34950,34950,0,0,34950,34950,34950,34950,34950,0,0,34950
"Pasar Kiaracondong","Ikan Kembung",0,35000,35000,35000,35000,35000,0,0,35000,35000,35000,35000,35000,0,0,35000,35000,35000,35000,35000,0,0,35000,35000,35000,35000,35000,0,0,35000
