NO,NAMA KOPERASI,ALAMAT
1,Kopeg Wyata Guna,Jl. Pajajaran no 52 Kel Pasirkaliki
2,Harapan Makmur,Jl. Pajajaran no 30 Kel Pasirkaliki
3,Chincona,Jl. Pajajaran no 42 Kel Pasirkaliki
4,Pensiunan Wredakarya,Jl. Pajajaran 42 Kel Pasirkaliki
5,Karya Pertiwi,Gg Kina RW. 04 Kel Pasirkaliki
6,PPPG Tertulis,Jl. Dr. Cipto no.9 Kel Pasirkaliki
7,Perum Damri,Jl. Kb. Kawung 20 Kel Pasirkaliki
8,Sauyunan,Jl. H.Mesri 5 Kel Pasirkaliki
9,Pelita KAI,Jl. Kb. Kawung 43 Kel Pasirkaliki
10,Asri Sejahtera,Jl. Terasana 98 Kel Pasirkaliki
11,Mekarwangi,Gg. Yakin RT. 05/05 Kel. Pasirkaliki
12,Pemberdayaan Perempuan Paskal Sejahtera,Jl. Moh. Yunus V No.119 Kel Pasirkaliki
13,Anggrek Mandiri,Jl. Dumah no.7 Kel Pasirkaliki
14,Kopwa SLBN A,Jl. Pajajaran 50 Kel Pasirkaliki
15,Arjuna mandiri,Jl. Industri 332 RT 01/07 Kel Arjuna
16,Sumber Rejeki,Pasar teknik RW. 08 Kel. Arjuna
17,Sejahtera,Jl. Kesatriaan no.12 Kel. Arjuna
18,Kopeg SMAN 6,Jl. Pasirkaliki 51 Kel. Arjuna
19,Mandiri,Kel. Husein Sn
20,Wargi Jati,Jl. Jatayu III RT.01/09 kel Husein Sn
21,Persatuan Pedagang,Jl. Industri Barat RT. 02/04 Kel. Husein
22,Primkopabri,Jl. Cipedes Hilir Rt. 03/04 Kel. Pajajaran
23,Mekar sembilan,Jl. Citepus I Rt. 01/03 Kel. Pajajaran
24,Hotel Topaz,Rw. 01 Kel. Pajajaran
25,Makmur sentosa,RT. 01/02 Kel. Pajajaran
26,Pasar Pamoyanan,Kel. pamoyanan
27,Mitra sejahtera SMKN 12,SMKN 12 Kel. Pamoyanan
28,Kel. Besar Dispenda,Jl. Pajajaran 88 Kel Pamoyanan
29,Al Barokah,Jl. Bbk Cianjur Rt.11/02 Kel. Sukaraja
30,Rantai,Jl. Karya IV No. 90 Kel Sukaraja
31,Karya Mandiri,Jl. Karya No. 11 Kel. Sukaraja
32,Warga karya,Gg. Karya I RT. 03/01 Kel. Sukaraja
33,Ikhwan Sejahtera,Jl. Bbk. Cianjur Rt. 01/02 Kel. Sukaraja
34,Budhi Mekar,Jl. Budhi Rt. 02/03 Kel. Sukaraja
35,Seroja,Gg. H. Kosim Rt. 03/04 Kel. Sukaraja
36,Al Hikmah,Jl. Sukaraja RT. 02/06 Kel. Sukaraja
37,Mandiri,Jl. Rd. Ganda RT. 03/10 Kel Sukaraja
38,Kesejahteraan umat,Kel. Sukaraja
39,SMKN 11,Jl. Budhi RT. 01/04 Kel. Sukaraja
40,Amanah,Jl. Sukaraja RT. 02/06 Kel. Sukaraja
41,Parama Dharma,Jl. Sukaraja RT.04/06 Kel. Sukaraja
42,Kowana,Jl. Budhi RT. 01/03 Kel. Sukaraja
