id,nama_paket,pagu,metode_pemilihan,sumber_dana,instansi,skpd,tahun_anggaran,volume,lokasi,deskripsi,sumber_dana_detail,pagu_detail,mata_anggaran,awal_pekerjaan,akhir_pekerjaan
3447618,"DINAS KOMUNIKASI DAN INFORMATIKA","Pembinaan dan Pengembangan Jaringan Komunikasi dan Informasi",1005000000,APBD,"Pemerintah Daerah Kota Bandung","DINAS KOMUNIKASI DAN INFORMATIKA",2015,"1 Tahun","Dinas Komunikasi dan Informatika Kota Bandung","Pembinaan dan Pengembangan Jaringan Komunikasi dan Informasi",APBD," 1005000000",1.25.1.25.01.15.02,03-03-2015,25-12-2015
3599873,"DINAS KOMUNIKASI DAN INFORMATIKA","Penyebarluasan informasi pembangunan daerah",3019000000,APBD,"Pemerintah Daerah Kota Bandung","DINAS KOMUNIKASI DAN INFORMATIKA",2015,"1 Tahun","Dinas Komunikasi dan Informatika Kota Bandung","Penyebarluasan informasi pembangunan daerah",APBD," 3019000000",1.25.1.25.01.18.01,11-03-2015,31-12-2016
3447228,"DINAS KOMUNIKASI DAN INFORMATIKA","Penyusunan Profil Dinas",18550000,APBD,"Pemerintah Daerah Kota Bandung","DINAS KOMUNIKASI DAN INFORMATIKA",2015,"1 Tahun","Dinas Komunikasi dan Informatika Kota Bandung","Penyusunan Profil Dinas",APBD," 18550000",1.25.1.25.01.06.05,03-03-2015,25-12-2015
3459856,"DINAS KOMUNIKASI DAN INFORMATIKA","Pengadaan alat studio dan komunikasi",70000000,APBD,"Pemerintah Daerah Kota Bandung","DINAS KOMUNIKASI DAN INFORMATIKA",2015,"1 Tahun","Dinas Komunikasi dan Informatika Kota Bandung","Pengadaan alat studio dan komunikasi",APBD," 70000000",1.25.1.25.01.15.05,03-03-2015,31-12-2016
3447150,"DINAS KOMUNIKASI DAN INFORMATIKA","penyusunan pelaporan keuangan akhir tahun",18550000,APBD,"Pemerintah Daerah Kota Bandung","DINAS KOMUNIKASI DAN INFORMATIKA",2015,"1 Tahun","Dinas Komunikasi dan Informatika Kota Bandung","penyusunan pelaporan keuangan akhir tahun",APBD," 18550000",1.25.1.25.01.06.04,03-03-2015,25-12-2015
3601401,"DINAS KOMUNIKASI DAN INFORMATIKA","Penyebarluasan informasi penyelenggaraan pemerintah daerah",2322000000,APBD,"Pemerintah Daerah Kota Bandung","DINAS KOMUNIKASI DAN INFORMATIKA",2015,"1 tahun","Dinas Komunikasi dan Informatika Kota Bandung","Penyebarluasan informasi penyelenggaraan pemerintah daerah",APBD," 2322000000",1.25.1.25.01.18.02,11-03-2015,31-12-2016
3426767,"DINAS KOMUNIKASI DAN INFORMATIKA","Penyediaan bahan bacaan dan peraturan perundang undangan",264000000,APBD,"Pemerintah Daerah Kota Bandung","DINAS KOMUNIKASI DAN INFORMATIKA",2015,"1 Tahun","Dinas Komunikasi dan Informatika Bandung","Penyediaan bahan bacaan dan peraturan perundang undangan",APBD," 264000000",1.25.1.25.01.01.15,02-03-2015,31-12-2016
3434422,"DINAS KOMUNIKASI DAN INFORMATIKA","Penyediaan makanan dan minuman",200000000,APBD,"Pemerintah Daerah Kota Bandung","DINAS KOMUNIKASI DAN INFORMATIKA",2015,"1 Tahun","Dinas Komunikasi dan Informatika Kota Bandung","Penyediaan makanan dan minuman",APBD," 200000000",1.25.1.25.01.01.17,02-03-2015,31-12-2016
3601470,"DINAS KOMUNIKASI DAN INFORMATIKA","Penyebarluasan informasi yang bersifat penyuluhan bagi masyarakat",1038850000,APBD,"Pemerintah Daerah Kota Bandung","DINAS KOMUNIKASI DAN INFORMATIKA",2015,"1 tahun","Dinas Komunikasi dan Informatika Kota Bandung","Penyebarluasan informasi yang bersifat penyuluhan bagi masyarakat",APBD," 1038850000",1.25.1.25.01.18.03,11-03-2015,31-12-2016
3453147,"DINAS KOMUNIKASI DAN INFORMATIKA","Pembinaan dan pengembangan sumber daya komunikasi dan informasi",1374287040,APBD,"Pemerintah Daerah Kota Bandung","DINAS KOMUNIKASI DAN INFORMATIKA",2015,"1 Tahun","Dinas Komunikasi dan Informatika Kota Bandung","Pembinaan dan pengembangan sumber daya komunikasi dan informasi",APBD," 1374287040",1.25.1.25.01.15.03,03-03-2015,25-12-2015
3425066,"DINAS KOMUNIKASI DAN INFORMATIKA","Penyediaan jasa komunikasi, sumber daya air dan listrik",31000000,APBD,"Pemerintah Daerah Kota Bandung","DINAS KOMUNIKASI DAN INFORMATIKA",2015,"1 Tahun","Dinas Komunikasi dan Informatika","Penyediaan jasa komunikasi, sumber daya air dan listrik",APBD," 31000000",1.25.1.25.01.01.02,02-03-2015,31-12-2016
3434814,"DINAS KOMUNIKASI DAN INFORMATIKA","Penyediaan Jasa Tenaga Pendukung Administrasi Perkantoran/Teknis Perkantoran",273000000,APBD,"Pemerintah Daerah Kota Bandung","DINAS KOMUNIKASI DAN INFORMATIKA",2015,"1 Tahun","Dinas Komunikasi dan Informatika Kota Bandung","Penyediaan Jasa Tenaga Pendukung Administrasi Perkantoran/Teknis Perkantoran",APBD," 273000000",1.25.1.25.01.01.19,02-03-2015,31-12-2016
3425475,"DINAS KOMUNIKASI DAN INFORMATIKA","Penyediaan jasa pemeliharaan dan perizinan kendaraan dinas/operasional",25000000,APBD,"Pemerintah Daerah Kota Bandung","DINAS KOMUNIKASI DAN INFORMATIKA",2015,"1 Tahun","Dinas Komunikasi dan Informatika Kota Bandung","Penyediaan jasa pemeliharaan dan perizinan kendaraan dinas/operasional",APBD," 25000000",1.25.1.25.01.01.06,02-03-2015,25-12-2015
3465950,"DINAS KOMUNIKASI DAN INFORMATIKA","Perencanaan dan pengembangan kebijakan komunikasi dan informasi",360650000,APBD,"Pemerintah Daerah Kota Bandung","DINAS KOMUNIKASI DAN INFORMATIKA",2015,"1 Tahun","Dinas Komunikasi dan Informatika Kota Bandung","Perencanaan dan pengembangan kebijakan komunikasi dan informasi",APBD," 360650000",1.25.1.25.01.15.07,03-03-2015,31-12-2016
3425574,"DINAS KOMUNIKASI DAN INFORMATIKA","Penyediaan alat tulis kantor",189635462,APBD,"Pemerintah Daerah Kota Bandung","DINAS KOMUNIKASI DAN INFORMATIKA",2015,"1 Tahun","Dinas Komunikasi dan Informatika Kota Bandung","Penyediaan alat tulis kantor",APBD," 189635462",1.25.1.25.01.01.10,02-03-2015,25-12-2015
3446705,"DINAS KOMUNIKASI DAN INFORMATIKA","Penyusunan pelaporan keuangan semesteran",18550000,APBD,"Pemerintah Daerah Kota Bandung","DINAS KOMUNIKASI DAN INFORMATIKA",2015,"1 Tahun","Dinas Komunikasi dan Informatika Kota Bandung","Penyusunan pelaporan keuangan semesteran",APBD," 18550000",1.25.1.25.01.06.02,03-03-2015,25-12-2015
3446241,"DINAS KOMUNIKASI DAN INFORMATIKA","Bimbingan teknis implementasi peraturan perundang undangan",178950000,APBD,"Pemerintah Daerah Kota Bandung","DINAS KOMUNIKASI DAN INFORMATIKA",2015,"1 Tahun","Dinas Komunikasi dan Informatika Kota Bandung","Bimbingan teknis implementasi peraturan perundang undangan",APBD," 178950000",1.25.1.25.01.05.03.5.2.2.17.03,03-03-2015,30-12-2016
3599304,"DINAS KOMUNIKASI DAN INFORMATIKA","Pengelolaan Bandung Command Center",1392450000,APBD,"Pemerintah Daerah Kota Bandung","DINAS KOMUNIKASI DAN INFORMATIKA",2015,"1 Tahun","Dinas Komunikasi dan Informatika Kota Bandung","Pengelolaan Bandung Command Center",APBD," 1392450000",1.25.1.25.01.15.09,11-03-2015,31-12-2016
3446405,"DINAS KOMUNIKASI DAN INFORMATIKA","Penyusunan laporan capaian kinerja dan ikhtisar realisasi kinerja SKPD",18550000,APBD,"Pemerintah Daerah Kota Bandung","DINAS KOMUNIKASI DAN INFORMATIKA",2015,"1 Tahun","Dinas Komunikasi dan Informatika Kota Bandung","Penyusunan laporan capaian kinerja dan ikhtisar realisasi kinerja SKPD",APBD," 18550000",1.25.1.25.01.06.01,03-03-2015,25-12-2015
3434702,"DINAS KOMUNIKASI DAN INFORMATIKA","Rapat rapat koordinasi dan konsultasi ke luar daerah",492500000,APBD,"Pemerintah Daerah Kota Bandung","DINAS KOMUNIKASI DAN INFORMATIKA",2015,"1 Tahun","Dinas Komunikasi dan Informatika Kota Bandung","Rapat rapat koordinasi dan konsultasi ke luar daerah",APBD," 492500000",1.25.1.25.01.01.18,02-03-2015,31-12-2016
3461648,"DINAS KOMUNIKASI DAN INFORMATIKA","Pengkajian dan pengembangan sistem informasi",6024225000,APBD,"Pemerintah Daerah Kota Bandung","DINAS KOMUNIKASI DAN INFORMATIKA",2015,"1 Tahun","Dinas Komunikasi dan Informatika Kota Bandung","Pengkajian dan pengembangan sistem informasi",APBD," 6024225000",1.25.1.25.01.15.06,03-03-2015,31-12-2016
3599651,"DINAS KOMUNIKASI DAN INFORMATIKA","Pelatihan SDM dalam bidang komunikasi dan informasi",1334100000,APBD,"Pemerintah Daerah Kota Bandung","DINAS KOMUNIKASI DAN INFORMATIKA",2015,"1 Tahun","Dinas Komunikasi dan Informatika Kota Bandung","Pelatihan SDM dalam bidang komunikasi dan informasi",APBD," 1334100000",1.25.1.25.01.17.01,11-03-2015,31-12-2016
