lokasi,nama_komoditas,2016-06-03,2016-06-10,2016-06-17,2016-06-24,2016-06-01,2016-06-02,2016-06-06,2016-06-09,2016-06-13,2016-06-14,2016-06-15,2016-06-16,2016-06-20,2016-06-21,2016-06-22,2016-06-23,2016-06-27,2016-06-28,2016-06-29,2016-06-30,,
Pasar Andir,Beras Medium,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,10000,,
Pasar Andir,Cabe Merah,45000,55000,55000,55000,25000,45000,55000,55000,55000,55000,55000,55000,46000,46000,46000,46000,55000,55000,55000,55000,,
Pasar Andir,Bawang Merah,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,,
Pasar Andir,Daging Ayam Ras,35000,35000,35000,33000,33000,35000,35000,35000,35000,35000,35000,35000,33000,33000,33000,33000,33000,0,35000,35000,,
Pasar Andir,Telur Ayam Ras,23000,23000,23000,0,23000,23000,23000,23000,23000,23000,23000,23000,20000,20000,20000,20000,20000,2100,2100,2100,,
Pasar Andir,Daging Sapi,120000,115000,115000,115000,115000,115000,125000,115000,115000,115000,115000,115000,115000,115000,115000,115000,0,115000,115000,115000,,
Pasar Andir,Minyak Goreng,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,,
Pasar Andir,Gula Pasir,15000,15000,15000,16000,15000,15000,15000,15000,15000,15000,15000,15000,16000,16000,16000,16000,16000,16000,16000,0,,
Pasar Andir,Kentang,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,16000,16000,16000,,
Pasar Andir,Kedelai,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,,
Pasar Andir,Tepung Terigu,0,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,,
Pasar Andir,Bawang Putih,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,,
Pasar Andir,Cabe Keriting,30000,25000,25000,25000,24000,30000,25000,25000,25000,25000,25000,25000,18000,18000,18000,18000,0,30000,30000,30000,,
Pasar Andir,Cabe Rawit,30000,35000,35000,35000,30000,30000,35000,35000,35000,35000,35000,35000,28000,28000,28000,28000,35000,35000,35000,35000,,
Pasar Andir,Kacang Tanah,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,0,28000,28000,,
Pasar Andir,Ubi Kayu,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,,
Pasar Andir,Ubi Jalar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Pasar Andir,Jagung,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,,
Pasar Andir,Ikan Olahan,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,0,60000,60000,60000,,
Pasar Andir,Beras Premium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Pasar Andir,Minyak Goreng Curah,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,,
Pasar Andir,Daging Ayam Kampung,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,,
Pasar Andir,Telur Ayam Kampung,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,,
Pasar Andir,Susu Kental Manis Merk Bendera,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,,
Pasar Andir,Susu Kental Manis Merk Indomilk,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,,
Pasar Andir,Garam Beryodium Bata,1000,1000,1000,1000,3000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,10000,1000,1000,1000,,
Pasar Andir,Garam Beryodium Halus,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,,
Pasar Andir,Tepung Terigu Cakra Kembar,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,0,7500,,
Pasar Andir,Tepung Terigu Kunci,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,,
Pasar Andir,Mie Instan,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,,
Pasar Andir,Cabe Rawit Hijau,25000,25000,25000,25000,13000,25000,25000,25000,25000,25000,25000,25000,35000,35000,35000,35000,25000,0,25000,25000,,
Pasar Andir,Kacang Hijau,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,2100,2100,2100,,
Pasar Andir,Susu Bubuk Dancow,35000,35000,35000,0,35000,35000,35000,35000,35000,35000,35000,35000,35000,35000,0,35000,35000,35000,35000,35000,,
Pasar Andir,Susu Bubuk Indomilk,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,,
Pasar Andir,Ikan Kembung,30000,30000,32000,32000,30000,30000,30000,30000,30000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,,
