NO,NAMA MESJID,TAHUN DIDIRIKAN,DAYA TAMPUNG JAMAAH,STATUS TANAH,ALAMAT,RT,RW,KELURAHAN,KET
1,AL MUAWANAH,1976,200,HGP/PNKA,JL. HALTEU UTARA NO. 31,02,01,DUNGUSCARIANG,
2,AT TAWAKAL,1947,200,HIBAH,JL. HALTEU UTARA I ,01,02,DUNGUSCARIANG,
3,AT TAUBAH,1961,150,WAKAF,JL. HALTEU UTARA,04,02,DUNGUSCARIANG,
4,AL HIDAYAH,1968,250,SEWA,JL. HALTEU UTARA XI NO. 7,10,02,DUNGUSCARIANG,
5,MIFTAHUL JANNAH,1982,200,WAKAF,JL. HALTEU SELATAN,07,03,DUNGUSCARIANG,
6,AL- HIKMAH,1970,,HAK MILIK,,01,03,DUNGUSCARIANG,
7,AN NUR,1960,60,WAKAF,JL. DUNGUSCARIANG,07,04,DUNGUSCARIANG,
9,AL IHSAN,1962,60,WAKAF,JL. DUNGUSCARIANG,05,05,DUNGUSCARIANG,
10,ASH SHOFA,2010,100,KELUARGA RA. BARNAS,GG. BP. UKID,01,05,DUNGUSCARIANG,
11,AL MUWAFAQOH,1960,200,WAKAF,GG. RA. BARNAS II,02,06,DUNGUSCARIANG,
12,AL HIQMAH,1953,60,HAK MILIK,GG. RA. BARNAS I,05,06,DUNGUSCARIANG,
13,NURUL HIKMAH,1960,200,WAKAF,DUNGUSCARIANG,06,07,DUNGUSCARIANG,
14,BANI YUSUF,1995,30,WAKAF,DUNGUSCARIANG,08,07,DUNGUSCARIANG,
15,FATHUL KHOER,1993,100,WAKAF,DUNGUSCARIANG,04,07,DUNGUSCARIANG,
16,AN NAJAAH,1964,250,WAKAF,JL. ANDIR GG. MESJID,06,08,DUNGUSCARIANG,
17,GHONIYYURAHMAN,1972,200,WAKAF,JL. ANDIR GG. MESJID,05,08,DUNGUSCARIANG,
18,UKHROWIYAH,1960,150,WAKAF,JL. ANDIR,,08,DUNGUSCARIANG,
19,AL QOHHAR,1987,200,WAKAF,JL. CIROYOM GG. SAWO I,02,10,DUNGUSCARIANG,
20,AL IKHLAS,1970,500,HAK MILIK,JL. HALTEU UTARA,09,11,DUNGUSCARIANG,
21,AL FATTAH,1970,200,WAKAF,JL. HALTEU UTARA,02,11,DUNGUSCARIANG,
22,AL KHOERIYAH,1960,150,WAKAF,JL. HALTEU UTARA,09,11,DUNGUSCARIANG,
23,AL AMMAL,1972,150,WAKAF,JL. HALTEU UTARA,03,11,DUNGUSCARIANG,
24,TAUBATUL HASANAH,1975,50,WAKAF,GG. TALIBIN,02,01,GARUDA,
25,BAITURROHMAT,1989,50,WAKAF,GG. H. IDRIS I,03,01,GARUDA,
26,AL MADNIAH,1950,75,WAKAF,GG. MADNIAH NO. 12A/75,06,01,GARUDA,
27,BAITUSSOFIYAH,2006,175,PRIBADI,JL. ELANG RAYA,04,01,GARUDA,
28,GARUDA,1969,120,PT. KAI,JL. RAJAWALI I NO. 1 - 3,03,02,GARUDA,
