nama_kecamatan,jumlah_pengguna_IUD,persentase_pengguna_IUD,jumlah_pengguna_MOW,persentase_pengguna_MOW,jumlah_pengguna_MOP,persentase_pengguna_MOP,jumlah_pengguna_kondom,persentase_pengguna_kondom,jumlah_pengguna_implan,persentase_pengguna_implan,jumlah_pengguna_suntikan,persentase_pengguna_suntikan,jumlah_pengguna_pil,persentase_pengguna_pil,jumlah_peserta_kb_aktif
Sukasari,1871,29.21,176,2.75,12,0.19,172,2.68,80,1.25,2983,46.57,1112,17.36,6406
Coblong,4416,35.73,1202,9.72,23,0.19,692,5.6,268,2.17,4352,35.21,1408,11.39,12361
Babakan Ciparay,3450,20.09,245,1.43,32,0.19,106,0.62,254,1.48,10424,60.69,2664,15.51,17175
Bojongloa Kaler,5536,39.54,446,3.19,56,0.4,245,1.75,194,1.39,4638,33.13,2886,20.61,14001
Andir,2385,23.18,761,7.39,19,0.18,156,1.52,274,2.66,4228,41.08,2468,23.98,10291
Cicendo,9628,50.58,2638,13.86,512,2.69,32,0.17,156,0.82,4162,21.87,1906,10.01,19034
Sukajadi,3231,27.97,1980,17.14,37,0.32,571,4.94,170,1.47,3481,30.14,2081,18.02,11551
Cidadap,1348,21.72,240,3.87,7,0.11,103,1.66,517,8.33,3043,49.03,948,15.28,6206
Bandung Wetan,1622,46.4,429,12.27,27,0.77,105,3,102,2.92,760,21.74,451,12.9,3496
Astana Anyar,2382,34.32,274,3.95,43,0.62,176,2.54,233,3.36,2902,41.81,931,13.41,6941
Regol,4474,52.44,379,4.44,279,3.27,32,0.38,135,1.58,2683,31.45,549,6.44,8531
Batununggal,3562,30.09,273,2.31,18,0.15,211,1.78,89,0.75,5739,48.49,1944,16.42,11836
Lengkong,2139,41.59,223,4.34,15,0.29,193,3.75,211,4.1,1781,34.63,581,11.3,5143
Cibeunying Kidul,3964,31.77,1129,9.05,53,0.42,266,2.13,264,2.12,5283,42.34,1520,12.18,12479
Bandung Kulon,6649,59.8,282,2.54,10,0.09,152,1.37,308,2.77,2044,18.38,1674,15.06,11119
Kiaracondong,3852,27.17,228,1.61,20,0.14,453,3.2,166,1.17,6705,47.29,2753,19.42,14177
Bojongloa Kidul,2229,23.31,125,1.31,32,0.33,28,0.29,234,2.45,6114,63.94,800,8.37,9562
Cibeunying Kaler,2874,39.4,259,3.55,37,0.51,210,2.88,119,1.63,2469,33.85,1327,18.19,7295
Sumur Bandung,848,33.85,99,3.95,2,0.08,154,6.15,71,2.83,926,36.97,405,16.17,2505
Antapani,2876,39.02,169,2.29,31,0.42,216,2.93,79,1.07,3061,41.53,938,12.73,7370
Bandung Kidul,692,22.7,60,1.97,7,0.23,85,2.79,24,0.79,1617,53.03,564,18.5,3049
Buahbatu,2769,31.73,128,1.47,26,0.3,154,1.76,137,1.57,4242,48.61,1271,14.56,8727
Rancasari,3755,38.81,376,3.89,25,0.26,240,2.48,80,0.83,4215,43.56,985,10.18,9676
Arcamanik,2337,33.97,236,3.43,24,0.35,111,1.61,395,5.74,2972,43.2,804,11.69,6879
Cibiru,1367,19.62,127,1.82,31,0.44,154,2.21,242,3.47,3688,52.93,1359,19.5,6968
Ujung Berung,8223,67.45,126,1.03,58,0.48,258,2.12,358,2.94,1536,12.6,1632,13.39,12191
Gedebage,2189,39.41,532,9.58,111,2,164,2.95,106,1.91,1871,33.69,581,10.46,5554
Panyileukan,1528,37.62,135,3.32,4,0.1,185,4.55,82,2.02,1518,37.37,610,15.02,4062
Cinambo,882,27.69,66,2.07,9,0.28,58,1.82,35,1.1,1579,49.58,556,17.46,3185
Mandalajati,1974,23.51,276,3.29,10,0.12,177,2.11,144,1.71,4089,48.69,1728,20.58,8398
